Years,energy demand.exogenous total Change in energy used for cooling due to climate change
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0
2022,0.0
2023,0.0
2024,0.0
2025,0.0
2026,0.0
2027,0.0
2028,0.0
2029,0.0
2030,2.15252
2031,2.15252
2032,2.15252
2033,2.15252
2034,2.15252
2035,2.15252
2036,2.15252
2037,2.15252
2038,2.15252
2039,2.15252
2040,4.1129299999999995
2041,4.1129299999999995
2042,4.1129299999999995
2043,4.1129299999999995
2044,4.1129299999999995
2045,4.1129299999999995
2046,4.1129299999999995
2047,4.1129299999999995
2048,4.1129299999999995
2049,4.1129299999999995
2050,6.684060000000001
2051,6.684060000000001
2052,6.684060000000001
2053,6.684060000000001
2054,6.684060000000001
2055,6.684060000000001
2056,6.684060000000001
2057,6.684060000000001
2058,6.684060000000001
2059,6.684060000000001
2060,10.09438
2061,10.09438
2062,10.09438
2063,10.09438
2064,10.09438
2065,10.09438
2066,10.09438
2067,10.09438
2068,10.09438
2069,10.09438
2070,14.278480000000002
2071,14.278480000000002
2072,14.278480000000002
2073,14.278480000000002
2074,14.278480000000002
2075,14.278480000000002
2076,14.278480000000002
2077,14.278480000000002
2078,14.278480000000002
2079,14.278480000000002
2080,19.10451
2081,19.10451
2082,19.10451
2083,19.10451
2084,19.10451
2085,19.10451
2086,19.10451
2087,19.10451
2088,19.10451
2089,19.10451
2090,23.658890000000003
2091,23.658890000000003
2092,23.658890000000003
2093,23.658890000000003
2094,23.658890000000003
2095,23.658890000000003
2096,23.658890000000003
2097,23.658890000000003
2098,23.658890000000003
2099,23.658890000000003
2100,27.062960000000004
2101,27.062960000000004
2102,27.062960000000004
2103,27.062960000000004
2104,27.062960000000004
2105,27.062960000000004
2106,27.062960000000004
2107,27.062960000000004
2108,27.062960000000004
2109,27.062960000000004
2110,27.062960000000004
2111,27.062960000000004
2112,27.062960000000004
2113,27.062960000000004
2114,27.062960000000004
2115,27.062960000000004
2116,27.062960000000004
2117,27.062960000000004
2118,27.062960000000004
2119,27.062960000000004
2120,27.062960000000004
2121,27.062960000000004
2122,27.062960000000004
2123,27.062960000000004
2124,27.062960000000004
2125,27.062960000000004
2126,27.062960000000004
2127,27.062960000000004
2128,27.062960000000004
2129,27.062960000000004
2130,27.062960000000004
2131,27.062960000000004
2132,27.062960000000004
2133,27.062960000000004
2134,27.062960000000004
2135,27.062960000000004
2136,27.062960000000004
2137,27.062960000000004
2138,27.062960000000004
2139,27.062960000000004
2140,27.062960000000004
2141,27.062960000000004
2142,27.062960000000004
2143,27.062960000000004
2144,27.062960000000004
2145,27.062960000000004
2146,27.062960000000004
2147,27.062960000000004
2148,27.062960000000004
2149,27.062960000000004
2150,27.062960000000004
