Years,energy demand.exogenous total Change in energy used for cooling due to climate change
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0
2022,0.0
2023,0.0
2024,0.0
2025,0.0
2026,0.0
2027,0.0
2028,0.0
2029,0.0
2030,2.17405
2031,2.17405
2032,2.17405
2033,2.17405
2034,2.17405
2035,2.17405
2036,2.17405
2037,2.17405
2038,2.17405
2039,2.17405
2040,4.16627
2041,4.16627
2042,4.16627
2043,4.16627
2044,4.16627
2045,4.16627
2046,4.16627
2047,4.16627
2048,4.16627
2049,4.16627
2050,6.78745
2051,6.78745
2052,6.78745
2053,6.78745
2054,6.78745
2055,6.78745
2056,6.78745
2057,6.78745
2058,6.78745
2059,6.78745
2060,10.18018
2061,10.18018
2062,10.18018
2063,10.18018
2064,10.18018
2065,10.18018
2066,10.18018
2067,10.18018
2068,10.18018
2069,10.18018
2070,14.35313
2071,14.35313
2072,14.35313
2073,14.35313
2074,14.35313
2075,14.35313
2076,14.35313
2077,14.35313
2078,14.35313
2079,14.35313
2080,19.17251
2081,19.17251
2082,19.17251
2083,19.17251
2084,19.17251
2085,19.17251
2086,19.17251
2087,19.17251
2088,19.17251
2089,19.17251
2090,23.721799999999998
2091,23.721799999999998
2092,23.721799999999998
2093,23.721799999999998
2094,23.721799999999998
2095,23.721799999999998
2096,23.721799999999998
2097,23.721799999999998
2098,23.721799999999998
2099,23.721799999999998
2100,27.121850000000002
2101,27.121850000000002
2102,27.121850000000002
2103,27.121850000000002
2104,27.121850000000002
2105,27.121850000000002
2106,27.121850000000002
2107,27.121850000000002
2108,27.121850000000002
2109,27.121850000000002
2110,27.121850000000002
2111,27.121850000000002
2112,27.121850000000002
2113,27.121850000000002
2114,27.121850000000002
2115,27.121850000000002
2116,27.121850000000002
2117,27.121850000000002
2118,27.121850000000002
2119,27.121850000000002
2120,27.121850000000002
2121,27.121850000000002
2122,27.121850000000002
2123,27.121850000000002
2124,27.121850000000002
2125,27.121850000000002
2126,27.121850000000002
2127,27.121850000000002
2128,27.121850000000002
2129,27.121850000000002
2130,27.121850000000002
2131,27.121850000000002
2132,27.121850000000002
2133,27.121850000000002
2134,27.121850000000002
2135,27.121850000000002
2136,27.121850000000002
2137,27.121850000000002
2138,27.121850000000002
2139,27.121850000000002
2140,27.121850000000002
2141,27.121850000000002
2142,27.121850000000002
2143,27.121850000000002
2144,27.121850000000002
2145,27.121850000000002
2146,27.121850000000002
2147,27.121850000000002
2148,27.121850000000002
2149,27.121850000000002
2150,27.121850000000002
