Years,energy demand.exogenous total Change in energy used for cooling due to climate change
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0
2022,0.0
2023,0.0
2024,0.0
2025,0.0
2026,0.0
2027,0.0
2028,0.0
2029,0.0
2030,2.409783306
2031,2.409783306
2032,2.409783306
2033,2.409783306
2034,2.409783306
2035,2.409783306
2036,2.409783306
2037,2.409783306
2038,2.409783306
2039,2.409783306
2040,4.966983348
2041,4.966983348
2042,4.966983348
2043,4.966983348
2044,4.966983348
2045,4.966983348
2046,4.966983348
2047,4.966983348
2048,4.966983348
2049,4.966983348
2050,8.582328951000001
2051,8.582328951000001
2052,8.582328951000001
2053,8.582328951000001
2054,8.582328951000001
2055,8.582328951000001
2056,8.582328951000001
2057,8.582328951000001
2058,8.582328951000001
2059,8.582328951000001
2060,12.19194773
2061,12.19194773
2062,12.19194773
2063,12.19194773
2064,12.19194773
2065,12.19194773
2066,12.19194773
2067,12.19194773
2068,12.19194773
2069,12.19194773
2070,16.399385943000002
2071,16.399385943000002
2072,16.399385943000002
2073,16.399385943000002
2074,16.399385943000002
2075,16.399385943000002
2076,16.399385943000002
2077,16.399385943000002
2078,16.399385943000002
2079,16.399385943000002
2080,21.082557313000002
2081,21.082557313000002
2082,21.082557313000002
2083,21.082557313000002
2084,21.082557313000002
2085,21.082557313000002
2086,21.082557313000002
2087,21.082557313000002
2088,21.082557313000002
2089,21.082557313000002
2090,25.412638057
2091,25.412638057
2092,25.412638057
2093,25.412638057
2094,25.412638057
2095,25.412638057
2096,25.412638057
2097,25.412638057
2098,25.412638057
2099,25.412638057
2100,28.617994575
2101,28.617994575
2102,28.617994575
2103,28.617994575
2104,28.617994575
2105,28.617994575
2106,28.617994575
2107,28.617994575
2108,28.617994575
2109,28.617994575
2110,28.617994575
2111,28.617994575
2112,28.617994575
2113,28.617994575
2114,28.617994575
2115,28.617994575
2116,28.617994575
2117,28.617994575
2118,28.617994575
2119,28.617994575
2120,28.617994575
2121,28.617994575
2122,28.617994575
2123,28.617994575
2124,28.617994575
2125,28.617994575
2126,28.617994575
2127,28.617994575
2128,28.617994575
2129,28.617994575
2130,28.617994575
2131,28.617994575
2132,28.617994575
2133,28.617994575
2134,28.617994575
2135,28.617994575
2136,28.617994575
2137,28.617994575
2138,28.617994575
2139,28.617994575
2140,28.617994575
2141,28.617994575
2142,28.617994575
2143,28.617994575
2144,28.617994575
2145,28.617994575
2146,28.617994575
2147,28.617994575
2148,28.617994575
2149,28.617994575
2150,28.617994575
