Years,energy demand.exogenous total Change in energy used for cooling due to climate change
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0
2022,0.0
2023,0.0
2024,0.0
2025,0.0
2026,0.0
2027,0.0
2028,0.0
2029,0.0
2030,2.15252
2031,2.15252
2032,2.15252
2033,2.15252
2034,2.15252
2035,2.15252
2036,2.15252
2037,2.15252
2038,2.15252
2039,2.15252
2040,4.11293
2041,4.11293
2042,4.11293
2043,4.11293
2044,4.11293
2045,4.11293
2046,4.11293
2047,4.11293
2048,4.11293
2049,4.11293
2050,6.68406
2051,6.68406
2052,6.68406
2053,6.68406
2054,6.68406
2055,6.68406
2056,6.68406
2057,6.68406
2058,6.68406
2059,6.68406
2060,10.09438
2061,10.09438
2062,10.09438
2063,10.09438
2064,10.09438
2065,10.09438
2066,10.09438
2067,10.09438
2068,10.09438
2069,10.09438
2070,14.278479999999998
2071,14.278479999999998
2072,14.278479999999998
2073,14.278479999999998
2074,14.278479999999998
2075,14.278479999999998
2076,14.278479999999998
2077,14.278479999999998
2078,14.278479999999998
2079,14.278479999999998
2080,19.10451
2081,19.10451
2082,19.10451
2083,19.10451
2084,19.10451
2085,19.10451
2086,19.10451
2087,19.10451
2088,19.10451
2089,19.10451
2090,23.65889
2091,23.65889
2092,23.65889
2093,23.65889
2094,23.65889
2095,23.65889
2096,23.65889
2097,23.65889
2098,23.65889
2099,23.65889
2100,27.06296
2101,27.06296
2102,27.06296
2103,27.06296
2104,27.06296
2105,27.06296
2106,27.06296
2107,27.06296
2108,27.06296
2109,27.06296
2110,27.06296
2111,27.06296
2112,27.06296
2113,27.06296
2114,27.06296
2115,27.06296
2116,27.06296
2117,27.06296
2118,27.06296
2119,27.06296
2120,27.06296
2121,27.06296
2122,27.06296
2123,27.06296
2124,27.06296
2125,27.06296
2126,27.06296
2127,27.06296
2128,27.06296
2129,27.06296
2130,27.06296
2131,27.06296
2132,27.06296
2133,27.06296
2134,27.06296
2135,27.06296
2136,27.06296
2137,27.06296
2138,27.06296
2139,27.06296
2140,27.06296
2141,27.06296
2142,27.06296
2143,27.06296
2144,27.06296
2145,27.06296
2146,27.06296
2147,27.06296
2148,27.06296
2149,27.06296
2150,27.06296
