Years,energy demand.exogenous total Change in energy used for cooling due to climate change
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0
2022,0.0
2023,0.0
2024,0.0
2025,0.0
2026,0.0
2027,0.0
2028,0.0
2029,0.0
2030,2.1525
2031,2.1525
2032,2.1525
2033,2.1525
2034,2.1525
2035,2.1525
2036,2.1525
2037,2.1525
2038,2.1525
2039,2.1525
2040,4.112800000000001
2041,4.112800000000001
2042,4.112800000000001
2043,4.112800000000001
2044,4.112800000000001
2045,4.112800000000001
2046,4.112800000000001
2047,4.112800000000001
2048,4.112800000000001
2049,4.112800000000001
2050,6.6842
2051,6.6842
2052,6.6842
2053,6.6842
2054,6.6842
2055,6.6842
2056,6.6842
2057,6.6842
2058,6.6842
2059,6.6842
2060,10.0944
2061,10.0944
2062,10.0944
2063,10.0944
2064,10.0944
2065,10.0944
2066,10.0944
2067,10.0944
2068,10.0944
2069,10.0944
2070,14.2786
2071,14.2786
2072,14.2786
2073,14.2786
2074,14.2786
2075,14.2786
2076,14.2786
2077,14.2786
2078,14.2786
2079,14.2786
2080,19.1045
2081,19.1045
2082,19.1045
2083,19.1045
2084,19.1045
2085,19.1045
2086,19.1045
2087,19.1045
2088,19.1045
2089,19.1045
2090,23.6588
2091,23.6588
2092,23.6588
2093,23.6588
2094,23.6588
2095,23.6588
2096,23.6588
2097,23.6588
2098,23.6588
2099,23.6588
2100,27.0632
2101,27.0632
2102,27.0632
2103,27.0632
2104,27.0632
2105,27.0632
2106,27.0632
2107,27.0632
2108,27.0632
2109,27.0632
2110,27.0632
2111,27.0632
2112,27.0632
2113,27.0632
2114,27.0632
2115,27.0632
2116,27.0632
2117,27.0632
2118,27.0632
2119,27.0632
2120,27.0632
2121,27.0632
2122,27.0632
2123,27.0632
2124,27.0632
2125,27.0632
2126,27.0632
2127,27.0632
2128,27.0632
2129,27.0632
2130,27.0632
2131,27.0632
2132,27.0632
2133,27.0632
2134,27.0632
2135,27.0632
2136,27.0632
2137,27.0632
2138,27.0632
2139,27.0632
2140,27.0632
2141,27.0632
2142,27.0632
2143,27.0632
2144,27.0632
2145,27.0632
2146,27.0632
2147,27.0632
2148,27.0632
2149,27.0632
2150,27.0632
