Years,energy investments.maximum investments in Coal energy conversion,energy investments.maximum investments in Coal fuel extraction,energy investments.maximum investments in Oil energy conversion,energy investments.maximum investments in Oil fuel extraction,energy investments.maximum investments in Gas energy conversion,energy investments.maximum investments in Gas fuel extraction,energy investments.maximum investments in Hydropower,energy investments.maximum investments in Nuclear
1980,3665588578.23,53321736737.6,79698744379.4,223820360432,11646192609.4,93945387542,9649973945.85,60341061240.1
1981,10974621079.0,63285943190.9,28123574908.0,244396686621,10414420287.6,105337688163,18612490261.6,66141289570.9
1982,10445101691.4,73393967341.1,9612335349.82,281671074518,12468172025.4,120724786836,24017693005.7,70587183393.0
1983,8884867614.98,79462225282.0,44639462906.3,336460756180,12487215822.9,136520062333,22188441472.9,70149621773.8
1984,8257329452.78,84898619337.9,79024896249.7,401166132227,13343434149.4,153016542402,20346280395.7,68216751164.5
1985,10275293527.0,88662699105.9,87342142392.5,459191944862,16406906042.1,165879167629,20515266488.1,64596685371.3
1986,15913376875.1,91886723993.7,73817132845.5,468643525124,21926455428.1,172861217366,22563473300.4,63834947018.7
1987,18738116107.2,93346352519.5,81758175311.0,457587727483,24212206737.1,176917408540,21920723282.8,62658067873.6
1988,22722283635.5,97616420488.0,74036339381.4,447884275612,27264238391.3,183656965897,23604068675.5,64087764570.8
1989,25549004520.6,102979916059.0,72293499288.4,443772552270,29160555770.3,192610496229,24963658263.3,65886772654.5
1990,28256048522.1,109425507828.0,74060394400.9,444591855891,28587573972.0,203573177093,26442806806.5,68277399815.8
1991,32785043542.1,118415374997.0,74041339320.1,449634516145,27002047254.5,207911738553,27146900920.2,70922932524.5
1992,36839633005.2,127021544395.0,74938117914.9,452929972649,26625800903.7,206201619159,26411859816.5,72235782121.5
1993,40049054768.3,134303583112.0,75066387270.5,451920912953,26185002255.6,202220245761,25729291326.5,72732549174.2
1994,33534112854.7,139123179333.0,73195064672.4,442618086275,24824258102.1,196012208747,26522421225.0,73211670168.2
1995,36757527951.0,140409277666.0,68515303051.3,427956890467,23110720127.6,187186599073,25865383378.4,71597050526.4
1996,34386654553.9,139452712629.0,66963842577.2,423752324392,21761067456.0,182929001351,24966387995.9,65515475090.1
1997,34492419748.0,139846781319.0,69613236219.7,437740431777,21973469662.3,185547784441,23578937189.2,57472447277.8
1998,36187299878.0,144589638271.0,77535192884.7,469626135671,22434027425.7,194874935278,22541355684.9,50114441492.1
1999,38354703437.1,153058764798.0,88822196808.2,517720649933,23205489026.4,209899720283,22071652427.5,42901633919.4
2000,39370904782.3,162545393776.0,102538597080.0,578391334111,23426347146.2,227801772044,20665446598.0,33350621879.1
2001,46090192734.9,180092159046.0,105179153933.0,607835233311,25993876334.0,243580845692,23423763412.9,30863974522.6
2002,54032006067.0,197303152716.0,101136256720.0,587146704484,26920956173.5,246468052850,27945055051.8,32035548928.2
2003,60676325739.1,213155790261.0,90376299376.1,551199647280,25833883019.3,242661179758,32525132766.5,32744612460.1
2004,66346087202.3,229714405638.0,79821086058.4,512835953915,22989172013.0,235828074071,36962963345.8,32098517065.8
2005,72482441394.2,249029722523.0,70523277575.7,475743674712,19380138615.6,227506789929,42369478620.0,30466937129.5
2006,66155587141.6,243471857389.0,68025640424.2,458163818463,20236367941.2,223105123299,46295162785.1,28787489683.2
2007,52826714129.7,217786354207.0,66714477708.7,446131515924,22258712721.4,219044030599,48308118628.6,27176304436.3
2008,41782963745.8,195302486402.0,63088451551.1,441986160717,23465333780.2,218850858593,51281152749.5,25945561437.3
2009,32548093656.5,176237565685.0,60580126961.8,442606105080,24091108402.9,221118478370,55164350126.5,24628307190.0
2010,24984775314.6,161667894300.0,59089777685.9,452551342182,25038787292.5,228194279628,60939821241.5,23507111715.6
2011,27345117084.8,152906388244.0,66121065460.9,468839061022,24958690515.8,237460882977,65252780216.8,23005587110.3
2012,33797327914.8,147677002015.0,77722119681.9,486801182999,24890912718.0,246388654688,68035367769.8,22808321599.8
2013,38961797782.2,144340456681.0,89323079725.5,507407930784,25613819711.2,256087896213,71285845799.5,22756493180.8
2014,43524862830.0,142706125486.0,87963051574.4,528691217005,27646986850.1,266591488453,76091570277.6,23875859491.6
2015,46599769601.3,141143810843.0,82667617050.0,545937818999,29161310730.6,276025932126,81262692870.4,25271657691.7
2016,41706976657.2,145705674939.0,84818610915.5,536715895118,29893167007.1,279501348923,79360092713.1,27450239846.8
2017,30397573137.3,153196592351.0,77450693113.9,513441028061,30938446709.1,280901109896,75227545998.3,32217869815.2
