Years,efficiency reduction in power plants.exogenous effect of STA on river cooled thermal power energy capacity efficiency,efficiency reduction in power plants.exogenous effect of STA on hydropower energy capacity efficiency
1980,1.0,1.0
1981,1.0,1.0
1982,1.0,1.0
1983,1.0,1.0
1984,1.0,1.0
1985,1.0,1.0
1986,1.0,1.0
1987,1.0,1.0
1988,1.0,1.0
1989,1.0,1.0
1990,1.0,1.0
1991,1.0,1.0
1992,1.0,1.0
1993,1.0,1.0
1994,1.0,1.0
1995,1.0,1.0
1996,1.0,1.0
1997,1.0,1.0
1998,1.0,1.0
1999,1.0,1.0
2000,1.0,1.0
2001,1.0,1.0
2002,1.0,1.0
2003,1.0,1.0
2004,1.0,1.0
2005,1.0,1.0
2006,1.0,1.0
2007,1.0,1.0
2008,1.0,1.0
2009,1.0,1.0
2010,1.0,1.0
2011,1.0,1.0
2012,1.0,1.0
2013,1.0,1.0
2014,1.0,1.0
2015,1.0,1.0
2016,1.0,1.0
2017,1.0,1.0
2018,1.0,1.0
2019,1.0,1.0
2020,0.942,0.983
2021,0.942,0.983
2022,0.942,0.983
2023,0.942,0.983
2024,0.942,0.983
2025,0.942,0.983
2026,0.942,0.983
2027,0.942,0.983
2028,0.942,0.983
2029,0.942,0.983
2030,0.942,0.983
2031,0.942,0.983
2032,0.942,0.983
2033,0.942,0.983
2034,0.942,0.983
2035,0.942,0.983
2036,0.942,0.983
2037,0.942,0.983
2038,0.942,0.983
2039,0.942,0.983
2040,0.9299999999999999,0.988
2041,0.9299999999999999,0.988
2042,0.9299999999999999,0.988
2043,0.9299999999999999,0.988
2044,0.9299999999999999,0.988
2045,0.9299999999999999,0.988
2046,0.9299999999999999,0.988
2047,0.9299999999999999,0.988
2048,0.9299999999999999,0.988
2049,0.9299999999999999,0.988
2050,0.9299999999999999,0.988
2051,0.9299999999999999,0.988
2052,0.9299999999999999,0.988
2053,0.9299999999999999,0.988
2054,0.9299999999999999,0.988
2055,0.9299999999999999,0.988
2056,0.9299999999999999,0.988
2057,0.9299999999999999,0.988
2058,0.9299999999999999,0.988
2059,0.9299999999999999,0.988
2060,0.9299999999999999,0.988
2061,0.9299999999999999,0.988
2062,0.9299999999999999,0.988
2063,0.9299999999999999,0.988
2064,0.9299999999999999,0.988
2065,0.9299999999999999,0.988
2066,0.9299999999999999,0.988
2067,0.9299999999999999,0.988
2068,0.9299999999999999,0.988
2069,0.9299999999999999,0.988
2070,0.9299999999999999,0.988
2071,0.9299999999999999,0.988
2072,0.9299999999999999,0.988
2073,0.9299999999999999,0.988
2074,0.9299999999999999,0.988
2075,0.9299999999999999,0.988
2076,0.9299999999999999,0.988
2077,0.9299999999999999,0.988
2078,0.9299999999999999,0.988
2079,0.9299999999999999,0.988
2080,0.9299999999999999,0.988
2081,0.9299999999999999,0.988
2082,0.9299999999999999,0.988
2083,0.9299999999999999,0.988
2084,0.9299999999999999,0.988
2085,0.9299999999999999,0.988
2086,0.9299999999999999,0.988
2087,0.9299999999999999,0.988
2088,0.9299999999999999,0.988
2089,0.9299999999999999,0.988
2090,0.9299999999999999,0.988
2091,0.9299999999999999,0.988
2092,0.9299999999999999,0.988
2093,0.9299999999999999,0.988
2094,0.9299999999999999,0.988
2095,0.9299999999999999,0.988
2096,0.9299999999999999,0.988
2097,0.9299999999999999,0.988
2098,0.9299999999999999,0.988
2099,0.9299999999999999,0.988
2100,0.9299999999999999,0.988
2101,0.9299999999999999,0.988
2102,0.9299999999999999,0.988
2103,0.9299999999999999,0.988
2104,0.9299999999999999,0.988
2105,0.9299999999999999,0.988
2106,0.9299999999999999,0.988
2107,0.9299999999999999,0.988
2108,0.9299999999999999,0.988
2109,0.9299999999999999,0.988
2110,0.9299999999999999,0.988
2111,0.9299999999999999,0.988
2112,0.9299999999999999,0.988
2113,0.9299999999999999,0.988
2114,0.9299999999999999,0.988
2115,0.9299999999999999,0.988
2116,0.9299999999999999,0.988
2117,0.9299999999999999,0.988
2118,0.9299999999999999,0.988
2119,0.9299999999999999,0.988
2120,0.9299999999999999,0.988
2121,0.9299999999999999,0.988
2122,0.9299999999999999,0.988
2123,0.9299999999999999,0.988
2124,0.9299999999999999,0.988
2125,0.9299999999999999,0.988
2126,0.9299999999999999,0.988
2127,0.9299999999999999,0.988
2128,0.9299999999999999,0.988
2129,0.9299999999999999,0.988
2130,0.9299999999999999,0.988
2131,0.9299999999999999,0.988
2132,0.9299999999999999,0.988
2133,0.9299999999999999,0.988
2134,0.9299999999999999,0.988
2135,0.9299999999999999,0.988
2136,0.9299999999999999,0.988
2137,0.9299999999999999,0.988
2138,0.9299999999999999,0.988
2139,0.9299999999999999,0.988
2140,0.9299999999999999,0.988
2141,0.9299999999999999,0.988
2142,0.9299999999999999,0.988
2143,0.9299999999999999,0.988
2144,0.9299999999999999,0.988
2145,0.9299999999999999,0.988
2146,0.9299999999999999,0.988
2147,0.9299999999999999,0.988
2148,0.9299999999999999,0.988
2149,0.9299999999999999,0.988
2150,0.9299999999999999,0.988
