Year,"Baseline: energy investments.investment by source[1, Coal fuel extraction]","Run 1: energy investments.investment by source[1, Coal fuel extraction]","Run 2: energy investments.investment by source[1, Coal fuel extraction]","Baseline: energy investments.investment by source[1, Coal energy conversion]","Run 1: energy investments.investment by source[1, Coal energy conversion]","Run 2: energy investments.investment by source[1, Coal energy conversion]","Baseline: energy investments.investment by source[1, Oil fuel extraction]","Run 1: energy investments.investment by source[1, Oil fuel extraction]","Run 2: energy investments.investment by source[1, Oil fuel extraction]","Baseline: energy investments.investment by source[1, Oil energy conversion]","Run 1: energy investments.investment by source[1, Oil energy conversion]","Run 2: energy investments.investment by source[1, Oil energy conversion]","Baseline: energy investments.investment by source[1, Gas fuel extraction]","Run 1: energy investments.investment by source[1, Gas fuel extraction]","Run 2: energy investments.investment by source[1, Gas fuel extraction]","Baseline: energy investments.investment by source[1, Gas energy conversion]","Run 1: energy investments.investment by source[1, Gas energy conversion]","Run 2: energy investments.investment by source[1, Gas energy conversion]","Baseline: energy investments.investment by source[1, Hydropower]","Run 1: energy investments.investment by source[1, Hydropower]","Run 2: energy investments.investment by source[1, Hydropower]","Baseline: energy investments.investment by source[1, Nuclear]","Run 1: energy investments.investment by source[1, Nuclear]","Run 2: energy investments.investment by source[1, Nuclear]"
1980,53321736737.6,53321736737.6,50664419819.9,3665588578.23,3665588578.23,3328338365.24,223820360432,223820360432,212769354497,79698744379.4,79698744379.4,75609583326.9,93945387542,93945387542,89228290243.5,11646192609.4,11646192609.4,10869704112.8,9649973945.85,9649973945.85,8924893474.53,60341061240.1,60341061240.1,57688285164.5
1981,63285943190.9,63285943190.9,61606708501.9,10974621079,10974621079,10147479713.6,244396686621,244396686621,238082306130,28123574908,28123574908,27467070214.3,105337688163,105337688163,102515016446,10414420287.6,10414420287.6,9956482110.72,18612490261.6,18612490261.6,17918040540.8,66141289570.9,66141289570.9,64695892601.2
1982,73393967341.1,73393967341.1,72474480879.8,10445101691.4,10445101691.4,10445101691.4,281671074518,281671074518,278927290276,9612335349.82,9612335349.82,8934405476.8,120724786836,120724786836,119268547387,12468172025.4,12468172025.4,12214671940.2,24017693005.7,24017693005.7,23609748474.8,70587183393,70587183393,69985673810.3
1983,79462225282,79462225282,78918504363.5,8884867614.98,8884867614.98,8884867614.98,336460756180,336460756180,335008910616,44639462906.3,44639462906.3,43946831650.3,136520062333,136520062333,135607781884,12487215822.9,12487215822.9,12283815081.5,22188441472.9,22188441472.9,21944755760.9,70149621773.8,70149621773.8,69880880360.1
1984,84898619337.9,84898619337.9,84262143844.5,8257329452.78,8257329452.78,8257329452.78,401166132227,401166132227,398784622128,79024896249.7,79024896249.7,78257413416,153016542402,153016542402,151848902341,13343434149.4,13343434149.4,13118231055.1,20346280395.7,20346280395.7,20099992527.1,68216751164.5,68216751164.5,67890495323.4
1985,88662699105.9,88662699105.9,87755455407.5,10275293527,10275293527,9973926580.75,459191944862,459191944862,455941864967,87342142392.5,87342142392.5,88008081106.9,165879167629,165879167629,164283101490,16406906042.1,16406906042.1,15963586466.3,20515266488.1,20515266488.1,20031023362.2,64596685371.3,64596685371.3,64066624622.8
1986,91886723993.7,91886723993.7,91093500266.5,15913376875.1,15913376875.1,15687267548,468643525124,468643525124,464997322988,73817132845.5,73817132845.5,72360980621.8,172861217366,172861217366,171225982846,21926455428.1,21926455428.1,21698666911.7,22563473300.4,22563473300.4,22302250326.4,63834947018.7,63834947018.7,63512417411.3
1987,93346352519.5,93346352519.5,92298970486.9,18738116107.2,18738116107.2,18270158345.8,457587727483,457587727483,453133655051,81758175311,81758175311,80542037873.9,176917408540,176917408540,174874086768,24212206737.1,24212206737.1,23782444006.8,21920723282.8,21920723282.8,21519298753.7,62658067873.6,62658067873.6,62178240346.8
1988,97616420488,97616420488,96393759297.3,22722283635.5,22722283635.5,22118507804.3,447884275612,447884275612,443322318793,74036339381.4,74036339381.4,73230540328.8,183656965897,183656965897,181395613754,27264238391.3,27264238391.3,26755190887.4,23604068675.5,23604068675.5,23095174386.8,64087764570.8,64087764570.8,63522111988.4
1989,102979916059,102979916059,101675125009,25549004520.6,25549004520.6,24946476298.4,443772552270,443772552270,439057877425,72293499288.4,72293499288.4,70993145817,192610496229,192610496229,190194620173,29160555770.3,29160555770.3,28659522322.1,24963658263.3,24963658263.3,24460033495,65886772654.5,65886772654.5,65346313126.8
