,Variable,Scenario,Percentile,2040,2070,2100
0,Capacity|Electricity|Solar,HD_D1,50,-10.86814933987699,-6.8280770879185075,2.8695397853250912
1,Capacity|Electricity|Solar,HD_D1,5,-21.562164902826975,-32.42324732194995,-54.598380633996
2,Capacity|Electricity|Solar,HD_D1,95,4.866575366751647,48.92379147163421,79.11306548086849
3,Capacity|Electricity|Wind,HD_D1,50,32.797351410781104,60.15184676897713,81.55100260628704
4,Capacity|Electricity|Wind,HD_D1,5,24.317461824121196,-4.9837342769242525,-32.91950178707288
5,Capacity|Electricity|Wind,HD_D1,95,60.964990603557105,85.7601971758192,123.41019893370483
6,Capacity|Biomass,HD_D1,50,18.065727724966063,22.49271172882029,28.25566641092264
7,Capacity|Biomass,HD_D1,5,14.062836876396322,14.42084767007934,14.167732036101537
8,Capacity|Biomass,HD_D1,95,29.744325982609187,31.680574929396986,43.58146125971154
9,Capacity|Coal,HD_D1,50,0.2998780491654356,0.30384805188689124,0.3069396449711244
10,Capacity|Coal,HD_D1,5,-0.11479574347865025,-0.1144562507429916,-0.12546878205904818
11,Capacity|Coal,HD_D1,95,0.7380683940341489,0.7499087409575859,0.8169845382722926
12,Capacity|Gas,HD_D1,50,0.07345647237137796,0.07697318229638381,0.11569887360293236
13,Capacity|Gas,HD_D1,5,-4.831187524132687,-1.771523627152558,-0.9163202899453664
14,Capacity|Gas,HD_D1,95,0.18500378832511452,0.1752314056250379,0.24815903501406492
15,Capacity|Oil,HD_D1,50,0.1994741841961697,1.88145310380015,3.70760405659653
16,Capacity|Oil,HD_D1,5,-4.330519450308986,-0.5747054196777245,1.6859284519927649
17,Capacity|Oil,HD_D1,95,0.309735567862119,2.345054723959531,4.758959448397635
18,Capacity|Electricity|Hydro,HD_D1,50,0.11922301831900296,0.08338803687973449,0.07852229153411369
19,Capacity|Electricity|Hydro,HD_D1,5,-0.020382449886487537,-0.20012558551455828,-0.31482406604863283
20,Capacity|Electricity|Hydro,HD_D1,95,0.24478177446996102,0.1472417989380219,0.13933165956526494
21,Capacity|Electricity|Nuclear,HD_D1,50,-1.8359575169601605,-0.14022985057286805,-0.005509716650319782
22,Capacity|Electricity|Nuclear,HD_D1,5,-14.754246242629291,-3.6985661191224306,-1.8036327649068224
23,Capacity|Electricity|Nuclear,HD_D1,95,-0.9108286374772767,0.07100606431072319,0.1170777365309918
24,Capacity|Geothermal,HD_D1,50,,,
25,Capacity|Geothermal,HD_D1,5,,,
26,Capacity|Geothermal,HD_D1,95,,,
27,Capacity|Electricity|Solar,HD_D1_20_10,50,-21.768259458521165,-7.504703831861569,-2.4227521572238304
28,Capacity|Electricity|Solar,HD_D1_20_10,5,-28.845333368996698,-53.13095146564142,-77.70826971690798
29,Capacity|Electricity|Solar,HD_D1_20_10,95,9.093888122501207,55.68239614627516,88.01725705055007
30,Capacity|Electricity|Wind,HD_D1_20_10,50,40.98799104238947,71.21084118406095,91.37888480823327
31,Capacity|Electricity|Wind,HD_D1_20_10,5,27.87361550542057,-1.1397031196217926,-45.84417662464298
32,Capacity|Electricity|Wind,HD_D1_20_10,95,64.12800319176377,102.63211939121679,144.27925358578784
33,Capacity|Biomass,HD_D1_20_10,50,31.94462277000276,43.56610130656534,50.90900291812088
34,Capacity|Biomass,HD_D1_20_10,5,26.12850218898999,32.496885704914725,31.39416840876096
35,Capacity|Biomass,HD_D1_20_10,95,40.78226036073354,55.2370632066204,101.20985550695613
36,Capacity|Coal,HD_D1_20_10,50,0.49176151259505435,0.4960613978341105,0.7627188853545682
37,Capacity|Coal,HD_D1_20_10,5,0.4074812399338262,0.41047646651817915,0.41312314950134355
38,Capacity|Coal,HD_D1_20_10,95,1.7575548949293454,1.9301999733930346,3.8027576678987898
39,Capacity|Gas,HD_D1_20_10,50,0.30638503851356813,0.2755866648232852,0.2283492761457626
40,Capacity|Gas,HD_D1_20_10,5,-2.6367387098383763,-0.8632798357637887,-0.2417775665468924
41,Capacity|Gas,HD_D1_20_10,95,0.4291854278925749,0.3847105309036253,0.39542069211424824
