Year,="Calibration Data: Energy Balance Model.Surface Temperature Anomaly[1]",="Run 1: Energy Balance Model.Surface Temperature Anomaly[1]",="Calibration Data: Emissions.Total CO2 Emissions[1]",="Run 1: Emissions.Total CO2 Emissions[1]",="Calibration Data: Emissions.CO2 emissions from Energy[1]",="Run 1: Emissions.CO2 emissions from Energy[1]",="Calibration Data: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: solar energy.Current Solar Capacity[1]",="Run 1: wind energy.Current Wind Capacity[1]",="Run 1: bio fuel energy.bio fuel production Capacity[1]",="Calibration Data: bio fuel energy.bio fuel production[1]",="Run 1: bio fuel energy.bio fuel production[1]",="Run 1: fossil energy coal.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy gas.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy oil.Fossil Energy and Fuel Capital[1]",="Calibration Data: hydropower energy.Hydropower Energy Capacity[1]",="Run 1: hydropower energy.Hydropower Energy Capacity[1]",="Calibration Data: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: CCS.Storing CO2[1]",="Calibration Data: energy supply.Total Energy Output[1]",="Run 1: energy supply.Total Energy Output[1]",="Calibration Data: fossil energy coal.Secondary Fossil Energy Output[1]",="Run 1: fossil energy coal.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy gas.Secondary Fossil Energy Output[1]",="Run 1: fossil energy gas.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy oil.Secondary Fossil Energy Output[1]",="Run 1: fossil energy oil.Secondary Fossil Energy Output[1]",="Calibration Data: nuclear energy.Nuclear Energy Output[1]",="Run 1: nuclear energy.Nuclear Energy Output[1]",="Calibration Data: bio fuel energy.bio fuel secondary energy output[1]",="Run 1: bio fuel energy.bio fuel secondary energy output[1]",="Calibration Data: hydropower energy.Hydropower Energy Output[1]",="Run 1: hydropower energy.Hydropower Energy Output[1]",="Calibration Data: solar energy.Solar Energy Output[1]",="Run 1: solar energy.Solar Energy Output[1]",="Calibration Data: wind energy.Wind Energy Output[1]",="Run 1: wind energy.Wind Energy Output[1]"
1980,0.547303922,0.366658618007,24457.05417,25093.6934251,19083.03344,18818.164425,4967.734762,5857.21008695,0.745,0.745,5,,4.47941075395,2211951818400,2103968299190,7580952636270,,478.7768037,,97.55917166,0,28081.16861,28005.9853593,7516.00188,8227.63577284,5125.30596,5166.91229325,12802.07952,12027.0617528,727.234416,731.69378745,11.8030032,8.80206401429,1843.368768,1841.24836071,,1.26149694978,,1.36983122388
1981,0.597303922,0.360810530089,23853.81758,24167.9412774,18617.38162,18546.6999033,4830.136789,5218.69819239,0.727126316949,0.727126316949,6.70107284376,,6.06423959082,2173512747050,2102347798840,7491050371320,,486.772448306,,108.596028902,0,27957.79288,27820.7628698,7616.88072,8089.4319706,5182.51428,5163.6380789,12346.45308,11866.7122737,858.831408,814.470216764,10.70925228,11.9446461099,1883.026224,1871.99748517,,1.23123171937,,1.33696688948
1982,0.389803922,0.348489677605,23415.75199,23677.3336616,18467.57127,18440.4142043,4543.884273,4842.92774705,0.709252902191,0.709252902191,10.0669316237,,9.10547802525,2154344605790,2121728948900,7405306107450,,504.475422654,,121.801622048,0,27820.14799,27876.6467203,7702.35336,8026.50068392,5209.10316,5214.75929769,11977.4178,11761.363007,931.794264,913.512165358,13.52024784,17.9280761209,1917.095616,1940.07842026,,1.20096694327,,1.30410304838
1983,0.572303922,0.317999846545,23777.83537,23553.9429325,18579.22308,18486.0841041,4785.150194,4676.68143401,0.691380098985,0.691380098985,12.9725086848,,11.7066173041,2145646549200,2160506820910,7395429335600,,523.358655886,,136.053754822,0,28296.52242,28154.7227621,7938.3492,8008.69402369,5293.37736,5316.50464734,11915.91288,11770.9294017,1056.04524,1020.40316116,17.6469264,23.0512672367,1998.9153,2012.6983174,,1.17070320269,,1.27124033175
1984,0.407303922,0.318923648358,25287.91215,23671.4006541,19227.35855,18656.0085944,5639.309237,4622.46966581,0.673507906073,0.673507906073,14.7894946022,,13.3694092368,2141741419850,2213182970780,7477241271500,,539.417172276,,150.095329177,0,29566.8856,28610.0445008,8283.0384,8013.38400842,5724.96336,5456.81078769,12104.77212,11910.9343575,1281.548412,1125.71496883,20.81031228,26.3664549301,2066.6232,2074.45510417,,1.14044049552,,1.23837873727
1985,0.397303922,0.356389261067,25603.90861,24040.8476626,19886.93967,18905.9555231,5291.178396,4737.13588543,0.655635307214,0.655635307214,15.2260218132,,13.7740283755,2138828706630,2273721959800,7631315677640,,552.464023528,,162.871040901,0,30360.42663,29174.5034973,8638.82568,8023.21749048,5854.39812,5618.98912896,12127.07232,12156.5842358,1520.941464,1221.53280675,24.6276324,27.2343146329,2106.93672,2124.62982712,,1.11017710096,,1.20551639637
1986,0.452303922,0.391669520081,26143.21026,24589.4282416,20173.45279,19193.6692792,5527.406112,4991.66836276,0.636298297984,0.636298297984,15.8501062213,,14.3142490042,2141141376490,2341359019690,7789891303590,,566.118537229,,174.734787512,0,31034.96064,29790.410475,8734.97448,8048.09613392,5911.59852,5795.46832327,12498.4512,12428.6043168,1629.031104,1310.51090634,30.3130764,28.3419408278,2135.49696,2177.14145837,,1.07743404303,,1.16996144467
1987,0.584803922,0.422432061827,26590.96297,25062.0779851,20791.86766,19434.113039,5340.021508,5216.96561996,0.616960650722,0.616960650722,15.4888202998,,13.9896580291,2146492007660,2407912634100,7912866504920,,579.636037713,,185.948117236,0,32157.46319,30347.3633483,9082.25496,8079.52477925,6221.48148,5966.33633188,12784.69692,12647.8466592,1772.03916,1394.61087927,30.7188432,27.7394303421,2164.36608,2229.1261732,,1.04468990472,,1.13440531981
1988,0.634803922,0.456476902307,27257.22676,25428.1728154,21603.10533,19642.0843801,5171.195822,5367.41127066,0.597622370354,0.597622370354,14.7342150271,,13.311401378,2154085050070,2473649843000,8011974881350,,592.434942226,,196.737720536,0,33355.27098,30862.7940377,9353.90808,8117.8269218,6511.98312,6135.51043466,13186.40904,12827.0206806,1931.92128,1475.53290402,32.24167056,26.4449450033,2233.725984,2278.34735888,,1.01194469439,,1.09884803087
1989,0.522303922,0.493583743807,27341.09605,25718.5138561,21894.29615,19870.4867929,4953.545343,5419.02656519,0.578283382342,0.578283382342,14.0154577624,,12.6634091332,2169193170540,2546310011430,8096682010940,,606.314289767,,207.9641434,0,34001.17371,31414.5142055,9443.17764,8183.77458227,6799.91328,6322.58408717,13395.37212,12989.4562294,1986.83856,1559.7310755,34.4481264,25.2021020556,2222.26992,2331.72364133,,0.979198285813,,1.06328944078
