Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_D1,World,Temperature Anomaly,K,0.328859443923,0.312479527676,0.503750114668,0.520017450991,0.7198582836,0.833087398052,0.932145679467,1.08534798044,1.20958518647,1.38139679489,1.48119384895,1.58893828683,1.71497896384,1.80195947029,1.91223407388,1.96557240624,2.04659510699,2.09923690768,2.16291090283,2.19603449021,2.23178499945,2.26947377927,2.29011792008,2.3301666285,2.34172818614,2.37577974981,2.38277137434,2.4203738386,2.42625021402,2.45898804148,2.46248624993,2.50127496113,2.50168961911,2.53497396299,2.55179649457
FRIDAv2.1,HD_D1,World,CO2 Emissions,MtCO2/Year,25455.6115721,24116.3812045,26160.2168662,28264.4194286,30377.2078968,34669.0197478,37127.6699109,39523.4133185,40338.6347551,42274.9054733,42029.3230943,38937.2795899,35170.9263997,31676.8717966,29402.0322294,26881.7145564,24456.7459836,22645.3255274,20715.2506044,19096.2001611,17807.7455945,17052.2558577,16883.1246238,16724.4948275,16618.4131706,16602.795809,16234.4626048,16088.4730451,15941.6191722,15578.702104,15796.5363054,15757.954799,15601.2089329,15924.4918362,16097.3825813
FRIDAv2.1,HD_D1,World,CO2 Emissions|Energy,MtCO2/Year,18817.7068587,18941.8316235,20195.5008675,22427.7140107,24752.5311836,28495.9485364,30935.3663669,32904.2119057,33855.7247495,35298.7043847,35426.0365199,31666.0371777,27474.7891862,23719.647493,20504.2796671,17724.3290494,15244.3461471,13114.3953523,11327.2984367,9798.77484061,8539.01249457,7672.62023622,7255.53966075,7063.93203244,6888.72747828,6711.6706083,6502.55036252,6258.09919845,5980.97732233,5708.4296211,5474.33568023,5271.7442622,5038.26840921,4835.37700888,4661.33301058
FRIDAv2.1,HD_D1,World,CO2 Emissions|Food and Land Use,MtCO2/Year,6224.39866789,4790.93612027,5510.60078027,5268.67759613,4896.69052646,5204.2944329,5021.67653404,5092.2248898,4828.77742134,4888.49839778,4382.94860307,4750.90881719,4947.76972767,5259.21563448,5650.45617261,5669.29857272,5474.0886837,5292.53086628,5073.06144446,4803.70529153,4601.41528037,4555.8574731,4627.37686753,4580.62206305,4476.78473581,4338.41667851,4187.66164055,4103.82929449,3993.06397823,3959.78294923,3949.07423264,3994.00380983,3994.1560962,4071.56196758,4091.04969633
FRIDAv2.1,HD_D1,World,Capacity|Electricity|Solar,GW,0.745,0.655642549814,0.558958349762,0.444539777992,4.12459603608,25.9080357749,30.9482692591,66.3362540354,306.455772952,896.661978307,1653.07450088,2379.33604359,3300.08632317,4368.49604068,5272.68926933,6111.62824609,6736.1616116,7055.6127825,7241.69789403,7408.87631727,7671.58951789,7976.3649263,8240.99451222,8529.78881314,8818.81592799,9240.12058108,9488.60443977,9720.10953971,9854.9275205,9905.57692085,9916.08012116,9967.41323723,10098.3632495,10271.0112076,10283.8752644
FRIDAv2.1,HD_D1,World,Capacity|Electricity|Wind,GW,0.745,0.655643016624,0.558959312642,0.444541607703,0.438450411621,15.2812313703,126.855285456,413.640414069,821.58860233,2195.03765361,3749.71177315,4679.62236155,5739.60727131,7194.71591693,8325.68624471,9433.42342613,10454.9961426,11178.3557842,11496.3231068,11788.0599214,11894.6508723,12130.3513655,12171.6605833,12492.1281924,12720.7884408,13076.0335165,13294.1370984,13546.6650809,13643.7682682,13596.3447266,13499.0246047,13519.7106078,13653.4295899,13686.2903773,13688.349651
FRIDAv2.1,HD_D1,World,Capacity|Biomass,Mt/Year,4.996998249,17.2029263579,15.1363302504,25.9185176826,38.4476111064,48.2016998445,125.445480041,176.189150535,220.488470936,291.77672582,227.392811281,276.24281142,492.604759467,858.967578072,1284.60502111,1709.41533706,2040.72908006,2305.0272652,2484.61773562,2621.39102628,2703.4470321,2835.59479114,3031.36318622,3255.64013825,3448.11315637,3601.95811524,3705.74160864,3750.41119929,3765.92135906,3755.66089966,3749.89683991,3741.47173393,3736.24759027,3722.19896826,3712.86922677
FRIDAv2.1,HD_D1,World,Production|Biomass,Mt/Year,4.419504854,15.4716833227,13.6554311512,23.2798922617,35.2627625793,43.6073598347,114.231361726,162.16215665,204.686657517,270.504913931,217.378483114,256.594210673,452.169930165,796.419246529,1194.07087254,1609.67672121,1947.7496815,2218.61121456,2406.42910711,2551.81028908,2646.2413923,2776.08085927,2959.24778522,3183.16641111,3383.67241238,3549.14686207,3664.26989978,3719.41434453,3743.82643531,3731.29598041,3723.11159228,3716.29276766,3722.76667656,3714.67416107,3698.51700355
FRIDAv2.1,HD_D1,World,Capacity|Coal,c$,2211946000000.0,2141956119750.0,2199576911590.0,2483683641800.0,2797601083890.0,3368641448290.0,3789630448570.0,3921229569730.0,3957834608560.0,4144057913630.0,4115994670140.0,3429758510240.0,2666859708110.0,2066381915830.0,1597847753450.0,1234494653730.0,952659105749.0,734137545601.0,565445211755.0,434640204673.0,334125132862.0,256354318584.0,196590337651.0,150675066241.0,115406708056.0,88322446588.7,67572199022.5,51691246560.6,39587486393.9,30323944666.0,23241673088.5,17840830861.7,13699590363.8,10525631794.2,8107794095.63
FRIDAv2.1,HD_D1,World,Capacity|Gas,c$,2103952000000.0,2271012433050.0,2619671871110.0,3053137955930.0,3367412141290.0,3780237512070.0,4029220376510.0,4469361521040.0,4792544081020.0,5167857529490.0,5345354712880.0,5377350589270.0,5278023294490.0,5039379269730.0,4739556337510.0,4390287658870.0,4012053644170.0,3634875755160.0,3248376480680.0,2881982166070.0,2555353260540.0,2330906604250.0,2254434416900.0,2246307780060.0,2221467308980.0,2181449743500.0,2124506226880.0,2046277940980.0,1950537900340.0,1866034153360.0,1774145836690.0,1685193758230.0,1591204667570.0,1493218007090.0,1407144682600.0
FRIDAv2.1,HD_D1,World,Capacity|Oil,c$,7580950000000.0,7626447956480.0,8208467982020.0,8794213057860.0,9409113253360.0,10236392242400.0,10341665662800.0,10912182168500.0,11004473598600.0,10983989132500.0,10932838379400.0,10351044989000.0,9553875169980.0,8712702695380.0,7889309950100.0,7097908204220.0,6346094129810.0,5652212294710.0,5022258978170.0,4429347721020.0,3918791532290.0,3562071843580.0,3413779420110.0,3353430516510.0,3294631543970.0,3245176104410.0,3165795288670.0,3074863801310.0,2975039296610.0,2873196034320.0,2785005239830.0,2689111570320.0,2579665735850.0,2474423207980.0,2357815025260.0
FRIDAv2.1,HD_D1,World,Capacity|Electricity|Hydro,GW,478.7958486,556.012660224,623.689871896,695.860696053,745.880876782,811.491732919,929.681907881,1082.54821055,1194.05488725,1244.46630938,1192.54902277,1223.56295504,1324.33872381,1430.81620082,1530.6599209,1608.67485412,1661.87722617,1695.720113,1711.59780989,1713.18720973,1707.14321438,1716.06367207,1754.05696595,1797.51660896,1829.99419796,1851.69357094,1863.58308643,1867.83500543,1867.26313936,1864.94911695,1862.15800285,1858.70197379,1855.57980221,1850.65346072,1845.87167138
FRIDAv2.1,HD_D1,World,Capacity|Electricity|Nuclear,GW,97.56176128,164.511335446,222.428699818,294.029060318,339.045160728,351.419086157,358.176855823,366.266760316,386.89438947,410.148404359,679.004349305,1109.30152906,1759.23272858,2570.14743008,3522.86062026,4508.22133885,5442.89307395,6313.80218955,7087.58540376,7771.75734628,8396.00605965,8790.66565103,8994.29329451,9151.78032666,9366.35507175,9547.48556996,9696.00666152,9815.10609021,9892.32817181,9956.37742612,10035.092084,10114.3593869,10186.2004182,10255.0421324,10335.7335627
FRIDAv2.1,HD_D1,World,Secondary Energy,TWh/Year,28005.3587678,29222.3805356,32126.247648,36470.9426711,40779.6499311,47138.0270274,52206.1849734,58165.3187832,61916.1388443,69315.7740937,76274.9454941,78307.4686557,79564.326087,84905.3125155,90874.792991,97285.1580121,102936.724327,107781.964253,111081.127882,114039.841487,116623.981544,118877.99647,120758.848262,123137.896528,125632.031462,128312.665495,129996.947513,131394.516598,131805.734711,132141.293585,132400.959662,132965.642989,133184.178748,134113.432955,134761.628215
FRIDAv2.1,HD_D1,World,Secondary Energy|Coal,TWh/Year,8227.64508506,8036.99264307,8310.24942524,9479.29896101,10902.0570409,13519.2827588,15832.098387,16965.7691653,17326.2934671,18669.0263811,18917.9710508,15757.9843925,11868.1143644,9101.13087541,6919.6500739,5217.75553944,3912.34292436,2918.87183383,2169.68026617,1602.1671278,1175.72865925,856.620487279,619.874393821,445.663121448,318.238095978,225.559534986,158.829569534,111.209605433,77.4154350026,53.5334175825,36.8002750515,25.1942790333,17.1655227938,11.6554215962,7.8788903037
FRIDAv2.1,HD_D1,World,Secondary Energy|Gas,TWh/Year,5166.98073528,5617.97630157,6532.45483047,7739.26316423,8793.97946518,10311.695909,11585.0287646,13585.6147137,15071.137172,16844.1277062,17789.2764656,17812.6621079,16792.3457395,15523.5168157,14046.852776,12432.9880297,10797.2679629,9290.16107399,7951.96652332,6777.94814996,5779.76713264,5054.00948975,4684.28667279,4476.66062311,4274.03434843,4029.72274327,3779.77633487,3521.69449634,3248.84678416,2992.28516908,2741.97314229,2510.98195715,2286.26230975,2091.50163408,1900.56486636
FRIDAv2.1,HD_D1,World,Secondary Energy|Oil,TWh/Year,12027.4682827,12159.2806446,13199.2416545,14325.860125,15605.3464966,17383.8120486,17987.7173981,19401.1739561,19676.4764734,19836.8106262,19847.3481047,18648.849764,16606.9661859,14692.5666498,12795.7575531,10980.6821212,9330.9519119,7888.21894239,6638.63960766,5548.67582252,4628.9321591,3956.8987312,3558.18212991,3289.95660599,3044.90864647,2814.11479221,2591.60560806,2370.81014311,2161.95853974,1959.14121531,1759.28765555,1585.86323871,1410.82288439,1237.33041929,1072.79382459
FRIDAv2.1,HD_D1,World,Secondary Energy|Electricity|Nuclear,TWh/Year,731.69378745,1233.90081314,1668.45729563,2205.31731216,2541.86516077,2635.70397933,2686.25479118,2746.42911475,2794.28158949,2962.17300052,4904.52139619,8007.63511692,12076.7762636,17635.074054,24187.3576845,30948.7556659,37341.4713456,43340.3177999,48645.1527926,53356.216948,57591.949875,60335.7724682,61733.1822092,62857.5252097,64255.3193943,65535.3037885,66540.4837776,67330.8497745,67880.1809842,68360.8602858,68857.4790369,69442.1598568,69886.1061756,70410.963991,70952.0357215
FRIDAv2.1,HD_D1,World,Secondary Energy|Biomass,TWh/Year,8.6891346787,30.54426323,27.1887587997,46.9718734992,72.3423909709,91.2038056116,244.517204406,355.926962116,453.327658339,610.428185309,496.628461198,591.907623504,1034.29964369,1828.21014964,2738.8443717,3693.50048201,4466.29299023,5085.90823947,5516.64938884,5848.53335087,6055.84114697,6343.11155153,6751.39081578,7264.49939944,7724.39040327,8083.04595682,8323.84096499,8456.98008818,8497.32677505,8487.85767318,8456.34085256,8454.06162601,8459.69455578,8425.40145191,8398.32918758
FRIDAv2.1,HD_D1,World,Secondary Energy|Electricity|Hydro,TWh/Year,1841.24836071,2138.72301203,2398.31471854,2676.25455022,2868.64772559,3120.94380256,3574.69391292,4162.71180832,4504.16744218,4695.3695152,4498.69650017,4616.10276576,4908.31332062,5304.85813014,5676.65329519,5963.40298513,6159.60242391,6282.7126511,6342.61569699,6352.8220864,6326.85698609,6357.68844291,6502.03821089,6662.15310901,6782.53477971,6863.73531357,6907.08937067,6921.82384618,6919.22486068,6912.00448004,6901.54957294,6890.70390842,6877.63532766,6859.170532,6844.47627933
FRIDAv2.1,HD_D1,World,Secondary Energy|Electricity|Solar,TWh/Year,1.26149537012,1.11018158711,0.946454379917,0.752706595395,6.982742388,43.872504457,52.390837562,112.321368101,519.0292253,1518.22397289,2799.47317866,4028.65557971,5589.07311094,7396.45600235,8927.09528822,10345.9974841,11405.8166658,11944.8258788,12259.2374718,12546.4664991,12988.6789231,13509.0457071,13953.5968582,14444.806068,14936.3078077,15646.4688369,16066.8564874,16455.5409863,16688.4915479,16776.5829572,16790.7447303,16877.6662998,17099.8730038,17390.5244459,17413.526544
FRIDAv2.1,HD_D1,World,Secondary Energy|Electricity|Wind,TWh/Year,1.3698312236,1.20565540342,1.02784441688,0.817447806685,0.806615686455,28.0980842834,233.354792733,760.602321785,1510.23103578,4034.70233435,6897.01351513,8606.21555076,10557.6445704,13224.2058027,15315.2781236,17336.569858,19231.4938974,20561.2999607,21135.8694384,21671.3950621,21870.7656627,22309.7696303,22397.1876612,22958.0952231,23388.1111494,24042.8979756,24445.1364993,24872.2622909,25090.9893766,25003.7771375,24811.0274596,24853.9186121,25085.2942228,25169.1878453,25149.4524624
