Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_D1_20_10,World,Temperature Anomaly,K,0.328859443923,0.312479527676,0.503750114668,0.520017450991,0.7198582836,0.833087398052,0.932145679467,1.08534798044,1.20958518647,1.38155104302,1.4810661902,1.58889226978,1.71532226482,1.80324668105,1.91320307947,1.96895487353,2.04887765077,2.10269030864,2.16757395987,2.20061508534,2.23712623456,2.27617846535,2.29619015899,2.33739441357,2.3501873297,2.3855123835,2.3947951284,2.43129580276,2.43495415947,2.470185005,2.47298467119,2.51638860085,2.51399996506,2.54445684412,2.55459695369
FRIDAv2.1,HD_D1_20_10,World,CO2 Emissions,MtCO2/Year,25455.6115721,24116.3812045,26160.2168662,28264.4194286,30377.2078968,34669.0197478,37127.6699109,39523.4133185,40338.6347551,42192.402732,42168.5111066,39057.4654055,35470.2531316,31972.4122964,29657.0265561,27332.6442654,24978.1891579,23220.5913401,21370.3432755,19795.3437615,18487.1536537,17696.590997,17629.6343924,17584.6382201,17464.8902207,17521.1118914,17222.1905793,17055.4534574,16971.4376633,16516.4512272,16664.5034811,16655.7261235,16417.2684484,16812.3342958,16903.89759455
FRIDAv2.1,HD_D1_20_10,World,CO2 Emissions|Energy,MtCO2/Year,18817.7068587,18941.8316235,20195.5008675,22427.7140107,24752.5311836,28495.9485364,30935.3663669,32904.2119057,33855.7247495,35217.492215,35620.6698366,31861.8782671,27622.9252341,23870.1820924,20677.9844872,17937.5460994,15510.9263398,13439.3173895,11700.503226,10223.7923951,8963.60731759,8125.45766031,7749.05887261,7599.14180341,7474.18160127,7326.17787999,7129.04325997,6882.79831546,6633.04481522,6392.14588337,6137.91365496,5903.00149329,5662.66771847,5464.40157667,5234.98255156
FRIDAv2.1,HD_D1_20_10,World,CO2 Emissions|Food and Land Use,MtCO2/Year,6224.39866789,4790.93612027,5510.60078027,5268.67759613,4896.69052646,5204.2944329,5021.67653404,5092.2248898,4828.77742134,4883.15075889,4379.81699289,4761.10559997,5072.93558744,5383.29559153,5746.14736233,5883.83565907,5724.2297188,5525.60314907,5274.1997571,5006.67779685,4759.77099623,4715.02323907,4808.46200715,4773.98611981,4661.54332611,4535.03606691,4357.34895037,4210.55262277,4093.98689398,4047.54995101,4039.16347346,4086.97221601,4068.77621563,4183.99871654,4162.27284535
FRIDAv2.1,HD_D1_20_10,World,Capacity|Electricity|Solar,GW,0.745,0.655642549814,0.558958349762,0.444539777992,4.12459603608,25.9080357749,30.9482692591,66.3362540354,306.455772952,788.585728481,1554.18250559,2251.8740217,2952.51658596,3815.73999111,4623.68845923,5471.93328437,6215.05979395,6666.83143524,7056.92140255,7381.47488758,7553.81485275,7745.40124147,7949.91540882,8137.73540059,8485.68728851,8809.42806532,9037.21070764,9182.4302647,9270.5816421,9275.95237994,9286.19286832,9300.91074593,9400.18651417,9524.43687023,9506.87455377
FRIDAv2.1,HD_D1_20_10,World,Capacity|Electricity|Wind,GW,0.745,0.655643016624,0.558959312642,0.444541607703,0.438450411621,15.2812313703,126.855285456,413.640414069,821.58860233,1837.95730126,3623.14176688,5011.23901214,6121.83115441,7612.78832217,8802.9596785,9871.71095365,10855.5723049,11557.2216433,11987.640714,12208.8465943,12357.4637111,12497.718125,12519.1067492,12719.914884,13026.0537897,13461.3733496,13654.1591845,13992.0356677,14264.8316603,14383.5329485,14438.2902994,14564.3978335,14732.4826503,14901.4910187,15081.4945686
FRIDAv2.1,HD_D1_20_10,World,Capacity|Biomass,Mt/Year,4.996998249,17.2029263579,15.1363302504,25.9185176826,38.4476111064,48.2016998445,125.445480041,176.189150535,220.488470936,292.462985918,230.941471394,309.561501466,545.978405621,952.455794451,1414.84107633,1910.02527727,2328.81930261,2665.53587202,2909.45674455,3093.40492204,3216.29130416,3369.34823673,3607.83959948,3901.98546658,4139.96014759,4345.28012496,4472.62456999,4519.53820771,4519.41184934,4494.83825361,4493.7556641,4468.26970131,4450.64167842,4433.23953648,4410.89121467
FRIDAv2.1,HD_D1_20_10,World,Production|Biomass,Mt/Year,4.419504854,15.4716833227,13.6554311512,23.2798922617,35.2627625793,43.6073598347,114.231361726,162.16215665,204.686657517,271.406982945,221.19075198,286.733085897,501.198692543,876.699075247,1316.66158031,1793.60699533,2215.9871784,2560.47689635,2814.67454611,3013.35504301,3146.14401749,3297.86485501,3519.44717797,3814.11267739,4055.82066544,4275.233232,4409.97499985,4478.1623582,4492.99544508,4468.41364482,4462.36306009,4448.13816924,4442.44711473,4413.64391884,4405.38355383
FRIDAv2.1,HD_D1_20_10,World,Capacity|Coal,c$,2211946000000.0,2141956119750.0,2199576911590.0,2483683641800.0,2797601083890.0,3368641448290.0,3789630448570.0,3921229569730.0,3957834608560.0,4134069428360.0,4133441594260.0,3440668517630.0,2676263315390.0,2072259541730.0,1602543600470.0,1238092833700.0,955544504697.0,736936659178.0,567898293529.0,436858329226.0,335559768322.0,257571201993.0,197994824343.0,151920965916.0,116417551860.0,89201170993.3,68270786750.9,52284975065.2,40043517823.7,30688726731.6,23516291907.3,18036355990.7,13834703723.8,10644151102.9,8188783886.7
FRIDAv2.1,HD_D1_20_10,World,Capacity|Gas,c$,2103952000000.0,2271012433050.0,2619671871110.0,3053137955930.0,3367412141290.0,3780237512070.0,4029220376510.0,4469361521040.0,4792544081020.0,5158235908010.0,5373597446210.0,5410408760050.0,5293135365230.0,5056539469180.0,4762807682430.0,4418516562460.0,4031030962120.0,3651147372620.0,3263091213630.0,2894957135740.0,2568305278470.0,2336246033940.0,2258290087820.0,2249391530760.0,2224218044350.0,2185574209180.0,2122136034290.0,2047184543690.0,1954613364460.0,1869235661620.0,1774378904940.0,1687616225200.0,1590923932550.0,1494166386240.0,1406105196740.0
