Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_D4_20_10,World,Temperature Anomaly,K,0.502528567101198,0.5140065786987995,0.6756807015853998,0.6752734085331998,0.8737040504141999,0.964065778064,1.06037143559,1.228082097738,1.3710607736059996,1.5853427392719999,1.754483475652,1.937423756006,2.15783482203,2.3303668581019994,2.518780066836,2.6610730701699996,2.81347465626,2.9368011418239997,3.0829817601159997,3.1906324979679996,3.30614314365,3.4187651077599996,3.516146368962,3.630757066526,3.710669187728,3.802114130169999,3.8764974499579994,3.9752428102159993,4.031474011197999,4.127328945249999,4.200344429822,4.313701171248001,4.400049307692,4.4861515271779995,4.565296834333998
FRIDAv2.1,HD_D4_20_10,World,CO2 Emissions,MtCO2/Year,26424.6374219,25222.597218739997,26634.221195719998,28767.89413108,31119.43593994,35595.25437116,38588.64782626,41128.51196438,42434.93016198,45000.38958468,45330.74197606,43474.45260244,39356.13330304,36778.217928,34313.77656452,32196.514091719993,30166.499142020002,28256.229561279997,26605.545349419997,25252.99323308,23845.90345384,23464.19564308,23577.78566744,24111.079843599997,24683.542948199993,25645.41450106,26005.839331659998,26976.217351119987,26949.56191588,27123.906455939992,27370.589078159992,27594.3521543,28416.812915539984,28307.965740779997,28453.041655759993
FRIDAv2.1,HD_D4_20_10,World,CO2 Emissions|Energy,MtCO2/Year,18847.916614460002,19119.99196082,20461.82313416,22800.531627480002,25375.91502008,29307.66750398,32095.00700954,34261.843421159996,35501.999232279995,37539.15427898,38330.00456662,35222.14906104,30885.48286556,27334.6671412,24170.338098819997,21455.70027488,19014.56362184,16900.298900539998,15041.0949909,13476.02575218,12060.69985502,11054.751270899998,10684.517415339998,10572.0766469,10479.866695140001,10409.03104928,10224.20814588,9976.596024961998,9655.077414758,9284.552534977998,8935.326018791999,8585.623989876,8243.524495722,7925.276600222,7626.05566017
FRIDAv2.1,HD_D4_20_10,World,CO2 Emissions|Food and Land Use,MtCO2/Year,7196.686996262,5895.026438983999,5887.86649855,5645.585280978,5191.922809666,5521.2185287639995,5351.52492015,5428.585280269999,5194.195494078,5302.640946533999,4749.363033801999,5287.410470258,5507.3222043119995,6004.465020562,6387.33256171,6401.988886218,6328.702809014,6072.9298875859995,5827.6305508,5522.10453844,5350.245876063999,5222.131357,5324.513999544,5297.131866155999,5291.220721497999,5301.069125071999,5253.86515572,5312.829443053999,5327.376909171999,5282.126420397999,5371.150220991999,5375.354791899999,5364.893028897999,5484.9890555599995,5411.596683486
FRIDAv2.1,HD_D4_20_10,World,Capacity|Electricity|Solar,GW,0.745,0.6556544279288,0.5589871513806,0.4445817949436,5.000246505548,34.63014694955999,56.56091234461999,148.1927190963999,515.8862385704,1104.50427727,1946.99419419,2954.438704764,4174.6193392039995,5565.999680283999,6838.596347377999,8017.5175067400005,8915.754839796,9599.999598369997,10085.876079179996,10530.594688059999,10942.02952926,11252.05165756,11377.75889082,11707.6199289,12139.917291959999,12734.635235779997,13347.60512346,13833.68782706,14175.998508339995,14423.732905719984,14602.019762519994,14889.412658659994,15203.487818659998,15652.861122599994,16094.001817859997
FRIDAv2.1,HD_D4_20_10,World,Capacity|Electricity|Wind,GW,0.745,0.6556546462342,0.5589880095199999,0.46405601933779955,0.5013452919651997,17.87772858752,146.58495854539996,463.8211656454,935.1402731623998,1681.7103751099999,2641.018594614,3667.4851353619993,4763.134284186,5960.839424741999,6973.798202588,7868.087069579999,8579.588471473997,9086.686799647996,9355.846176911999,9587.41437841,9767.577421811999,9931.256400339998,9931.512224021999,10032.57770612,10255.40018182,10590.61374624,10931.022271239992,11231.78131982,11305.325233099995,11453.44917179999,11494.81529804,11637.3200473,11746.724325,11897.792449159999,12135.528814539995
FRIDAv2.1,HD_D4_20_10,World,Capacity|Biomass,Mt/Year,6.3826063296,22.10499200198,20.23278168084,32.85986840197999,45.87302037905999,55.70220368554,137.43141382459999,191.91110160719995,246.8270284592,328.9484145182,266.5349178258,342.92702682059996,601.4683247755999,1033.236697884,1537.901499836,2045.39661563,2481.6879247299994,2833.520709558,3084.40941061,3272.459074756,3389.645355738,3523.2825489419997,3724.411759345999,3966.6037484039985,4201.278803539999,4406.053850232,4538.737365277999,4608.499992941999,4677.644269049999,4691.018976048,4706.638204298,4741.699835691999,4757.978297355999,4771.066010754,4792.201286125999
FRIDAv2.1,HD_D4_20_10,World,Production|Biomass,Mt/Year,5.6649027325359995,19.848926415079998,18.294046738619997,29.77530413616,42.08610594298,50.368141269759995,125.19912726039999,176.4568813962,227.95751679359998,303.518082003,254.847975621,316.089240961,553.521847286,947.1153579372,1423.9401587419998,1913.5055158139999,2348.04928703,2709.925626332,2982.1295292799996,3181.5730825279984,3310.311727138,3437.1094785339997,3631.7223373939996,3865.860196605999,4091.248338952,4311.013926646,4468.766128552,4549.050631953999,4601.40687222,4627.846498915999,4641.632743773999,4676.140142119998,4694.841672714,4715.655713818,4738.11611817
FRIDAv2.1,HD_D4_20_10,World,Capacity|Coal,c$,2213282600000.0,2166767780152.0,2238177034488.0,2530162373568.0,2866571868440.0,3455718890958.0,3920920138536.0,4078132486837.9995,4151073150056.0,4436869756580.0,4501109954992.0,3857169057656.0,3005614117754.0,2328282137014.0,1801054679590.0,1391506259950.0,1073719334923.9999,827714597102.2,637911755192.0,490963524026.0,377154392589.0,292022572855.39996,299164037933.39996,351427561660.5999,417730076066.3999,469585397459.0,506564353182.5997,530230002802.3997,540208381828.19995,532308374245.59985,517741794143.3998,490930050365.59937,458102991497.5999,416538493072.1998,366032728321.8
FRIDAv2.1,HD_D4_20_10,World,Capacity|Gas,c$,2106686800000.0,2305335954384.0,2676692813006.0,3122351236208.0,3465602755690.0,3894577290544.0,4183340810772.0,4657403639024.0,5029299937606.0,5533530547296.0,5851228544948.0,6147356838563.999,6214530128520.0,6317202687138.0,6304840328575.999,6177743247926.0,5919159129058.0,5617957134888.0,5271945873570.0,4885480906210.0,4500065949328.0,4210805945185.999,4073069139668.0,3992356857460.0,3903815803151.9995,3815897139254.0,3713576056343.9995,3574454990892.0,3415632918917.9995,3267583755010.0,3115646492230.0,2971303595951.999,2825998659243.9995,2698349401572.0,2574001499667.9995
