Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_D4_20_10_Limit,World,Temperature Anomaly,K,0.328859443923,0.312479527676,0.503750114668,0.520017450991,0.7198582836,0.833087398052,0.932145679467,1.08534798044,1.20958518647,1.38168787284,1.4811357298,1.5878000225,1.71460737449,1.80088590157,1.91235046854,1.97014555668,2.05362479159,2.11212314639,2.18215495412,2.21929980183,2.26013885245,2.30329589197,2.32222580393,2.3698746759,2.38175840194,2.41776817416,2.42366893742,2.46131011171,2.46527989207,2.49763691128,2.50297781752,2.54544212889,2.5419424173,2.57551274213,2.59233321636
FRIDAv2.1,HD_D4_20_10_Limit,World,CO2 Emissions,MtCO2/Year,25455.6115721,24116.3812045,26160.2168662,28264.4194286,30377.2078968,34669.0197478,37127.6699109,39523.4133185,40322.0992731,41978.7316934,41921.5588294,39300.223224,35815.8001256,33102.6942677,31247.6894104,29173.3742777,26840.6145794,24951.6345751,22415.6072725,20626.669191,18421.3522656,16582.5946716,16665.9793324,16252.8133833,15931.6045048,16178.3386062,15800.5644846,15410.5616292,15449.1698621,15081.7124809,15021.7079396,15127.0983696,15030.5073595,15299.0581842,15413.3478609
FRIDAv2.1,HD_D4_20_10_Limit,World,CO2 Emissions|Energy,MtCO2/Year,18817.7068587,18941.8316235,20195.5008675,22427.7140107,24752.5311836,28495.9485364,30935.3663669,32904.2119057,33841.0491341,35004.1942707,35374.6081056,32122.8302652,28171.8558546,25115.1795584,22348.2570707,19853.4096551,17466.5986622,15408.9960137,13385.4911588,11278.1904942,9531.81279176,8232.98582363,7557.17167556,7206.34943941,6915.72632782,6643.95019655,6376.91615939,6074.18981399,5784.58083602,5503.15898906,5235.6609625,5020.66329769,4784.15174174,4549.21357623,4347.94074497
FRIDAv2.1,HD_D4_20_10_Limit,World,CO2 Emissions|Food and Land Use,MtCO2/Year,6224.39866789,4790.93612027,5510.60078027,5268.67759613,4896.69052646,5204.2944329,5021.67653404,5092.2248898,4823.27487876,4880.32953635,4360.91019222,4709.70737326,4915.65289549,5288.10385809,5658.02729897,5738.4126812,5561.85544374,5332.49468923,4741.14573944,4409.14076812,4170.95215944,3998.55781811,4140.14561325,4253.96448657,4108.29780406,4038.13655401,3978.31391909,3863.27821344,3830.83632407,3854.58072473,3826.98603113,3854.3852882,3842.07235301,3912.65627916,3944.29838116
FRIDAv2.1,HD_D4_20_10_Limit,World,Capacity|Electricity|Solar,GW,0.745,0.655642549814,0.558958349762,0.444539777992,4.12459603608,25.9080357749,30.9482692591,66.3362540354,306.455772952,751.222363633,1439.9395274,2274.62602038,3307.01477206,4532.43812019,5551.29941389,6404.33765091,6936.84863379,7231.50387607,7256.32757699,6965.95543134,6716.58966224,6538.66869187,6572.84177872,6846.9025972,7294.07557362,7691.92215314,7989.1673822,8086.55783757,8154.87112668,8200.09590727,8250.8122302,8404.60186662,8523.52131891,8662.8323127,8749.23577223
FRIDAv2.1,HD_D4_20_10_Limit,World,Capacity|Electricity|Wind,GW,0.745,0.655643016624,0.558959312642,0.444541607703,0.438450411621,15.2812313703,126.855285456,413.640414069,821.58860233,1400.89256878,2160.91818423,2910.79260902,3745.25569089,4744.50606621,5525.70037445,6130.19248999,6477.03060218,6620.37979901,6527.58587566,6148.83757655,5837.68116745,5568.36744076,5444.28482849,5557.60300496,5787.86140189,6029.486868,6160.76184776,6170.9959844,6141.24016042,6129.10611117,6128.51691901,6159.55540905,6215.0918438,6269.88597201,6284.44162447
FRIDAv2.1,HD_D4_20_10_Limit,World,Capacity|Biomass,Mt/Year,4.996998249,17.2029263579,15.1363302504,25.9185176826,38.4476111064,48.2016998445,125.445480041,176.189150535,220.183229159,276.579857554,216.201483404,261.609781823,464.255067649,853.85127471,1291.67292694,1733.10075533,2091.12211376,2373.34385305,2508.89951134,2461.98699026,2380.0886149,2328.0593643,2415.72876456,2574.26065957,2697.37719443,2806.00336498,2860.17581684,2881.44953199,2891.58461212,2891.40057638,2888.42275839,2895.17694652,2898.43259323,2894.35020633,2891.83520788
FRIDAv2.1,HD_D4_20_10_Limit,World,Production|Biomass,Mt/Year,4.419504854,15.4716833227,13.6554311512,23.2798922617,35.2627625793,43.6073598347,114.231361726,162.16215665,204.530845003,256.953057042,206.517579807,242.746359018,428.051656788,786.940115738,1199.9242053,1629.32801202,1990.68014681,2282.48529863,2455.56109311,2421.63807627,2349.38641684,2302.29716541,2367.2324513,2520.39909563,2661.13726368,2769.02221793,2838.17967143,2865.29989965,2874.26459334,2873.8156969,2877.23959566,2886.52394007,2888.36498887,2882.70772186,2884.50583785
FRIDAv2.1,HD_D4_20_10_Limit,World,Capacity|Coal,c$,2211946000000.0,2141956119750.0,2199576911590.0,2483683641800.0,2797601083890.0,3368641448290.0,3789630448570.0,3921229569730.0,3956321617580.0,4115952389770.0,4123006768920.0,3482057426660.0,2709300425140.0,2098581784720.0,1623355081510.0,1253318674830.0,966937635069.0,745296642541.0,573840127224.0,441146555972.0,339025927177.0,260258445355.0,200583530085.0,155661410751.0,120030853963.0,92479321992.9,71224111925.0,54618408081.8,41860938591.1,32097584315.3,24609869874.3,18889537467.8,14517067694.5,11172234196.1,8606003477.0
FRIDAv2.1,HD_D4_20_10_Limit,World,Capacity|Gas,c$,2103952000000.0,2271012433050.0,2619671871110.0,3053137955930.0,3367412141290.0,3780237512070.0,4029220376510.0,4469361521040.0,4790303141570.0,5156897395400.0,5378906879430.0,5520694206350.0,5525774837850.0,5577988286290.0,5479641943810.0,5305128043760.0,5019701058860.0,4704993280780.0,4292611662440.0,3757050579750.0,3274030193420.0,2900588640750.0,2728523071360.0,2669041930340.0,2596389479350.0,2523083539320.0,2442474873310.0,2343207926170.0,2245844299700.0,2156230731510.0,2056839693210.0,1959726975730.0,1859403545950.0,1765308894480.0,1671250942840.0
