Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_D4,World,Temperature Anomaly,K,0.191702620603,0.1619768816846,0.3893968485436,0.42188482752,0.6213314268484,0.716693481942,0.7958487295916,0.9149381379914,0.9953403618286,1.11126249411,1.1830580085740001,1.256632863036,1.335339439196,1.38538332961,1.45485138615,1.4699691047719998,1.517053765112,1.534177346084,1.575259543246,1.579283367784,1.59522101571,1.605224902404,1.601287211846,1.617838808654,1.6047756925580001,1.618857560208,1.612661030222,1.630478297766,1.617261331676,1.629691045422,1.619015192584,1.637863525528,1.629664836646,1.63721276885,1.633054587396
FRIDAv2.1,HD_D4,World,CO2 Emissions,MtCO2/Year,23565.90845614,23383.69266804,25605.88946698,27804.3665982,29727.12444832,33784.91381684,35942.47105936,37927.19259438,38603.28887856,40092.22296582,40121.92577954,36945.94162854,33000.18620594,30038.59404742,27369.57492596,25331.1596952,22815.22518578,20801.06755706,19145.872925260002,17336.62681614,15928.39505264,15150.49268524,14542.25700622,14369.04633442,14126.99514244,13588.28888012,13139.64289672,12702.39114978,12178.39667508,11822.366083300001,11383.16226816,11256.433919660001,10876.131936419999,10769.95716998,10495.47161276
FRIDAv2.1,HD_D4,World,CO2 Emissions|Energy,MtCO2/Year,18789.3389963,18751.64509298,19922.72127456,22076.49249062,24200.064406920003,27731.51920206,29939.33367968,31579.85800456,32372.36650248,33687.11965986,33907.84524298,30499.06468796,26432.7188905,22914.4137161,19878.8257716,17210.469948140002,14848.70653704,12744.6079973,10958.40111286,9413.364917024,8155.621210122,7289.176129688,6852.51577804,6607.6918597700005,6403.568885988,6164.6140175519995,5903.302575804,5582.050986327999,5234.285837878,4978.748402028,4663.3669931760005,4395.317272865999,4156.026715266,3941.05116878,3707.3861852779996
FRIDAv2.1,HD_D4,World,CO2 Emissions|Food and Land Use,MtCO2/Year,4315.8428452319995,4036.65912275,5056.43077764,4881.0712686179995,4604.398567028,4905.689236702,4720.612707292,4767.146841524,4494.009307758,4438.157753682,3980.875100268,4177.294771686,4249.783056444,4596.08426513,4883.60295109,4954.827004954001,4820.851312804,4633.94728328,4428.2327490299995,4135.029824632,3896.067310662,3790.767758592,3799.1025768140003,3704.057545316,3612.235659814,3425.126214252,3205.4904208340004,3069.913004526,2888.853234736,2797.28250372,2704.321996944,2697.2231416880004,2632.888458946,2570.574337956,2505.397419418
FRIDAv2.1,HD_D4,World,Capacity|Electricity|Solar,GW,0.745,0.6555851497338,0.5588471543914,0.4443969117686,3.191389567662,15.864346689840001,14.17823062652,15.112366899100001,97.19252998508001,443.1666868282,1072.41574546,1902.235089028,2882.627339672,3841.848865946,4693.908827028,5276.719514048,5623.374847916,5706.405394746001,5676.845044572,5554.110452878,5531.952048331999,5459.896398656,5319.176352984,5350.884346068,5504.490533388001,5642.7648315980005,5809.944398918001,5809.838876702001,5838.262479232,5786.036349064,5733.499237038,5689.682668426,5787.967857284,5874.75541407,5923.5800326339995
FRIDAv2.1,HD_D4,World,Capacity|Electricity|Wind,GW,0.745,0.6555851497338,0.5588471543914,0.4443969117686,0.395597458391,13.18535030776,112.3179942712,370.164515065,731.0847255706,1359.499627048,2124.036467262,2867.785059644,3625.054518256,4298.832245118,4834.940336146,5197.579680124,5353.7202253919995,5371.002847444,5259.951653325999,5056.415520504,4930.904793408,4809.411042172,4586.63285693,4510.044727521999,4489.382727938,4541.032893132,4546.473870809999,4556.580470382,4487.61536662,4402.501536756,4304.383104346,4277.597874526,4324.056098322,4297.262123964,4297.617008706
FRIDAv2.1,HD_D4,World,Capacity|Biomass,Mt/Year,3.61439192,13.046883431240001,11.15896034938,20.68602860232,32.5853628138,41.8702329052,114.3107779634,160.2119664696,195.2865820636,237.902950916,185.7386699472,215.0581444136,373.6801595714,658.8899598301999,1008.487677024,1363.07455353,1664.614895416,1902.580860706,2063.6476927040003,2167.723493908,2227.719237536,2319.50209099,2451.019740998,2646.690148988,2786.2377235120002,2898.351118614,2951.863558924,2939.536301134,2932.4826870519996,2914.514114948,2881.266400814,2838.444351322,2848.415613646,2821.734739348,2804.5047376
FRIDAv2.1,HD_D4,World,Production|Biomass,Mt/Year,3.198112779002,11.69240561746,9.991614296842,18.625934896580002,29.85318063604,37.90003393554,103.6719283118,146.9257859054,181.45571829280001,221.42917974760002,176.3229729642,199.943350286,348.2518335372,611.1660859064,937.7372714332,1284.74607452,1577.752702066,1831.405230516,2001.739099556,2118.4864998159997,2180.9518668299997,2278.953695806,2401.474616994,2597.564072158,2746.997896842,2861.9225473100005,2923.36628312,2919.8999503180003,2917.857585018,2905.067863986,2864.008884894,2839.841572602,2854.4491669219997,2824.3908728720003,2808.605341852
FRIDAv2.1,HD_D4,World,Capacity|Coal,c$,2210642800000.0,2116031532966.0,2159669012486.0,2438186056964.0,2733755038474.0,3277808641338.0,3671735246480.0,3768100952028.0,3777490583414.0,3956429090188.0,3894782725022.0,3242573986112.0,2521874915128.0,1952739235434.0,1509999691074.0,1166164188938.0,900041818204.0,692472312761.8,533120132824.4,409226933142.2,313665186065.8,240116033688.8,183862421902.8,140720406183.8,107527317740.0,82157487789.14,62788525321.32,48019820892.94,36603408838.62,27909953931.38,21320213812.52,16343649701.22,12509806928.98,9583680618.486,7363006339.3619995
FRIDAv2.1,HD_D4,World,Capacity|Gas,c$,2101251800000.0,2228683545050.0,2552628495204.0,2981070659112.0,3287888244404.0,3674756198082.0,3898283570476.0,4287865019044.0,4586479997884.0,4917471922428.0,5096350236850.0,5138986488580.0,4965469485860.0,4661066765238.0,4301620720320.0,3961108605350.0,3562012825430.0,3215634700308.0,2834627320290.0,2466357989834.0,2146388919484.0,1948282506626.0,1888740836928.0,1906129475756.0,1906515872928.0,1875084110158.0,1828309625956.0,1777735592788.0,1699002956462.0,1630691803284.0,1555135271106.0,1477992825206.0,1406388470964.0,1309260995188.0,1217634874306.0
