Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Temperature Anomaly,K,0.328859443923,0.312479527676,0.503750114669,0.520025699891,0.720644535134,0.833040098673,0.932145679468,1.0850433351,1.20877265357,1.38016806925,1.47851278828,1.58862629864,1.71839675164,1.81011918144,1.91929564683,1.97995578374,2.06433322156,2.12229947254,2.19127592878,2.22896600658,2.27161380461,2.31654446097,2.33998230311,2.39073518436,2.40380295392,2.44300167757,2.45389181914,2.49653849164,2.50836660307,2.54749015237,2.55212692676,2.5946258988,2.60087192556,2.63461107715,2.65343316423
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,CO2 Emissions,MtCO2/Year,25448.8367189,24116.9307383,26159.9863159,28269.6518789,30381.9156367,34669.0529505,37145.5276276,39524.5741893,40360.9972803,42418.2678014,42577.2652168,40161.2407509,36567.9587873,33542.4836626,31484.8372802,29127.2129606,26766.5206463,24977.4590327,22909.1317812,21315.9728002,19953.4533037,18858.2398302,18597.3345988,18440.753838,18218.2283056,18147.6831546,17812.7610506,17604.4769835,17397.3387025,17001.6363842,16977.9543565,16881.5607214,16840.0464936,17116.4827372,16976.0975209
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,CO2 Emissions|Energy,MtCO2/Year,18817.6765562,18940.1444246,20196.3956756,22427.1592513,24760.4421915,28504.1923049,30957.0207675,32917.4521396,33866.6370088,35479.6588279,36014.7799868,32870.5813886,28862.6785125,25458.3014255,22469.1255845,19860.8108037,17431.0210779,15335.1718299,13502.6250534,11911.0568703,10547.7706877,9531.92675831,9044.8349898,8825.86880746,8595.56014746,8359.53690237,8096.72329604,7773.20090163,7418.54642307,7044.79449281,6697.73988886,6397.42825792,6108.75135337,5824.23344176,5552.97419975
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,CO2 Emissions|Food and Land Use,MtCO2/Year,6220.03386989,4792.70836774,5507.5673492,5269.29184833,4895.04559015,5206.6202804,5022.27199934,5091.13794081,4828.77742134,4886.21697775,4367.45898955,4766.34956837,4965.96124099,5301.21909528,5644.5251199,5684.54689828,5524.54844636,5341.88088381,5095.65896578,4780.22408553,4570.45986871,4454.92848414,4443.09594105,4427.84745999,4332.83889276,4216.65683532,4105.71668249,4001.67198244,3931.50050151,3916.34638557,3903.37523367,3980.82737955,3970.4093972,4075.79391789,4088.87672654
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity|Solar,GW,0.745,0.655643004974,0.558958979955,0.444540820899,4.12547615724,25.9334164498,30.9785824368,66.5454851851,308.126747107,788.975007596,1516.70009741,2381.40589285,3436.62947517,4552.31974724,5503.49565652,6278.58266186,6794.87088331,7088.85751746,7256.60510626,7389.92725617,7553.85528436,7642.09691263,7646.42702831,7773.95504109,8012.35350209,8303.21823582,8576.68390338,8814.94125135,8986.55438347,9024.84139601,9048.49735207,9155.73034827,9287.77175861,9439.51370689,9550.25858301
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity|Wind,GW,0.745,0.655643147651,0.55895977894,0.444542089037,0.438442632574,15.2615915902,126.839517197,413.824945016,822.127128601,1448.1031383,2241.4448921,3019.37186716,3868.74599595,4748.42892519,5467.54046631,6003.34317755,6329.01819291,6474.2591248,6529.74786371,6542.97813853,6575.69555028,6536.64275785,6448.16741803,6441.14762312,6534.69358225,6675.76306396,6795.40548707,6866.55646454,6901.66243756,6896.72354836,6862.08229253,6857.98192052,6924.53950706,6996.02575155,7059.30498912
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Capacity|Biomass,Mt/Year,5.003001751,17.1590925003,15.1052816383,25.9077068385,38.4476110948,48.1158047787,125.413433549,176.176961451,220.304756695,288.898347382,227.951854578,285.787135545,509.122244586,876.381735019,1300.04670567,1726.59946529,2078.99786047,2362.74580179,2566.30480938,2707.54419494,2787.91523165,2869.55369999,3015.93620097,3195.62572578,3349.22316565,3477.27411544,3556.43087666,3591.10404424,3598.03549192,3586.58892579,3588.24755902,3585.64202242,3594.05636499,3593.08285231,3592.92685442
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Production|Biomass,Mt/Year,4.43241478485,15.4535222391,13.6546329937,23.2798922858,35.262762574,43.5721863541,114.231361728,162.149851661,204.661227928,268.109885245,218.209429097,264.476055202,469.438237956,808.960414696,1209.59266311,1626.18873478,1982.68240168,2273.44017672,2487.32224277,2637.54922125,2728.19864446,2816.9185665,2951.2476141,3127.24967863,3293.43797981,3427.2874998,3515.37540671,3560.30702657,3574.09426931,3568.49117667,3566.68776799,3565.45640456,3579.00821978,3582.17689712,3579.72007811
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Capacity|Coal,c$,2211946000000.0,2141771452560.0,2199576911610.0,2483710711270.0,2798104479480.0,3369116475800.0,3790357931800.0,3922268853960.0,3958730916620.0,4166287099700.0,4195091643430.0,3556849947930.0,2769252641790.0,2144498643610.0,1658895287890.0,1281306066400.0,988118676783.0,761689600754.0,586533503976.0,451022193785.0,346614724116.0,266617132682.0,233830706885.0,233506441351.0,243359685504.0,249535610425.0,252028114270.0,247992996350.0,234164418479.0,214795464900.0,189029935337.0,155460497115.0,120359374344.0,92670660293.2,71551954149.1
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Capacity|Gas,c$,2103942000000.0,2270738765830.0,2619936432160.0,3053303324730.0,3368823500770.0,3781893973410.0,4031253978840.0,4471709497340.0,4794860615560.0,5236671980530.0,5494595554840.0,5668674203500.0,5686458358400.0,5628029597620.0,5488452636830.0,5287926648440.0,4988078810810.0,4668491630040.0,4319466669590.0,3965974367100.0,3630938277370.0,3379111764410.0,3263036295310.0,3217621234350.0,3160287788060.0,3097903119720.0,3005036417950.0,2891932478240.0,2776626455460.0,2655492011380.0,2537988983980.0,2418561161180.0,2307461670490.0,2203799426930.0,2098336291740.0
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Capacity|Oil,c$,7580940000000.0,7626432174960.0,8209071634740.0,8794477759620.0,9410274318840.0,10238604413900.0,10344383828800.0,10913688749300.0,11009711718100.0,11021899618300.0,11056005230900.0,10654162670700.0,9991227779710.0,9390604784290.0,8776560614090.0,8175754500680.0,7563407996900.0,6962215205710.0,6391805936470.0,5865303214530.0,5374716952940.0,5016124819660.0,4841767733540.0,4777884047630.0,4722055980080.0,4682078900280.0,4615565916040.0,4529241658420.0,4421599865050.0,4320327345070.0,4207126363970.0,4102773995840.0,4002988811250.0,3903138631280.0,3794542252400.0
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity|Hydro,GW,478.7482363,555.965559927,623.72443916,695.907287164,745.909521471,811.510182342,929.766979061,1082.62400607,1194.07327494,1217.72823567,1163.39815062,1184.42294574,1277.07564402,1401.5843213,1516.51852862,1612.49975724,1681.60187507,1731.77253471,1762.99759822,1778.4776992,1783.0270536,1799.31294937,1834.77599396,1876.32706491,1909.92798405,1935.92079174,1953.55922536,1962.98145673,1964.9125613,1964.58699801,1964.09969678,1963.63521111,1959.689288,1957.30564619,1952.85201273
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Capacity|Electricity|Nuclear,GW,97.55787685,164.467258316,222.428016639,294.034981033,339.112645213,351.469048618,358.177547162,366.277613779,386.981502837,429.054673509,721.092740771,1175.79445256,1852.73303856,2718.86952736,3736.87865952,4825.33124963,5856.94949949,6832.16729095,7716.30107806,8520.99194773,9231.51747012,9734.23443629,9999.28300542,10227.7196512,10483.3182071,10720.8101685,10954.326432,11104.5381753,11208.6657865,11315.7391125,11462.9190546,11561.4541368,11665.6464427,11775.4655016,11871.5883396
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy,TWh/Year,28004.950064,29221.1590704,32130.7259293,36470.942671,40782.4590421,47147.9782318,52226.8302188,58187.8811064,61938.3114474,68058.8815101,74372.5882464,77426.4841593,79272.857786,84710.5506315,91012.6578628,97433.1461567,102466.294041,107070.618681,110346.838635,113509.737794,116346.136499,118277.161475,119344.474261,121038.999513,123300.022494,125671.64941,127571.492319,128515.548486,129263.689955,129281.811061,129514.614918,129861.510987,130465.168712,131053.711418,131614.829949
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Coal,TWh/Year,8227.64429796,8035.89719807,8309.4741103,9479.41228029,10903.0120898,13521.337763,15839.2777603,16969.9548316,17339.3274525,18755.9964803,19266.5736791,16356.89045,12311.1909946,9441.63348211,7177.10036526,5415.37161803,4066.06310531,3035.95596846,2255.09379362,1665.87914645,1223.50431788,894.937318871,745.73830899,704.758012812,687.990340392,659.646043773,618.650328335,564.634245113,495.779150593,421.737607046,339.758507355,255.565682744,179.110581477,124.689425532,86.2080829178
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Gas,TWh/Year,5167.01257216,5617.86236831,6532.66001723,7740.65989428,8795.536944,10313.8130439,11590.8552317,13596.0816344,15075.3333498,17032.7603905,18268.2521281,18752.9488004,17974.1909456,17228.2103126,16001.3202136,14554.40782,12922.9545605,11385.0421223,9930.99453901,8600.67234777,7449.06988892,6586.84132453,6071.6170302,5709.09156194,5351.07843009,5035.95389146,4703.98712985,4344.58636656,4018.89229736,3688.3284468,3402.96284743,3139.75147908,2900.73838732,2677.48444515,2471.73270024
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Oil,TWh/Year,12027.5065519,12159.0306413,13201.8203177,14325.860125,15606.287753,17386.2001344,17992.4298333,19409.1137753,19686.7767834,19904.5002893,20058.6244913,19195.262963,17382.4689572,15838.455564,14237.2024515,12690.7959139,11178.7450105,9820.99009685,8580.68447531,7491.34566088,6536.75646727,5814.64174106,5348.60687637,5018.51695358,4726.05082289,4463.85048905,4199.479905,3910.54973823,3639.30258249,3381.86843336,3130.69949401,2891.74653287,2671.43889161,2456.79720541,2235.20281363
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Electricity|Nuclear,TWh/Year,731.691523572,1233.42866763,1668.38954089,2205.29371805,2542.61559331,2635.93126688,2686.25479126,2746.79701525,2794.81415148,3099.06210565,5207.28029153,8489.95504049,12717.6700091,18662.0597046,25645.9640026,33117.8184424,40206.2681242,46860.0481311,52925.5346198,58446.4771397,63378.3270651,66829.2414207,68575.6351018,70158.0354162,71988.4140744,73641.3556354,75147.804001,76209.9813237,76926.7408906,77678.7936241,78625.7681862,79366.0584984,80070.6475017,80787.0934408,81499.769492
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Biomass,TWh/Year,8.70396875069,30.4943700887,27.1867425902,46.9944538773,72.3423909677,91.1277075218,244.34173805,355.70816291,452.876280644,604.273169516,499.061415229,610.962321868,1072.70250649,1854.29587919,2777.12386994,3729.76504473,4548.79923262,5219.04118185,5707.75636951,6053.80463989,6269.12822803,6475.96312759,6776.05036202,7188.45540352,7560.07935279,7878.29941248,8087.96953043,8178.81617638,8208.41796147,8204.97988788,8195.78214232,8184.5693712,8211.65545876,8229.28175555,8233.9553639
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10_nCAP,World,Secondary Energy|Electricity|Hydro,TWh/Year,1841.06866447,2138.45416184,2398.31471866,2676.55940048,2868.6477256,3121.00749145,3575.3631204,4162.97190079,4503.97978533,4594.28886103,4390.27208044,4469.35865678,4734.70049475,5195.8244606,5620.76472813,5978.10228009,6238.91693774,6419.07908461,6537.72247423,6595.46768539,6612.76795724,6668.20588861,6803.83923898,6956.84691334,7082.79360379,7175.1362982,7242.69179226,7274.83664715,7281.08791618,7279.25301387,7280.68010972,7273.12669647,7262.30307172,7254.60235055,7237.48217838
