Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_ER_RCP85_2_CDD_30_20,World,Temperature Anomaly,K,0.191702620603,0.1608526524918,0.38906377046650004,0.421556542103,0.620525536076,0.7166172441316,0.7957529404618999,0.9148327626356001,0.9951477012387,1.110965272076,1.1828921773380001,1.2562076854,1.3339279180399999,1.3823341894480001,1.454639767357,1.470304731331,1.514902085336,1.532508644063,1.570446178198,1.576986819486,1.5874328020989998,1.604250512942,1.6007486622009999,1.61769612039,1.607665502828,1.6178875017,1.608182109189,1.6350667739990001,1.625290510566,1.6423299447559998,1.6276526074820001,1.646617294613,1.6280829697330002,1.633568663876,1.6316943074730001
FRIDAv2.1,HD_ER_RCP85_2_CDD_30_20,World,CO2 Emissions,MtCO2/Year,23565.790217409998,23387.3143274,25601.52960197,27805.46531548,29726.90179989,33787.261094299996,35945.64410796,37977.08344922,38638.004298750006,39794.10346259,39795.23600391,36604.98903047,33126.10925812,30058.02467115,27242.90637841,25706.82729598,23016.62057625,21258.64640077,19745.567786940002,18027.61644718,16613.685595960003,15884.43497002,15909.648889810001,15639.66636906,15414.37248593,14955.63340952,14309.201699160001,13957.292406640001,13569.34678942,13087.831580439999,12601.08536804,12434.54960963,12227.27293201,12234.924876840001,11913.751819770001
FRIDAv2.1,HD_ER_RCP85_2_CDD_30_20,World,CO2 Emissions|Energy,MtCO2/Year,18789.569827379997,18749.280405679998,19924.12802315,22078.14212324,24200.29493883,27730.983273960002,29937.38072537,31581.70638203,32405.94116134,33364.05188188,33560.92698519,29947.23459586,26018.79158981,22494.18761321,19389.190726909997,16830.84339387,14533.63541406,12530.10688514,10821.70048802,9355.342383616,8142.86120524,7265.374829597,6883.744974314,6757.978805914,6585.845224355,6402.883357632,6191.0984922,5815.907896316,5470.204792531,5227.3876540950005,4991.67515068,4705.356656596,4421.243366844,4169.999655317,3935.76990688
FRIDAv2.1,HD_ER_RCP85_2_CDD_30_20,World,CO2 Emissions|Food and Land Use,MtCO2/Year,4314.376212468,4038.165920372,5051.897132205,4881.636905074,4602.031452953,4905.607682205,4722.756442968,4771.082051565,4500.457592531,4522.3747562,3995.570908487,4338.349564878999,4599.522489141,4975.868451133,5219.102974982,5619.013338455,5393.294964819,5147.899085634001,4897.153529816999,4546.850091973,4240.064390308,4187.610079948,4301.663348847,4218.533181455,4007.096037254,3795.935512859,3497.9232610219997,3257.087358268,3114.091875954,2953.83021633,2859.1547578189998,2858.539880812,2897.3658650760003,2884.822114466,2839.460159538
FRIDAv2.1,HD_ER_RCP85_2_CDD_30_20,World,Capacity|Electricity|Solar,GW,0.745,0.6555864928363,0.558847813135,0.44439795246839997,3.1926485719580002,15.90140651205,14.214425076380001,15.187567552239999,97.69362067296001,387.63103077420004,801.8401651683,1201.912164509,1578.913837044,2116.358939829,2339.652311059,2389.3214270060002,2254.94298944,2032.26633831,1654.35006622,1325.607754093,1000.3164745504,737.5297608626,546.0822617255,418.71995631720006,301.948017939,206.2899777272,129.4696146886,77.79821764772001,42.98925819769,14.624319885040004,4.878265566228,0.7966727430754001,2.2551627449130006e-12,1.3629644938700004e-12,1.047480862896e-12
FRIDAv2.1,HD_ER_RCP85_2_CDD_30_20,World,Capacity|Electricity|Wind,GW,0.745,0.6555864928363,0.558847813135,0.4443978891021,0.3952475781606,13.1716167839,112.2376795867,369.9055578663,731.0807989313,1776.174314115,3141.569535163,4152.788955487,4837.406610082,5566.513922019,5987.267671703001,6019.920319227001,5932.846590031,5587.115297565,5046.247301751,4418.623411237,3681.381399958,3103.885041492,2543.3974335780003,2111.572365202,1783.308995523,1348.5726485100001,995.4736550276001,726.5784877956002,575.2911135885,436.57766490870006,316.2560864087,253.5351235319,207.85922116700002,163.5883334685,120.14785363540003
FRIDAv2.1,HD_ER_RCP85_2_CDD_30_20,World,Capacity|Biomass,Mt/Year,3.613491395,13.05891629026,11.17158338289,20.690431037800003,32.58351535694,41.86643802266,114.3784786604,160.1622589845,195.5410139182,268.60780747489997,214.9209585263,307.9976994795,538.9865158988999,981.6908713128,1462.0387859119999,2002.625799511,2450.15843441,2774.619807713,2998.129829765,3143.925872029,3185.702781122,3279.328286088,3434.771826636,3631.0443594549997,3792.641436404,3910.625209692,3918.133189667,3891.360514,3811.042264253,3746.290922773,3665.35966958,3596.333592086,3584.209251323,3536.198670458,3463.130266
FRIDAv2.1,HD_ER_RCP85_2_CDD_30_20,World,Production|Biomass,Mt/Year,3.197078159768,11.71309001173,10.002048445064,18.62430315722,29.852987983200002,37.88791445529,103.7872161077,146.9213970242,181.5772162126,248.71833345230002,205.55237838370002,285.2016648416,495.8999777666,908.2768260066,1362.682915331,1880.769007456,2344.975765639,2668.110532,2903.661992505,3079.521048121,3127.751179236,3205.7781815989997,3364.3192921150003,3565.081206465,3738.833567827,3858.640835271,3897.208001356,3855.475731558,3809.464656921,3750.713348614,3654.433360751,3611.355114896,3589.685803555,3543.165536039,3473.757237027
FRIDAv2.1,HD_ER_RCP85_2_CDD_30_20,World,Capacity|Coal,c$,2210644100000.0,2116023048645.0,2160000444692.0,2438142187782.0,2734290183507.0,3277798439684.0,3671632277786.0,3767802785290.0,3778980955875.0,3914922877148.0,3858228722544.0,3201450649907.0,2489931731574.0,1928717560081.0,1490580684584.0,1151807579257.0,889172428349.5,685177157449.0,526763163456.2,404467951261.0,310308627954.2,237748659587.8,182666306700.0,139760790721.8,106629971942.7,81620124570.67001,62413942861.98,47656930502.2,36388796357.42,27777966325.48,21267460431.87,16283416143.699999,12455171440.289999,9541771656.683,7294444375.898
FRIDAv2.1,HD_ER_RCP85_2_CDD_30_20,World,Capacity|Gas,c$,2101256500000.0,2229109258419.0,2554493044378.0,2982645653794.0,3288476900644.0,3674923973406.0,3899745230246.0,4289544023383.0,4592306233445.0,4864537420742.0,5032894611366.0,5004210514355.0,4834151352825.0,4459033981514.0,4038563700166.0,3618477069753.0,3180589763101.0,2774558557857.0,2388036208182.0,2029105559357.0,1717760967609.0,1515337905343.0,1443716219131.0,1436962574773.0,1379399057763.0,1311962354132.0,1184978820447.0,985407823192.4,769089584409.8,601621629750.7,466417963954.0,361537875911.4,280148490100.5,217000674639.3,168046674639.7
