Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_ER_RCP85_5_CDD_30_20,World,Temperature Anomaly,K,0.328859443923,0.312479527676,0.503750114669,0.52002569989,0.720644535134,0.833040098675,0.932145679467,1.0850433351,1.20877265357,1.38014726118,1.4796084976,1.59161108484,1.71848011092,1.80848716099,1.91828320896,1.98113219915,2.07036819116,2.12231100537,2.20217885332,2.23841660366,2.27584673337,2.31491747824,2.33066267562,2.38109435627,2.39563672605,2.4322365977,2.44943684014,2.48667345895,2.48736528355,2.52245899376,2.52629550171,2.55884575692,2.55699802703,2.57861014509,2.5880157648
FRIDAv2.1,HD_ER_RCP85_5_CDD_30_20,World,CO2 Emissions,MtCO2/Year,25448.8367189,24116.9307384,26159.9863159,28269.6518789,30381.9156367,34669.0529501,37145.5276276,39524.5741892,40449.7921438,42909.3803506,42592.3569069,39832.6724719,36080.4989995,33701.0821304,32515.2604591,32645.1853758,30528.1401869,28794.1822007,26984.3450348,24818.5227833,23072.7942372,22750.5806556,22661.3378262,22470.7595951,22612.0097099,22338.7048378,21802.5605954,21843.9309634,21325.9085498,20676.7571396,20347.2784953,19808.9377209,19730.9596859,19909.5793846,19508.2177045
FRIDAv2.1,HD_ER_RCP85_5_CDD_30_20,World,CO2 Emissions|Energy,MtCO2/Year,18817.6765562,18940.1444243,20196.395676,22427.1592512,24760.4421915,28504.1923049,30957.0207675,32917.4521396,33938.9182366,35841.0095968,35929.4583958,32188.5957058,28043.6474582,24724.8249103,21873.6130027,19570.1234345,17707.2716277,16229.8288311,14867.7050622,13537.1875516,12360.1083345,11625.4503519,11481.1446999,11484.277347,11354.7554035,11173.6039088,10882.8199079,10388.6435894,9822.04051785,9216.64053262,8682.99956639,8183.74304779,7672.28627517,7183.33912965,6777.65876527
FRIDAv2.1,HD_ER_RCP85_5_CDD_30_20,World,CO2 Emissions|Food and Land Use,MtCO2/Year,6220.03386989,4792.70836772,5507.5673492,5269.29184838,4895.04559015,5206.62028039,5022.27199936,5091.13794077,4855.61368179,5072.9309039,4516.9714425,5098.07694554,5356.12433201,6572.48143259,7806.60243071,9627.20974046,9359.08973886,8430.90103614,7469.23486346,6612.66244869,5911.25104455,6014.72371726,6086.3704208,5769.15110137,5571.04295181,5201.80761687,4857.13910546,4596.54918151,4315.47029887,4155.06670536,4058.48162889,4063.63814733,3948.26335222,4009.95523239,3921.82708604
FRIDAv2.1,HD_ER_RCP85_5_CDD_30_20,World,Capacity|Electricity|Solar,GW,0.745,0.655643004974,0.558958979955,0.444540820899,4.12547615749,25.9334164463,30.978582422,66.5454852102,308.12674725,1463.14999961,2712.9335214,3240.18462526,3791.67768719,4989.60100075,6066.72473101,7033.48443095,8013.69931004,8830.74901316,9154.57951169,9073.20617413,8907.61706264,8675.25993314,8459.97344771,8523.8723157,8699.01439086,8859.9891229,9072.8149974,9302.05705687,9367.69466407,9580.90993806,9580.61318035,9613.08487047,9793.27872941,9680.16408859,9392.50831098
FRIDAv2.1,HD_ER_RCP85_5_CDD_30_20,World,Capacity|Electricity|Wind,GW,0.745,0.655643147651,0.55895977894,0.444542089037,0.438442632581,15.2615915907,126.83951719,413.824945016,822.127128606,3061.45024365,5408.5113447,6441.35381111,7386.73567636,9002.9337901,10281.2021405,11657.4364527,13190.8493387,14530.6355163,15479.6032567,16002.3243979,16497.0576091,16836.2711279,17155.934701,17675.3803506,18360.3569645,19233.5952069,20411.1682894,21591.6571393,22451.9642643,23740.73104,24169.905327,24624.3224038,25537.2078971,26255.7488604,26868.4955546
FRIDAv2.1,HD_ER_RCP85_5_CDD_30_20,World,Capacity|Biomass,Mt/Year,5.003001751,17.1590925136,15.1052815929,25.90770683,38.4476110937,48.1158047717,125.413433549,176.176961487,221.702180809,403.681069759,411.622779447,539.322177343,854.360894222,1692.43599224,2650.1590044,3868.22994676,5069.70948327,6052.57735146,6837.72221608,7342.21933802,7559.12503648,8009.99037188,8548.71208271,9240.82621879,9560.48090873,9715.04082024,9705.37944891,9501.34648959,8971.20809261,8516.55243065,7845.7435794,7327.06896469,6794.3238531,6452.81849574,6114.60120787
FRIDAv2.1,HD_ER_RCP85_5_CDD_30_20,World,Production|Biomass,Mt/Year,4.43241478485,15.4535222385,13.6546329963,23.279892272,35.262762532,43.5721863484,114.231361805,162.149851536,205.517089746,371.654937001,393.903306062,498.211488895,786.534820179,1520.94993593,2374.94141378,3427.7388147,4615.17298496,5695.97256182,6537.61424275,7147.46399894,7411.03910036,7794.40927505,8345.82569865,8977.89228478,9387.88730206,9562.3389737,9610.25819362,9485.14798464,8984.41217888,8518.54468613,7949.21039168,7324.70660431,6852.98810271,6466.64736034,6127.33201658
FRIDAv2.1,HD_ER_RCP85_5_CDD_30_20,World,Capacity|Coal,c$,2211946000000.0,2141771452560.0,2199576911600.0,2483710711250.0,2798104479480.0,3369116475830.0,3790357931800.0,3922268853950.0,3965121670220.0,4197727585800.0,4160938821100.0,3458064737070.0,2691024166440.0,2101759284050.0,1628760974650.0,1261055389040.0,972890066109.0,750355604071.0,577535592136.0,444239853305.0,341067647485.0,262728496822.0,202339131234.0,155419181769.0,119221308666.0,91357346128.0,69998895222.8,53622669476.3,41096868450.2,31595650552.0,24240456297.4,18640862411.1,14335263317.2,11027378654.7,8494832783.95
FRIDAv2.1,HD_ER_RCP85_5_CDD_30_20,World,Capacity|Gas,c$,2103942000000.0,2270738765780.0,2619936432160.0,3053303324710.0,3368823500780.0,3781893973420.0,4031253978580.0,4471709497340.0,4805175562050.0,5250019862910.0,5413753537360.0,5450496578750.0,5362029722840.0,5141417028030.0,4840980982100.0,4475901788770.0,4078469060790.0,3676632687990.0,3286252999190.0,2905178432530.0,2564829264260.0,2295467517550.0,2124444023750.0,2039292583300.0,1889550527910.0,1776157519930.0,1665470630390.0,1511884241590.0,1376604153490.0,1235911300850.0,1067842728910.0,926964717942.0,811160438788.0,676413488480.0,600238723644.0
