Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,NDC_EI_DERP2_HD,World,Temperature Anomaly,K,0.191702620603,0.160852652491,0.38906377046650004,0.42155654210279997,0.620525536076,0.7166172441314,0.7957529404618999,0.9148327626356001,0.9951477012379,1.1108933515819999,1.182842229566,1.255337737528,1.33256566098,1.380489211301,1.4477588240560002,1.466406668025,1.5084772000339999,1.522276949675,1.561758888995,1.5641838201340001,1.575019492294,1.585721715427,1.584486102858,1.595641340638,1.5841630463560001,1.594611181603,1.5864973697420002,1.603730712689,1.59492788919,1.610810054566,1.598962897766,1.612508494187,1.591952981777,1.600250940293,1.5985053414650001
FRIDAv2.1,NDC_EI_DERP2_HD,World,CO2 Emissions,MtCO2/Year,23565.790217409998,23387.31432749,25601.52960196,27805.46531551,29726.90179988,33787.261094190006,35945.64410797,37977.08344894,38596.44614852,39664.89495457,39531.101156159995,36115.064763459995,32362.36010861,29074.79609681,26133.106656900003,23880.165020430002,21366.363157980002,19227.01285256,17651.87155014,15864.35376867,14557.13393912,13713.41042912,13140.81172798,12936.73861496,12687.883631390001,12156.852543210001,11841.76829924,11412.00425211,11044.824293090001,10822.163479320001,10421.14797911,10220.622500720001,10036.25595987,9962.385573206,9675.208631775
FRIDAv2.1,NDC_EI_DERP2_HD,World,CO2 Emissions|Energy,MtCO2/Year,18789.569827379997,18749.28040577,19924.12802324,22078.14212333,24200.29493892,27730.98327406,29937.38072538,31581.70638203,32371.42856338,33268.020820180005,33301.05778417,29727.72693267,25719.51037725,22024.27183115,18845.155159410002,16012.95027302,13604.46801608,11486.319013710001,9708.303748812,8208.40941732,6947.1757025960005,6082.03174431,5613.740850502,5357.3690978390005,5138.883654218,4897.494079512,4645.1951886570005,4393.230453054,4124.221962598,3892.9000722,3657.380262317,3455.522399393,3276.616045508,3076.278453909,2880.710921806
FRIDAv2.1,NDC_EI_DERP2_HD,World,CO2 Emissions|Food and Land Use,MtCO2/Year,4314.376212468,4038.1659203669997,5051.897132195,4881.636905072,4602.031452946,4905.607682197,4722.756443004,4771.08205152,4491.169985083,4433.923780793,3986.953783686,4127.8996930349995,4231.0268293789995,4449.919362856,4681.638752822,4721.007892859,4593.520799569,4436.300473536,4232.516974097,3930.300885833,3701.7123721390003,3618.508920887,3605.120833226,3528.859411029,3454.438934662,3281.494398949,3082.646044912,2963.6625163900003,2819.108747852,2720.5825074030004,2681.824691229,2658.557735897,2577.908011744,2555.673069944,2497.320183968
FRIDAv2.1,NDC_EI_DERP2_HD,World,Capacity|Electricity|Solar,GW,0.745,0.6555864928363,0.558847813135,0.44439795246839997,3.192648572,15.901406514560001,14.21442507862,15.18756755315,97.69362065031,414.9183068905,1012.25990059,1792.498152356,2742.70794602,3602.187133708,4437.557586223001,4969.794889404,5328.378548645,5399.236061126,5382.12593963,5365.041772144,5357.701109423,5319.901605605,5190.73727767,5216.874807737,5314.864144452001,5447.363102087,5584.6229316359995,5641.559311042,5646.250592697,5673.921329722,5700.580088417,5732.969153671001,5823.923812523,5851.690487078,5830.32336958
FRIDAv2.1,NDC_EI_DERP2_HD,World,Capacity|Electricity|Wind,GW,0.745,0.6555864928363,0.558847813135,0.4443978891021,0.3952475781615,13.17161678376,112.23767958580001,369.90555782530004,731.0807989089,1314.216003736,2047.3769162400001,2744.3829246600003,3470.792046765,4088.407678082,4551.1814021,4878.221083727,4976.798820385,4931.669526439,4861.634623592,4672.503392723,4567.074711547,4424.72032118,4263.095893565,4192.0972858820005,4178.172766125001,4236.708370905,4252.77802505,4193.105462283001,4136.614299651,4080.166888219,4004.930568959,3996.334277554,4066.1656888340003,4019.525486992,3962.480245491
FRIDAv2.1,NDC_EI_DERP2_HD,World,Capacity|Biomass,Mt/Year,3.613491395,13.05891628448,11.17158342254,20.69043104103,32.5835153425,41.86643801144,114.3784786865,160.1622589665,195.08292315070003,226.1345428318,176.6901197285,193.8391592456,333.0760725229,555.2289312728,828.1450169167,1109.440905141,1337.896862605,1517.913852427,1631.219254467,1700.307803937,1718.7742907620002,1766.625417842,1886.7422812050002,2026.648702595,2153.2066206910004,2232.109678783,2257.476298307,2267.117348519,2235.6193855170004,2229.104974402,2232.6187725610002,2220.843936156,2210.519911,2197.397433839,2189.4105697470004
FRIDAv2.1,NDC_EI_DERP2_HD,World,Production|Biomass,Mt/Year,3.197078159768,11.71309001409,10.002048447375001,18.6243031584,29.8529879716,37.88791445841,103.7872161067,146.9213970376,181.1965508422,210.3805258815,167.4403019984,180.5579809468,308.79276719719996,514.9318763168,769.9801919914,1048.990598188,1277.956068873,1457.45710397,1586.794207008,1659.105726841,1684.012715463,1734.533962504,1849.4236903620001,1993.143474855,2117.423673307,2214.2122117450003,2241.419692553,2249.570960578,2228.832786814,2229.956120012,2231.951629359,2221.285767654,2215.280002461,2205.3518194,2190.127933018
FRIDAv2.1,NDC_EI_DERP2_HD,World,Capacity|Coal,c$,2210644100000.0,2116023048717.0,2160000444699.0,2438142187781.0,2734290183543.0,3277798439697.0,3671632277814.0,3767802785306.0,3775797394260.0,3910231852494.0,3830636513173.0,3175014987379.0,2468184454193.0,1912241703801.0,1478267400954.0,1141749391605.0,880522637816.8,678178645792.3,521461526757.9,400633407165.3,307337835464.2,235220239327.7,179953899495.6,137739062014.2,105254553420.9,80388371404.66,61440595262.04,46982005171.14,35842638434.03,27307396439.3,20871854215.49,15942751643.04,12205220587.560001,9364474450.272,7193029964.548
FRIDAv2.1,NDC_EI_DERP2_HD,World,Capacity|Gas,c$,2101256500000.0,2229109258423.0,2554493044388.0,2982645653797.0,3288476900636.0,3674923973406.0,3899745230246.0,4289544023388.0,4587836578053.0,4849372183527.0,4987048248426.0,4982557491316.0,4802426108183.0,4432709188610.0,4006654801142.0,3591499804154.0,3157567225287.0,2765323015513.0,2383173761622.0,2021069091517.0,1722171905482.0,1516971250431.0,1455431305157.0,1466058607876.0,1449666943394.0,1423476825384.0,1376561749048.0,1320764449544.0,1271912506659.0,1224833576255.0,1176452365062.0,1113723453781.0,1072325959364.0,1010900723040.0,947866575101.4
