Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_D1_20_10_Limit,World,Temperature Anomaly,K,0.502528567101198,0.5140065786987995,0.6756807015853998,0.6752734085331998,0.8737040504141999,0.964065778064,1.06037143559,1.228082097738,1.3710607736059996,1.5862025439279996,1.755115180992,1.939415772616,2.157119627704,2.330316712112,2.508198657678,2.64294114809,2.792063656812,2.910659653564,3.050832805238,3.151966868176,3.258755950224,3.366390603242,3.45856878304,3.559256882428,3.632381419144,3.7186839321039984,3.785054124923999,3.8642243814159984,3.917437807351999,3.997666694558,4.063611312405999,4.172249303914,4.250565742648,4.339236476809998,4.414125325953999
FRIDAv2.1,HD_D1_20_10_Limit,World,CO2 Emissions,MtCO2/Year,26424.6374219,25222.59721874,26634.22119572,28767.89413108,31119.43593994,35595.25437116,38588.64782626,41128.51196438,42412.88315896,44617.39533718,45021.22601786,42149.1106575,37991.12090814,34943.8320459,32320.63019404,30315.11762876,28207.81449378,26156.18890684,24595.55917232,23382.73416564,21304.8760145,20372.05330578,21153.5821514,21055.2142437,21831.29417974,22958.58091274,23064.75541748,23620.53916504,24081.59837296,24560.547600299997,24559.16124792,25053.13211149998,25675.826402099992,25772.12310584,26028.217053459997
FRIDAv2.1,HD_D1_20_10_Limit,World,CO2 Emissions|Energy,MtCO2/Year,18847.91661446,19119.99196082,20461.82313416,22800.53162748,25375.91502008,29307.66750398,32095.00700954,34261.84342116,35486.0951139,37144.22294998,37791.1716828,34017.29548,29442.33669934,25499.73110604,22150.3149105,19337.78498234,16906.78367912,14891.43711318,13109.82573382,11449.7230244,10002.414133084,8962.074495128,8517.260761455998,8301.420566518,8146.033829513999,7988.395178337999,7776.761081113999,7544.490011844,7323.976964488,7069.504315345999,6841.274570755998,6616.52837724,6387.713755929999,6183.48643186,6008.476145061998
FRIDAv2.1,HD_D1_20_10_Limit,World,CO2 Emissions|Food and Land Use,MtCO2/Year,7196.686996262,5895.026438983999,5887.86649855,5645.585280978,5191.922809666,5521.218528764,5351.52492015,5428.585280269999,5189.83373161,5292.461212346,4761.6462509,5220.871867776,5525.25097718,6118.593187578001,6566.098061272,6735.01607585,6587.880269861998,6310.783070978,5861.229564687999,5391.227164482,5102.228883377999,4963.785881414,5136.730979186,5227.945241378,5110.752692712,5135.886289853999,5116.113196147999,5126.010457633997,5244.059350047998,5290.648554078,5286.215257461999,5346.890571032,5338.585614719999,5407.7232366599965,5335.053885273997
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Electricity|Solar,GW,0.745,0.6556544279288,0.5589871513806,0.4445817949436,5.000246505548,34.63014694955999,56.56091234461999,148.1927190963999,515.8862385704,1062.231046928,2601.025665811997,4080.850974259998,4523.438883135998,6251.515416449999,8170.305254842,10394.831089839996,12618.433097239998,14560.470679879996,15803.983041559992,15449.997717059992,14693.332166179998,14105.141894239998,14119.215807579993,14683.85750642,15679.453449559996,16775.24456093999,17511.67530462,17690.737338,17828.441336999997,17877.944748379996,18280.22648501999,18756.699501739982,19038.464929719998,19387.51349482,19684.4936681
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Electricity|Wind,GW,0.745,0.6556546462342,0.5589880095199999,0.4640560193377995,0.5013452919651997,17.87772858752,146.58495854539996,463.8211656454,935.1402731623998,1740.207751732,4596.363451742,6769.505628587996,6680.690411086,8752.782273154,10845.48854302,12924.92200416,15049.16100968,16740.42472294,17611.05453528,16819.680767139995,15724.140132419992,14546.83648658,14029.967505539997,14194.67163098,15051.78916103999,16006.813757259994,16675.865114259996,16913.899839659993,16858.63375148,16843.511408219987,17044.699397919998,17448.736532339994,17909.75835051999,18223.871422339995,18879.330826319965
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Biomass,Mt/Year,6.3826063296,22.10499200198,20.23278168084,32.85986840197999,45.87302037905999,55.70220368554,137.4314138246,191.91110160719995,246.5511246266,315.4994379576,251.5765133068,336.6004846736,568.5437277033999,1081.4921571459995,1647.6803025119998,2232.446404974,2763.020577949999,3178.53600416,3474.07101093,3489.768657882,3430.7015672299995,3417.399976164,3539.373868214,3736.376265548,3932.231138334,4094.271059779999,4196.957087725998,4242.579459934,4268.635893735999,4296.210944776,4327.547149872,4358.999869318,4369.136158805997,4386.149628029999,4404.040583835999
FRIDAv2.1,HD_D1_20_10_Limit,World,Production|Biomass,Mt/Year,5.664902732536,19.84892641508,18.29404673862,29.77530413616,42.08610594298,50.36814126976,125.1991272604,176.4568813962,227.7882958632,291.3201699568,240.508325695,311.5875254092,520.983777645,988.14316532,1514.107210152,2079.570830946,2620.09100674,3039.276157408,3360.210766956,3408.5121118479988,3372.275814576,3363.233158118,3459.235720538,3650.334511035999,3845.810658598,4016.480230502,4121.90357774,4180.167047166,4204.762842971999,4236.901387151999,4274.602835752,4318.74564344,4327.19286434,4358.445097878,4371.400063493999
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Coal,c$,2213282600000.0,2166767780152.0,2238177034488.0,2530162373568.0,2866571868440.0,3455718890958.0,3920920138536.0,4078132486838.0,4149506389328.0,4384536774278.0,4444945173682.0,3723220359062.0,2899160953733.9995,2246331385286.0,1736326405302.0,1342345168730.0,1036487955876.0,800281606116.4,616923474950.0,473972224763.4,363941559022.6,279598415039.8,216041008969.6,165961819026.8,127323377621.6,97728894442.02,75264868791.12,57875301594.34,44418459830.32,34107609975.2,26200999882.48,20123367599.1,15485857720.7,11922970337.98,9180153457.252
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Gas,c$,2106686800000.0,2305335954384.0,2676692813006.0,3122351236208.0,3465602755690.0,3894577290544.0,4183340810772.0,4657403639024.0,5027040305524.0,5439075373508.0,5749832894472.0,5849326937788.0,5808478413278.0,5678154049754.0,5485522394430.0,5205154338500.0,4855761888638.0,4491438616962.0,4086700626010.0,3716842592170.0,3350660062258.0,3085150884149.9995,2976901016213.9995,2921943414224.0,2895011382834.0,2815753420945.9995,2718399312312.0,2622966935574.0,2522595582808.0,2402014322014.0,2287019276678.0,2178915614295.9995,2058393264704.0,1947152815898.0,1837331188499.999
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Oil,c$,7583396000000.0,7719922477674.0,8333149137666.0,8945969866124.0,9639699579134.0,10508209202700.0,10666446729500.0,11305825799120.0,11452691770720.0,11456556481120.0,11566276681920.0,11118007363039.998,10296435054320.0,9504342849752.0,8713081818596.0,7957082983430.0,7243067032756.0,6537085156472.0,5898616603552.0,5312745317768.0,4755380013431.999,4382642698452.0,4243654092108.0,4198932179998.0,4178896205124.0,4165756202488.0,4130711966695.999,4048818881362.0,3981152950958.0,3883264234962.0,3802736104924.0,3714392951910.0,3615456554534.0,3482528976401.9995,3365656226981.999
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Electricity|Hydro,GW,483.1628494,564.5746645246,631.0693605664,703.6795472362,752.177168742,821.1051065539999,947.247265092,1098.894994258,1213.847708874,1237.566634062,1185.34264943,1210.636002984,1300.179468084,1403.3889859,1497.713612686,1572.078401258,1625.9309723139995,1660.657050144,1672.578881554,1675.5652314299998,1668.3959826859998,1674.635997872,1713.348186318,1758.368880296,1790.797306932,1815.942317676,1829.82941863,1834.82108564,1840.736745726,1838.6738114,1837.687547636,1837.832041636,1834.02950497,1831.968562116,1832.82371246
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Electricity|Nuclear,GW,98.154267026,168.9785509936,228.836948765,302.7002209402,349.8408313816,363.9731267384,373.1772235794,385.9419440536,414.009017871,444.3856477392,756.5231188878,1240.2848376759998,1957.034699486,2887.904632946,3959.492146614,5082.502670466,6186.334804976,7199.6168262480005,8082.947362836,8928.672249766,9692.912348139997,10223.4088155,10536.977333939998,10804.228399419995,11130.456922079997,11487.512708239994,11731.04060276,11984.920286619998,12214.754814479997,12419.90968012,12622.053548799997,12803.4189842,12978.04705624,13156.409462139998,13308.42178048
