Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_D2,World,Temperature Anomaly,K,0.328859443923,0.312479527676,0.503750114668,0.520017450991,0.7198582836,0.833087398052,0.932145679467,1.08534798044,1.20958518647,1.38162567604,1.48112035435,1.58849522175,1.71418291703,1.80010950468,1.90939682966,1.96359655269,2.04406644986,2.09484045937,2.16070064366,2.19091429062,2.22670948682,2.26564245183,2.28294508721,2.32497280125,2.33710798906,2.37059384191,2.3772649304,2.41190456672,2.41669546373,2.45070502747,2.45439668334,2.49218005843,2.49206117695,2.52521064555,2.53791834523
FRIDAv2.1,HD_D2,World,CO2 Emissions,MtCO2/Year,25455.6115721,24116.3812045,26160.2168662,28264.4194286,30377.2078968,34669.0197478,37127.6699109,39523.4133185,40322.0992731,42149.0310736,41894.2966598,38815.8696112,35048.1417376,31503.1191772,29080.4318942,26354.5601531,24005.5467245,22201.2460022,20100.3565306,18597.1672791,17331.9543757,16305.2709745,16183.1226997,15957.0076291,15773.5129711,15747.9009043,15407.9255262,15261.5202138,15242.6345288,14924.2856594,14955.7726347,15024.0696637,15091.1853511,15312.3371177,15493.5863737
FRIDAv2.1,HD_D2,World,CO2 Emissions|Energy,MtCO2/Year,18817.7068587,18941.8316235,20195.5008675,22427.7140107,24752.5311836,28495.9485364,30935.3663669,32904.2119057,33841.0491341,35202.4158465,35328.2700439,31717.4707421,27484.5968619,23631.7638135,20336.1056077,17488.229079,14930.8846951,12781.7431309,10927.6451461,9386.55575172,8094.64209537,7168.75953695,6716.35093828,6464.00762525,6242.81896727,6034.31146683,5804.38719907,5541.05729925,5294.90729974,5047.2042702,4813.76928555,4594.00184292,4367.64963204,4172.37935073,3987.08021742
FRIDAv2.1,HD_D2,World,CO2 Emissions|Food and Land Use,MtCO2/Year,6224.39866789,4790.93612027,5510.60078027,5268.67759613,4896.69052646,5204.2944329,5021.67653404,5092.2248898,4823.27487876,4841.92408278,4363.15918538,4651.36621814,4826.55025994,5087.11828806,5397.52859233,5392.64971542,5272.48851951,5115.70292696,4870.43382439,4596.76510923,4412.76191791,4329.16621016,4365.08722521,4354.12230489,4258.45194435,4154.64537099,4046.85865899,3947.40249522,3881.13781108,3859.47126868,3858.98273378,3905.17190362,3885.43470591,4015.44001118,4050.66617499
FRIDAv2.1,HD_D2,World,Capacity|Electricity|Solar,GW,0.745,0.655642549814,0.558958349762,0.444539777992,4.12459603608,25.9080357749,30.9482692591,66.3362540354,306.455772952,824.534722156,1625.62897639,2577.4399665,3743.74074104,4840.93969619,5840.33286693,6617.95053677,7149.75030551,7482.738221,7687.00483378,7851.36885483,8039.93377895,8127.11373764,8120.17655374,8258.12749192,8509.76246014,8792.21996244,9105.566763,9313.85304164,9515.71257927,9569.10542074,9629.59685048,9774.37704457,9955.26381026,10091.8965965,10225.3051618
FRIDAv2.1,HD_D2,World,Capacity|Electricity|Wind,GW,0.745,0.655643016624,0.558959312642,0.444541607703,0.438450411621,15.2812313703,126.855285456,413.640414069,821.58860233,1516.61467172,2418.04457279,3287.56845883,4244.46520704,5125.78320257,5849.14807169,6399.12340057,6705.81270892,6849.00867426,6927.73428449,6944.30689171,6963.58886731,6911.74946326,6789.22415792,6765.2007712,6834.53209258,6974.57113446,7098.54364485,7175.39879045,7184.93712436,7162.16313121,7212.67832646,7255.47611643,7294.47014326,7368.55654479,7429.57312878
FRIDAv2.1,HD_D2,World,Capacity|Biomass,Mt/Year,4.996998249,17.2029263579,15.1363302504,25.9185176826,38.4476111064,48.2016998445,125.445480041,176.189150535,220.183229159,263.478147359,204.911162144,232.50278363,413.11344107,692.980272196,1032.67495515,1368.48845608,1646.88704978,1870.21342507,2019.37975542,2113.77484426,2158.73645544,2218.33513313,2355.04735324,2525.67968197,2673.7048932,2791.06073765,2866.19935859,2906.13294923,2920.09065728,2918.68317212,2914.76087405,2923.96358944,2929.6086388,2939.17732181,2931.74913384
FRIDAv2.1,HD_D2,World,Production|Biomass,Mt/Year,4.419504854,15.4716833227,13.6554311512,23.2798922617,35.2627625793,43.6073598347,114.231361726,162.16215665,204.530845003,245.291114655,195.782191359,215.712799601,381.295509734,642.303535416,963.961395375,1290.5927177,1573.93989276,1799.37371465,1956.03714316,2057.05175631,2114.70022774,2175.83355494,2301.74251208,2473.55154168,2625.82282209,2752.25201051,2835.97192721,2880.65330333,2898.5640741,2904.47868579,2903.43700181,2912.27430939,2927.64757341,2933.70541372,2925.66974448
FRIDAv2.1,HD_D2,World,Capacity|Coal,c$,2211946000000.0,2141956119750.0,2199576911590.0,2483683641800.0,2797601083890.0,3368641448290.0,3789630448570.0,3921229569730.0,3956321617580.0,4138081740850.0,4106021054400.0,3419537243440.0,2658529086380.0,2059817421610.0,1593368692490.0,1231070051530.0,949677992197.0,732143725834.0,563840055929.0,433491092429.0,333052613788.0,255418623383.0,195899894558.0,150128816631.0,115014598875.0,88005861122.8,67338048344.5,51525726690.1,39449490110.2,30219483447.2,23176582470.5,17785923810.7,13661827011.1,10498426159.5,8085555880.81
FRIDAv2.1,HD_D2,World,Capacity|Gas,c$,2103952000000.0,2271012433050.0,2619671871110.0,3053137955930.0,3367412141290.0,3780237512070.0,4029220376510.0,4469361521040.0,4790303141570.0,5156072299230.0,5331130059440.0,5410905667630.0,5314208830880.0,5058039553670.0,4767232711090.0,4411061674750.0,4031805769640.0,3649894151210.0,3264338402090.0,2898941860720.0,2570769745370.0,2338181668440.0,2259454118730.0,2259007822800.0,2224441631780.0,2185703796040.0,2125949781840.0,2049875552300.0,1957385652490.0,1873227443670.0,1779232718770.0,1691389848670.0,1597554492000.0,1505687137710.0,1414665124360.0
