Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_D2,World,Temperature Anomaly,K,0.502528567101198,0.5140065786987995,0.6756807015853998,0.6752734085331998,0.8737040504141999,0.964065778064,1.06037143559,1.228082097738,1.3710607736059996,1.5858915903759996,1.75540058991,1.939572304128,2.157246698372,2.326901530138,2.508995715646,2.644836032198,2.790040806226,2.907900809766,3.046525581776,3.14550981913,3.250561346846,3.3603546103299995,3.448734474838,3.5535564877359995,3.623264966092,3.69955762658,3.7702136615919977,3.858534741536,3.905242729725999,3.98685323097,4.058090116107999,4.162478281471999,4.243507694365999,4.333260642416,4.392479308105998
FRIDAv2.1,HD_D2,World,CO2 Emissions,MtCO2/Year,26424.6374219,25222.59721874,26634.22119572,28767.89413108,31119.43593994,35595.25437116,38588.64782626,41128.51196438,42412.89206226,44719.4932468,44641.97388688,42026.28341242,37805.21026987999,34718.63675744,31796.05595968,29236.293851859995,27145.07777938,25217.40157448,23514.15823162,22256.915819459995,20859.10976634,20671.7935243,20779.56695686,21118.75202208,21988.862211079995,22640.336241399986,23214.37248702,24091.206876759992,23993.979471939994,24734.58067946,24974.08440452,25289.670310259982,26221.11041969996,26220.54850106,26448.87353263998
FRIDAv2.1,HD_D2,World,CO2 Emissions|Energy,MtCO2/Year,18847.91661446,19119.99196082,20461.82313416,22800.53162748,25375.91502008,29307.66750398,32095.00700954,34261.84342116,35486.0951139,37276.55868148,37624.50463558,33922.322440439995,29377.26411968,25309.00028314,21843.52053308,18849.89798812,16303.19431996,14160.0129103,12285.27290874,10691.67136776,9340.93532379,8391.059331127999,7948.492939045998,7730.656491734,7587.563271086,7469.672295738,7297.235548648,7078.744535219999,6841.955464682,6605.389175748,6375.1592568279975,6161.228754683997,5954.112369966,5738.570653822,5521.743711038
FRIDAv2.1,HD_D2,World,CO2 Emissions|Food and Land Use,MtCO2/Year,7196.686996262,5895.026438983999,5887.86649855,5645.585280978,5191.922809666,5521.218528764,5351.52492015,5428.585280269999,5189.83373161,5253.498131256,4757.636464528,5172.773455969999,5351.387481926,5758.525804252,6084.614291579999,6061.89938298,6014.247292744,5819.413701964,5588.398123159999,5304.690752297999,5095.88411745,5077.175907582,5191.404208514,5202.310576061999,5170.784883029999,5163.432591887999,5143.196430192,5177.675640934,5217.445328555999,5251.313555341998,5276.173113635999,5307.575669297999,5324.481310702,5417.878332646,5331.407052251999
FRIDAv2.1,HD_D2,World,Capacity|Electricity|Solar,GW,0.745,0.6556544279288,0.5589871513806,0.4445817949436,5.000246505548,34.63014694955999,56.56091234461999,148.1927190963999,515.8862385704,1158.662692836,2095.9044948759997,3195.394079754,4559.941950658,5970.4712462200005,7275.817341688,8476.809548434,9417.175512486,10155.13720134,10712.77820716,11257.87527548,11693.006647619994,11941.42683462,12101.14888679999,12410.520901859996,12940.630058839995,13558.2572972,14091.1723828,14540.067484319994,15002.513339759998,15272.765638579998,15573.361146599997,16041.6730096,16373.45721235999,17046.13116184,17449.948680719994
FRIDAv2.1,HD_D2,World,Capacity|Electricity|Wind,GW,0.745,0.6556546462342,0.5589880095199999,0.4640560193377995,0.5013452919651997,17.87772858752,146.58495854539996,463.8211656454,935.1402731623998,1773.2834408899998,2873.659569968,4023.20485749,5251.42740392,6432.644778853997,7523.509020649998,8403.8044447,9143.060847482,9633.050626109998,9994.754094136,10282.327400999997,10415.376694819994,10517.79490508,10444.971454219998,10524.39508146,10792.05081174,11118.35595906,11487.39775642,11794.76094286,11966.4078638,12110.497670819996,12267.216297239984,12497.66610405999,12533.104582,12789.078387599991,13037.476154579992
FRIDAv2.1,HD_D2,World,Capacity|Biomass,Mt/Year,6.3826063296,22.10499200198,20.23278168084,32.85986840197999,45.87302037905999,55.70220368554,137.4314138246,191.91110160719995,246.5511246266,305.4016578542,238.46509050439997,277.6658535268,497.866939664,835.5668063805998,1246.0223765239998,1639.073149026,1984.651047338,2253.01996679,2445.731235208,2569.983225018,2638.198502844,2712.04708935,2909.4691864139995,3128.140809986,3334.18761897,3524.6994734959976,3645.816723148,3735.117475184,3780.984890777999,3802.702619964,3822.494806924,3842.429067048,3854.732056872,3895.469490708,3911.210651524
FRIDAv2.1,HD_D2,World,Production|Biomass,Mt/Year,5.664902732536,19.84892641508,18.29404673862,29.77530413616,42.08610594298,50.36814126976,125.1991272604,176.4568813962,227.7882958632,282.8078279758,226.7070186194,257.5100803634,459.601496201,768.8646854027999,1151.7909028139998,1542.1504135439998,1884.054921396,2164.453119181999,2360.848050618,2502.466163084,2579.629688202,2651.187892782,2830.11608992,3056.393570668,3272.516891181999,3452.0004045559995,3584.752451174,3664.9032856979984,3721.493303266,3752.023070907999,3778.969849852,3787.379673065999,3814.142791878,3821.509796626,3860.060982261999
FRIDAv2.1,HD_D2,World,Capacity|Coal,c$,2213282600000.0,2166767780152.0,2238177034488.0,2530162373568.0,2866571868440.0,3455718890958.0,3920920138536.0,4078132486838.0,4149508685984.0,4409505626102.0,4425881237902.0,3709773103422.0,2884954087298.0,2234974239548.0,1728820804885.9998,1335387398102.0,1031291141832.0,795045811753.7999,612053950538.7999,470746473258.4,361835378663.6,277663796385.6,213025990910.6,163381634179.2,125177709603.8,95913724429.34,73498715992.22,56313453876.08,43147547823.44,33062285164.98,25369007198.68,19492177797.76,14980564583.339998,11520100013.72,8871148812.18
FRIDAv2.1,HD_D2,World,Capacity|Gas,c$,2106686800000.0,2305335954384.0,2676692813006.0,3122351236208.0,3465602755690.0,3894577290544.0,4183340810772.0,4657403639024.0,5027042116844.0,5455264080580.0,5685146591336.0,5861290135169.999,5812046304640.0,5689396751654.0,5496253553816.0,5203898468343.999,4860209792957.999,4503918097775.999,4114130428558.0,3737103457654.0,3381547406827.999,3115660253163.999,2983830043414.0,2930150601101.9995,2899032803930.0,2817638619055.9995,2722173934006.0,2625450095712.0,2525096756140.0,2402426384637.9995,2288522863044.0,2179897693469.9995,2058859958098.0,1947668419274.0,1838072340933.999
