Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_D4_20_10,World,Temperature Anomaly,K,0.328859443923,0.312479527676,0.503750114668,0.520017450991,0.7198582836,0.833087398052,0.932145679467,1.08534798044,1.20958518647,1.38140031999,1.4806241083,1.58845144691,1.71851642961,1.80834082709,1.9201724541,1.98088943538,2.06505579132,2.12405328063,2.1919293847,2.23035700207,2.27399019966,2.31766475286,2.34243050752,2.38969459159,2.40730447133,2.44856377522,2.45973628089,2.5028743582,2.51370000716,2.55510574379,2.56123774979,2.600273469,2.60785242311,2.6418428994,2.65707587253
FRIDAv2.1,HD_D4_20_10,World,CO2 Emissions,MtCO2/Year,25455.6115721,24116.3812045,26160.2168662,28264.4194286,30377.2078968,34669.0197478,37127.6699109,39523.4133185,40338.6347551,42408.0234645,42611.3081355,40225.907186,36678.9064107,33684.6400002,31619.8014531,29252.0879952,26893.8527543,25138.8661187,23058.8951356,21453.6802252,20108.9370866,18978.0205621,18703.07173,18598.3936915,18375.1137679,18374.8975711,17992.0618211,17746.3838753,17525.2697664,17111.5223553,17044.0811732,16880.8319077,16805.7341701,16956.2931429,17003.4654468
FRIDAv2.1,HD_D4_20_10,World,CO2 Emissions|Energy,MtCO2/Year,18817.7068587,18941.8316235,20195.5008675,22427.7140107,24752.5311836,28495.9485364,30935.3663669,32904.2119057,33855.7247495,35430.6736236,36038.37849,32965.3084569,28967.2027322,25591.6384278,22606.2545479,20007.6903452,17564.8254654,15478.9992829,13633.666042,12042.8137535,10666.2363471,9670.25706869,9186.46882983,8971.87062938,8757.56711788,8534.89370757,8276.46783927,7935.22385996,7571.94964929,7182.9985565,6815.26043413,6503.41615839,6194.76631949,5922.65069765,5633.44828704
FRIDAv2.1,HD_D4_20_10,World,CO2 Emissions|Food and Land Use,MtCO2/Year,6224.39866789,4790.93612027,5510.60078027,5268.67759613,4896.69052646,5204.2944329,5021.67653404,5092.2248898,4828.77742134,4885.24695124,4370.10016269,4760.24180909,4977.14728277,5314.4114375,5664.66520193,5703.37525163,5549.08243589,5368.46676263,5119.33968432,4798.69185414,4591.41229037,4470.57720016,4471.03217615,4454.77448312,4360.47826771,4236.51609225,4122.83775064,4011.42161068,3930.83882874,3913.43522087,3906.0971466,3967.65475359,3955.82440431,4063.25766855,4082.40086546
FRIDAv2.1,HD_D4_20_10,World,Capacity|Electricity|Solar,GW,0.745,0.655642549814,0.558958349762,0.444539777992,4.12459603608,25.9080357749,30.9482692591,66.3362540354,306.455772952,787.56441649,1517.67250151,2398.0600932,3462.03129685,4593.41008787,5568.3073687,6375.82424417,6901.4023632,7217.42154222,7394.248747,7548.58312937,7725.14512065,7854.20040663,7858.83325081,8006.05580517,8261.78227975,8551.98167602,8835.85989184,9071.09922382,9246.11419418,9296.4675014,9332.16341545,9398.24504468,9546.65168837,9690.57021672,9814.22230375
FRIDAv2.1,HD_D4_20_10,World,Capacity|Electricity|Wind,GW,0.745,0.655643016624,0.558959312642,0.444541607703,0.438450411621,15.2812313703,126.855285456,413.640414069,821.58860233,1446.06271059,2244.83179496,3034.11132725,3898.54362134,4801.72925111,5536.99677482,6091.02052272,6426.80356387,6597.69957941,6654.50497644,6680.40711721,6717.63186835,6699.23123633,6629.76477733,6626.93202307,6718.82515028,6870.13362335,6998.44753985,7081.70032835,7109.95979436,7070.79642594,7040.25741519,7039.90594591,7074.47038292,7140.29383896,7229.72513061
FRIDAv2.1,HD_D4_20_10,World,Capacity|Biomass,Mt/Year,4.996998249,17.2029263579,15.1363302504,25.9185176826,38.4476111064,48.2016998445,125.445480041,176.189150535,220.488470936,289.033346635,227.951924869,286.816248044,513.213318673,885.139030363,1314.42559362,1751.13614993,2109.5956241,2400.85701359,2612.38781417,2757.18021813,2841.40561904,2935.4886158,3088.9842805,3275.7937685,3431.9609654,3575.62796288,3658.97509114,3689.50327736,3699.47887704,3678.58777685,3672.83070477,3673.32176671,3680.26257933,3669.21321863,3668.86208323
FRIDAv2.1,HD_D4_20_10,World,Production|Biomass,Mt/Year,4.419504854,15.4716833227,13.6554311512,23.2798922617,35.2627625793,43.6073598347,114.231361726,162.16215665,204.686657517,268.231191622,218.208652898,265.559411831,472.871847828,817.912958245,1222.98806623,1646.85835876,2010.70428266,2307.88445065,2527.70549352,2685.69082034,2783.09179146,2880.29473833,3020.51040779,3207.64618201,3376.25753977,3522.86662983,3618.18066494,3656.03308387,3668.92478978,3662.20318343,3654.56187017,3652.87214996,3662.42088001,3663.64314968,3659.3201625
FRIDAv2.1,HD_D4_20_10,World,Capacity|Coal,c$,2211946000000.0,2141956119750.0,2199576911590.0,2483683641800.0,2797601083890.0,3368641448290.0,3789630448570.0,3921229569730.0,3957835097200.0,4163027832250.0,4195708165870.0,3563730856850.0,2773941288050.0,2148473532160.0,1661452705110.0,1282061089550.0,988843410380.0,762410563158.0,587452113416.0,451935996763.0,347128414714.0,266920039528.0,235035884206.0,235919873842.0,247201572016.0,254401645422.0,257854597117.0,255233331642.0,242529788114.0,222749851436.0,194121521128.0,157965079717.0,122741978276.0,94632257395.1,72902602396.9
FRIDAv2.1,HD_D4_20_10,World,Capacity|Gas,c$,2103952000000.0,2271012433050.0,2619671871110.0,3053137955930.0,3367412141290.0,3780237512070.0,4029220376510.0,4469361521040.0,4792544081020.0,5233042417600.0,5501054098320.0,5691671206920.0,5714101329530.0,5669525021160.0,5535700289330.0,5339797046890.0,5039326459650.0,4724766689190.0,4370287157700.0,4017384716630.0,3675026375460.0,3424178417460.0,3315306492630.0,3266017364020.0,3212059874300.0,3146529598210.0,3060171184720.0,2945519707080.0,2822175789400.0,2697706867970.0,2570519085490.0,2448213885160.0,2333815623580.0,2224930152290.0,2116169512510.0
