Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_D4_Limit,World,Temperature Anomaly,K,0.502528567101198,0.5140065786987995,0.6756807015853998,0.6752734085331998,0.8737040504141999,0.964065778064,1.06037143559,1.228082097738,1.3710607736059996,1.5858915903759996,1.75540058991,1.939572304128,2.157246698372,2.326297231032,2.50821217661,2.645474445262,2.793192225986,2.914224000732,3.057173386966,3.161936038924,3.270941057356,3.377619576696,3.470475802028,3.573734609192,3.6452172436039993,3.72001166994,3.789305249885999,3.86577197797,3.922738498066,4.011050780028,4.079596062579999,4.18952054246,4.265774053465999,4.352706189578,4.429092644541998
FRIDAv2.1,HD_D4_Limit,World,CO2 Emissions,MtCO2/Year,26424.6374219,25222.59721874,26634.22119572,28767.89413108,31119.43593994,35595.25437116,38588.64782626,41128.51196438,42412.89206226,44719.4932468,44641.97388688,42026.28341242,37836.1664842,35339.59218444,32959.12783218,30998.02221714,28966.94115828,26826.11023526,25002.521043739995,23449.03918238,21021.9058851,19775.96111074,20708.265678760003,20570.900156919983,21134.30927706,22537.410365139986,22812.60815782,23061.1922673,23614.65171922,24408.7197827,23990.90495827999,24768.81985797999,25920.77310283996,25325.990336219995,25514.237444559996
FRIDAv2.1,HD_D4_Limit,World,CO2 Emissions|Energy,MtCO2/Year,18847.91661446,19119.99196082,20461.82313416,22800.53162748,25375.91502008,29307.66750398,32095.00700954,34261.84342116,35486.0951139,37276.55868148,37624.50463558,33922.322440439995,29391.89410612,25953.17452326,22868.44292224,20208.01020564,17803.27537562,15740.072511359998,13756.00634546,11659.78312024,9897.222767476,8629.969995962001,8010.829991167999,7789.12813129,7569.995729095999,7418.253965845998,7220.028154645999,6979.78320626,6750.188609141998,6524.492977907999,6310.208748809997,6097.582200662,5876.082697411999,5664.540937042,5473.503792069999
FRIDAv2.1,HD_D4_Limit,World,CO2 Emissions|Food and Land Use,MtCO2/Year,7196.686996262,5895.026438983999,5887.86649855,5645.585280978,5191.922809666,5521.218528764,5351.52492015,5428.585280269999,5189.83373161,5253.498131256,4757.636464528,5172.773455969999,5374.679737539998,5945.648427699999,6420.477568586,6441.494762886,6361.650710668,6085.907454785999,5454.150581286,5142.21077402,4890.03217829,4777.247554679999,5035.225819884,5147.366878424,5071.172108503999,5117.585223202,5121.38842108,5059.059254159999,5167.440555778,5261.865871043999,5239.785231578,5324.697294057999,5347.093604741999,5347.091232237997,5253.554714838
FRIDAv2.1,HD_D4_Limit,World,Capacity|Electricity|Solar,GW,0.745,0.6556544279288,0.5589871513806,0.4445817949436,5.000246505548,34.63014694955999,56.56091234461999,148.1927190963999,515.8862385704,1158.662692836,2095.9044948759997,3195.394079754,4559.941950658,6322.326351031999,7881.767645864,9370.246078928,10530.40347624,11423.479215519998,11925.95241984,11741.45442256,11572.236209379998,11399.290745919998,11462.020097879997,11958.488938739996,12815.020500199997,13646.959265699998,14284.690249199995,14560.81564546,14831.012208359994,15074.6358618,15413.833029699988,15984.979332219997,16387.287987399995,16876.34748547999,17198.674708839993
FRIDAv2.1,HD_D4_Limit,World,Capacity|Electricity|Wind,GW,0.745,0.6556546462342,0.5589880095199999,0.4640560193377995,0.5013452919651997,17.87772858752,146.58495854539996,463.8211656454,935.1402731623998,1773.2834408899998,2873.659569968,4023.20485749,5251.42740392,6779.171234037999,8127.082409153998,9308.128498901997,10177.230915079996,10835.875079639998,11090.10134212,10802.69129072,10431.114306879996,10150.188036839998,10056.892952899998,10251.257881559995,10823.495162019995,11334.40652288,11792.375034419993,11938.09407986,12004.917064099998,12064.705109479995,12134.147486199996,12345.911192999998,12676.60009712,12868.748471019995,13037.566471659997
FRIDAv2.1,HD_D4_Limit,World,Capacity|Biomass,Mt/Year,6.3826063296,22.10499200198,20.23278168084,32.85986840197999,45.87302037905999,55.70220368554,137.4314138246,191.91110160719995,246.5511246266,305.4016578542,238.46509050439997,277.6658535268,499.418040026,946.9478224192,1467.3042884719998,1987.578312586,2425.521877422,2787.256168856,2963.0855331379994,2931.995947468,2848.419897014,2827.195259544,2957.905078308,3180.0445338219997,3393.761068564,3566.410119036,3689.404114716,3755.645382842,3793.15210663,3817.249012672,3826.656907711999,3845.276465702,3865.9117434719983,3875.59494632,3895.783011735999
FRIDAv2.1,HD_D4_Limit,World,Production|Biomass,Mt/Year,5.664902732536,19.84892641508,18.29404673862,29.77530413616,42.08610594298,50.36814126976,125.1991272604,176.4568813962,227.7882958632,282.8078279758,226.7070186194,257.5100803634,460.4587299215999,865.7916870327998,1352.4042634479997,1856.647302052,2300.9675664199995,2668.33597017,2892.047059384,2877.453470662,2804.960684674,2770.4198820659994,2889.519862784,3109.199244902,3320.587598628,3489.990756261999,3610.46515885,3680.85395227,3726.57718626,3750.538285958,3785.8096272,3804.878268702,3822.702063304,3840.109037498,3857.863829064
FRIDAv2.1,HD_D4_Limit,World,Capacity|Coal,c$,2213282600000.0,2166767780152.0,2238177034488.0,2530162373568.0,2866571868440.0,3455718890958.0,3920920138536.0,4078132486838.0,4149508685984.0,4409505626102.0,4425881237902.0,3709773103422.0,2884954087298.0,2234974446238.0,1728827672017.9998,1335387727778.0,1031287224910.0,795043975820.0,612050723245.6,470737355197.4,361828279237.2,277622887805.4,212979743846.8,163360928107.0,125152466950.4,95909070324.14,73487559353.88,56310105128.68,43136782063.58,33060409164.76,25367900800.18,19491084229.26,14979173698.2,11518744995.22,8869869133.682
FRIDAv2.1,HD_D4_Limit,World,Capacity|Gas,c$,2106686800000.0,2305335954384.0,2676692813006.0,3122351236208.0,3465602755690.0,3894577290544.0,4183340810772.0,4657403639024.0,5027042116844.0,5455264080580.0,5685146591336.0,5861290135169.999,5817496951704.0,5923384247098.0,5857138831856.0,5686977643502.0,5414357826106.0,5073687049461.999,4631209971374.0,4073044576080.0,3555302083341.9995,3171890110254.0,2982713327476.0,2899304884081.9995,2832770772889.9995,2734489519795.9995,2616530309331.999,2509065271760.0,2399571076985.9995,2290589352675.9995,2171672281066.0,2058444572218.0,1938462183722.0,1821541032800.0,1728696484113.9993
