Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_ER_RCP26_1_CDD_20_10_nCAP,World,Temperature Anomaly,K,0.328859443923,0.312479527676,0.503750114669,0.520025699893,0.720644535134,0.833040098679,0.932145679468,1.0850433351,1.20877265357,1.38014087159,1.47859499632,1.5886048548,1.71863205279,1.81052885984,1.91984313168,1.979783559,2.0632795646,2.12049876681,2.18780875964,2.22500866825,2.26632047945,2.30971162929,2.33137273941,2.37912630572,2.39294216427,2.43002466086,2.43898184697,2.48041947101,2.4907037135,2.52606446567,2.5323905166,2.57307988948,2.57730002762,2.61242177197,2.62737938989
FRIDAv2.1,HD_ER_RCP26_1_CDD_20_10_nCAP,World,CO2 Emissions,MtCO2/Year,25448.8367189,24116.9307384,26159.986316,28269.6518789,30381.9156367,34669.0529499,37145.5276277,39524.5741892,40362.2463628,42450.1318382,42629.9346126,40218.1523583,36599.0915155,33317.8496996,31057.54939,28483.3090378,26134.5146045,24348.3315197,22228.3825913,20667.0154391,19316.9046214,18218.6363017,17922.3680711,17757.1424202,17520.2318659,17433.9827492,17129.8644576,16911.3353427,16786.5564307,16387.4288724,16361.2773493,16256.0399049,16297.7029936,16405.9670892,16562.1425333
FRIDAv2.1,HD_ER_RCP26_1_CDD_20_10_nCAP,World,CO2 Emissions|Energy,MtCO2/Year,18817.6765562,18940.1444246,20196.3956757,22427.1592513,24760.4421915,28504.1923049,30957.0207675,32917.4521395,33867.6497769,35514.2724479,36056.7369814,32921.6942356,28905.1384601,25257.3544083,22114.3057797,19394.2116029,16900.1861541,14787.7517715,12941.2491918,11335.7661013,9975.66248269,8978.26813258,8435.52207651,8201.15935073,7959.50847263,7729.04208052,7454.52036155,7135.23730885,6796.54158143,6464.12085356,6142.35356769,5864.21424088,5588.72450927,5333.14515743,5084.28139025
FRIDAv2.1,HD_ER_RCP26_1_CDD_20_10_nCAP,World,CO2 Emissions|Food and Land Use,MtCO2/Year,6220.03386989,4792.7083678,5507.5673492,5269.29184832,4895.04559013,5206.62028041,5022.27199936,5091.13794112,4829.23591839,4886.32635775,4367.38387251,4769.90374749,4962.17695733,5235.19804845,5544.1918616,5557.23817268,5421.55246903,5265.7875148,5009.93428483,4696.68837328,4506.61019186,4401.24435188,4396.30347347,4379.39470693,4303.79551571,4190.62844078,4075.37247239,3974.0596356,3893.77922213,3889.45444912,3877.17732274,3953.87797432,3947.23588227,4042.65951896,4057.09642831
FRIDAv2.1,HD_ER_RCP26_1_CDD_20_10_nCAP,World,Capacity|Electricity|Solar,GW,0.745,0.655643004974,0.558958979955,0.444540820899,4.12547615737,25.9334164546,30.9785824207,66.5454851682,308.126747108,792.002633384,1522.92366984,2388.54589959,3444.94269712,4483.60153275,5375.5844222,6111.57825202,6596.91789251,6919.38244077,7092.09866658,7241.70986722,7402.60598566,7469.63747922,7480.49465202,7628.3697256,7868.29271069,8172.04900815,8448.2901184,8661.42969577,8798.56570019,8877.51916757,8890.83862322,8998.06810548,9148.48427907,9290.19843356,9418.00733277
FRIDAv2.1,HD_ER_RCP26_1_CDD_20_10_nCAP,World,Capacity|Electricity|Wind,GW,0.745,0.655643147651,0.55895977894,0.444542089037,0.43844263258,15.2615915901,126.839517189,413.824945009,822.127128601,1451.8115696,2247.67677167,3027.54812604,3876.72111048,4676.28759231,5349.14137835,5838.61272334,6132.32900212,6301.6646708,6355.48656272,6378.27938154,6384.45152742,6356.6600728,6271.18474779,6270.38568882,6349.49401857,6494.67237957,6617.61265768,6676.32961039,6723.46742584,6700.94544859,6668.77240147,6676.47980235,6711.84341701,6809.75538814,6867.46850285
FRIDAv2.1,HD_ER_RCP26_1_CDD_20_10_nCAP,World,Capacity|Biomass,Mt/Year,5.003001751,17.1590924926,15.1052816122,25.9077068279,38.4476110952,48.1158047717,125.413433549,176.176961418,220.325017104,289.81034734,228.901634998,287.68047187,512.087748987,842.315553958,1230.49348828,1617.62244411,1939.48642002,2201.14283333,2383.95080686,2501.753261,2567.83053254,2643.41240817,2774.94952719,2950.49642831,3099.82730207,3226.55135634,3300.27714277,3331.83995218,3338.71423135,3329.20612158,3329.32764174,3319.85920901,3332.41100528,3339.02003507,3335.3684296
FRIDAv2.1,HD_ER_RCP26_1_CDD_20_10_nCAP,World,Production|Biomass,Mt/Year,4.43241478485,15.4535222391,13.6546329931,23.2798922813,35.2627625928,43.5721863515,114.231361714,162.149851612,204.678680279,268.874473139,219.118625832,266.236580806,472.468972213,779.523947932,1146.57441734,1526.14118213,1848.99078439,2116.07951241,2310.19986603,2440.46314144,2514.76140071,2590.29540138,2716.32140347,2884.50818082,3044.66614092,3175.83549012,3262.67514469,3303.28040265,3321.15780873,3317.33067448,3315.75374153,3308.62404713,3315.17003713,3332.93302246,3330.47058534
FRIDAv2.1,HD_ER_RCP26_1_CDD_20_10_nCAP,World,Capacity|Coal,c$,2211946000000.0,2141771452570.0,2199576911580.0,2483710711270.0,2798104479510.0,3369116475820.0,3790357931800.0,3922268853940.0,3958843703510.0,4169189241450.0,4199440434070.0,3561855027790.0,2772959494780.0,2147232567960.0,1661219502230.0,1283185334880.0,989744346945.0,762705667300.0,587356388351.0,451686897059.0,347084707908.0,266459568580.0,215490615664.0,199156424795.0,181794283376.0,166563314151.0,151136041847.0,135036031566.0,116337088597.0,93942718916.0,72334348643.4,55377522023.6,42418480906.3,32746602510.7,25195400240.2
FRIDAv2.1,HD_ER_RCP26_1_CDD_20_10_nCAP,World,Capacity|Gas,c$,2103942000000.0,2270738765850.0,2619936432160.0,3053303324750.0,3368823500770.0,3781893973390.0,4031253978760.0,4471709497350.0,4795007013460.0,5241850224220.0,5503548131840.0,5678342370900.0,5695652296790.0,5560282738230.0,5365581151840.0,5122028952280.0,4804579348150.0,4468030016580.0,4104637751330.0,3749341084400.0,3404251727310.0,3159443473190.0,3043133707860.0,3000055848670.0,2955707530950.0,2900859249970.0,2824175278710.0,2717671503430.0,2608648848990.0,2490189587150.0,2381374695860.0,2269433136640.0,2161664421800.0,2058200623390.0,1955357765130.0
