Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_ER_RCP26_1_CDD_30_20_nCAP,World,Temperature Anomaly,K,0.191702620603,0.1608526524901999,0.3890637704663,0.4215565421019,0.620525536076,0.7166172441306,0.795752940462,0.9148327626356,0.9951477012388,1.1108152420889998,1.182593343405,1.25691757716,1.33650511317,1.389635400728,1.464125741416,1.486970128245,1.532905348218,1.557620529379,1.598935539357,1.609387958263,1.621152544367,1.6354188334039998,1.6360801588979998,1.6545421550580002,1.645864130664,1.6628315702,1.6629137769759998,1.6809987841740002,1.679562735482,1.696803748947,1.685953271826,1.705492507001,1.686202297761,1.693982586268,1.691805046823
FRIDAv2.1,HD_ER_RCP26_1_CDD_30_20_nCAP,World,CO2 Emissions,MtCO2/Year,23565.79021741,23387.3143276,25601.52960197,27805.46531548,29726.90179989,33787.261094379995,35945.64410798,37977.0834491,38621.11121502,40006.168392980006,40487.56527711,38039.83165326,34999.82658385,31883.01546195,29394.31131336,27156.41312178,24530.02301639,22427.97644114,20751.11877613,18734.18702752,17241.80961791,16388.09950135,15609.86199603,15433.27461417,15260.76947785,14745.39818568,14340.18377701,13768.41041949,13314.95788391,12831.68903508,12177.2402031,11947.80436371,11686.33057719,11488.21237828,11220.97028064
FRIDAv2.1,HD_ER_RCP26_1_CDD_30_20_nCAP,World,CO2 Emissions|Energy,MtCO2/Year,18789.56982738,18749.28040568,19924.12802314,22078.14212324,24200.29493892,27730.98327407,29937.38072538,31581.70638203,32389.88588553,33597.149106109995,34286.33648772,31514.03370116,27917.6090755,24653.15721111,21637.73223706,19079.98997286,16702.63036997,14602.44927574,12742.15167258,11160.44607475,9760.33454553,8748.046430792,8252.377342464,7968.571817376001,7712.429537876,7434.464113906,7100.115281553,6724.037083748,6348.037195377,5962.144031504,5600.366367998,5256.192807050001,4915.307749294,4637.138101036,4357.809356136
FRIDAv2.1,HD_ER_RCP26_1_CDD_30_20_nCAP,World,CO2 Emissions|Food and Land Use,MtCO2/Year,4314.376212468,4038.165920366,5051.897132205,4881.636905092,4602.031452955,4905.607682202,4722.756443005,4771.082051574,4495.819045136001,4477.555134943,3970.315677362,4238.725608533,4456.570197862,4634.080367961999,4816.30657874,4904.257464423999,4697.70569146,4536.992187412,4325.18842035,3997.839866356,3752.762949543,3636.682579861,3564.422179058,3455.858001838,3394.418594723,3215.918215804,3026.705911677,2934.832126696,2818.1549677000003,2717.473619002,2638.582831094,2621.244499147,2539.191252859,2533.494484314,2502.756113661
FRIDAv2.1,HD_ER_RCP26_1_CDD_30_20_nCAP,World,Capacity|Electricity|Solar,GW,0.745,0.6555864928363,0.558847813135,0.4443979524683999,3.192648571782,15.90140651518,14.21442507923,15.18756755079,97.69362063804,361.6665852931,834.3065468895,1454.981792501,2299.006806021,3172.213115222,3863.397483421,4399.087807232,4682.674254816,4797.981098589999,4823.743574245,4803.327738793,4806.509759847,4821.081201781,4761.300026807,4770.2784759900005,4874.75050804,5045.298417092,5138.535541337,5226.869057896,5285.673735087001,5330.291721856,5341.094993626,5338.083893743,5346.450898912,5385.341169634,5433.660184413
FRIDAv2.1,HD_ER_RCP26_1_CDD_30_20_nCAP,World,Capacity|Electricity|Wind,GW,0.745,0.6555864928363,0.558847813135,0.4443978891021,0.3952475781677,13.17161678429,112.2376795861,369.9055578424,731.0807988557,1179.597932593,1724.840249974,2267.123622023,2867.627063269,3424.854471299,3877.354994309,4180.946199364001,4277.690015022999,4266.204013395,4187.873939644,4083.083396344,4012.158837792,3913.552921643,3785.513668726,3748.101129284,3738.428549685,3796.817833068,3842.385390449,3875.135100832,3865.485107331,3821.586481659,3786.745214412,3768.769648447,3767.953586238,3746.735539973,3718.722589328
FRIDAv2.1,HD_ER_RCP26_1_CDD_30_20_nCAP,World,Capacity|Biomass,Mt/Year,3.613491395,13.05891629239,11.17158343381,20.69043106193,32.58351535956,41.86643801013,114.3784786703,160.16225891960002,195.2944517699,248.0327580992,194.8165523753,246.4506308741,441.2871162343,719.7909742518999,1044.5553131,1376.551080954,1639.783571481,1861.211907092,2007.867371388,2104.736094352,2146.122405318,2204.513139487,2278.896622527,2385.60468193,2474.330136002,2545.201665758,2566.068158373,2570.552534582,2548.928686703,2539.663207646,2510.0949264630003,2476.150145163,2463.354467096,2469.220455495,2457.7722188770003
FRIDAv2.1,HD_ER_RCP26_1_CDD_30_20_nCAP,World,Production|Biomass,Mt/Year,3.197078159768,11.71309001227,10.002048444559,18.62430316503,29.85298798093,37.88791448236,103.7872161141,146.921397083,181.3876197975,229.9893091169,185.5479790512,227.83154707,407.4304979431,670.5934738348001,974.0311001548,1300.482468626,1569.954565444,1795.178605149,1947.625176255,2054.154317323,2108.401400591,2163.011371726,2244.559425419,2350.102696288,2441.307669679,2517.3721241720004,2546.1196654530004,2556.666119889,2541.551236178,2532.050803045,2516.721062551,2477.547908291,2472.037150475,2474.946877764,2461.932947063
FRIDAv2.1,HD_ER_RCP26_1_CDD_30_20_nCAP,World,Capacity|Coal,c$,2210644100000.0,2116023048645.0,2160000444745.0,2438142187791.0,2734290183507.0,3277798439681.0,3671632277812.0,3767802785275.0,3777591686614.0,3952111262569.0,3993520330029.0,3422879413847.0,2673535556725.0,2071472132524.0,1603165737569.0,1238954758640.0,954482085800.0,735591382483.0,565821202059.3,435199731781.1,333655906312.9,258964420857.1,243926412352.2,252308912173.0,280741669507.1,296608498146.4,304281114135.2,307666067900.2,301219291980.8,287627391334.2,260705625056.8,232055377836.4,199365216784.6,160755726369.2,127102819396.2
FRIDAv2.1,HD_ER_RCP26_1_CDD_30_20_nCAP,World,Capacity|Gas,c$,2101256500000.0,2229109258387.0,2554493044483.0,2982645653795.0,3288476900644.0,3674923973406.0,3899745230246.0,4289544023401.0,4590360428723.0,4951830602815.0,5217328052734.0,5361884456447.0,5368837112172.0,5268307879559.0,5045752546102.0,4767179669322.0,4440794914305.0,4102581867633.0,3747735092651.0,3409086412926.0,3081412152358.0,2845989618521.0,2738367905990.0,2685639934128.0,2631116293594.0,2572108552789.0,2502185141827.0,2405160431943.0,2310168829117.0,2223355794439.0,2137940744453.0,2052161172666.0,1989634917420.0,1932291213520.0,1844910660553.0
