Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,Temperature Anomaly,K,0.328859443923,0.312479527676,0.503750114669,0.520025699893,0.720644535134,0.833040098674,0.932145679468,1.0850433351,1.20877265357,1.38036402717,1.4793255672,1.58868563292,1.71532068075,1.80383347222,1.91170906759,1.96895696915,2.05075100417,2.10601311998,2.16773910234,2.20080745826,2.23930271266,2.27886967507,2.29690155898,2.33975091018,2.35028581434,2.39264313302,2.39474630339,2.431258669,2.43409734337,2.46992448746,2.47271014347,2.51624611932,2.51026879971,2.54444228853,2.55453433632
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,CO2 Emissions,MtCO2/Year,25448.8367189,24116.9307385,26159.9863159,28269.6518789,30381.9156367,34669.0529507,37145.5276275,39524.5741892,40360.9972803,42212.6195961,42198.2167327,39107.8184009,35494.7042073,32026.6191831,29680.947292,27391.4963793,25032.3518786,23242.316147,21409.8957271,19892.1601522,18533.6275636,17737.4700354,17679.1862569,17673.9271895,17509.9765029,17558.2843105,17288.5354574,17150.9853442,17052.9941179,16638.3041903,16717.754485,16738.4649031,16537.0488947,16886.6008891,17016.9497444
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,CO2 Emissions|Energy,MtCO2/Year,18817.6765562,18940.1444246,20196.3956758,22427.1592514,24760.4421914,28504.1923049,30957.0207675,32917.4521395,33866.6370087,35252.0026087,35632.129271,31889.7461854,27650.2486062,23881.6527933,20699.0768373,17947.124933,15523.3734946,13445.836372,11711.9515209,10239.6517654,8978.28073989,8136.63944281,7759.5647837,7621.62124868,7494.55737465,7348.89646785,7179.42228014,6947.40131145,6681.24360879,6433.81723773,6176.74518461,5933.41640087,5701.0711269,5480.0821276,5282.36570832
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,CO2 Emissions|Food and Land Use,MtCO2/Year,6220.03386989,4792.70836774,5507.56734921,5269.29184837,4895.04559014,5206.62028041,5022.27199934,5091.13794066,4828.77742134,4884.59138358,4378.27647663,4766.19650512,5077.01783436,5385.38153379,5748.66791185,5888.71070829,5723.2442013,5525.64977742,5283.3837652,5015.10779816,4760.08582434,4718.59762732,4810.94795732,4792.47546724,4675.36123014,4541.52059033,4364.35422323,4221.52500848,4109.22772735,4068.27269621,4054.16633728,4113.34939233,4083.70443185,4199.67263912,4191.13376344
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,Capacity|Electricity|Solar,GW,0.745,0.655643004974,0.558958979955,0.444540820899,4.12547615731,25.9334164604,30.9785824238,66.5454851823,308.126747137,791.62317476,1555.40871722,2249.74930423,2949.7632675,3811.34606676,4620.88339894,5469.08321826,6211.91030776,6682.15451611,7054.66689622,7408.82505946,7552.90061354,7750.08467454,7984.2495977,8217.46671305,8498.01020294,8850.55166324,9039.62709712,9247.98326087,9299.47891268,9293.13378256,9292.90071195,9384.4986231,9438.82406526,9520.77230424,9528.63650413
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,Capacity|Electricity|Wind,GW,0.745,0.655643147651,0.55895977894,0.444542089037,0.438442632568,15.2615915896,126.839517188,413.824945011,822.127128604,1839.30359719,3620.8737774,5007.95636197,6118.1898055,7613.05030018,8794.12647061,9864.01759806,10849.8492601,11549.7761768,11974.4063468,12148.9497064,12287.9333786,12438.6730005,12499.9264316,12698.2490946,13015.9205695,13423.1235632,13606.4943328,13984.5396527,14259.7242102,14377.3889311,14435.9364151,14571.6934003,14726.5777079,14844.3600157,15075.7358877
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,Capacity|Biomass,Mt/Year,5.003001751,17.1590924822,15.1052815948,25.9077068149,38.4476111056,48.1158047671,125.413433549,176.17696141,220.30475672,292.362815642,230.941471358,309.316561433,546.471384979,953.012703019,1418.68651359,1911.69859605,2330.52025731,2670.13428152,2912.67312409,3101.63612967,3219.94621691,3378.78516347,3621.70629731,3912.64695506,4150.22514544,4363.38503719,4488.60856625,4537.7589871,4543.26670446,4515.28585121,4515.93567573,4485.66998697,4482.20191037,4457.67473489,4442.0559188
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,Production|Biomass,Mt/Year,4.43241478485,15.4535222392,13.6546329954,23.2798922622,35.2627625921,43.5721863485,114.231361715,162.149851596,204.661228113,271.344740423,221.202718058,286.477655916,501.25158962,877.198799823,1319.28129043,1796.34240706,2218.35462101,2566.51845077,2819.10215398,3017.34354335,3152.46546922,3307.03370047,3531.87334168,3823.32766165,4070.20956915,4290.78044261,4429.81143719,4495.95116529,4512.5624314,4483.69881723,4478.75265181,4460.33898736,4456.69894862,4432.41308203,4431.33481525
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,Capacity|Coal,c$,2211946000000.0,2141771452580.0,2199576911610.0,2483710711250.0,2798104479490.0,3369116475800.0,3790357931800.0,3922268853940.0,3958730916630.0,4136624175050.0,4134242482280.0,3443417739870.0,2677682213450.0,2073602303750.0,1603733380830.0,1238764607660.0,955962214731.0,737383570420.0,568139872759.0,437081216378.0,335644756794.0,257669172620.0,198108019363.0,151979649964.0,116478531686.0,89221327792.0,68340567222.7,52302624371.6,40068477809.8,30693876293.3,23547408717.1,18049943982.5,13841850563.4,10649853742.8,8196944004.59
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,Capacity|Gas,c$,2103942000000.0,2270738765840.0,2619936432160.0,3053303324730.0,3368823500780.0,3781893973390.0,4031253978810.0,4471709497350.0,4794854191270.0,5163479275680.0,5375267822780.0,5419266801670.0,5300521413540.0,5062381390490.0,4769563710240.0,4423069448750.0,4042019550640.0,3656905043890.0,3273517548090.0,2904298923520.0,2574329617190.0,2344698062260.0,2269869711560.0,2258902136710.0,2230624386320.0,2191134096900.0,2127350772080.0,2052789490990.0,1960052358210.0,1872056353660.0,1779635167670.0,1689969748710.0,1592360548190.0,1496860661860.0,1408031366150.0
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,Capacity|Oil,c$,7580940000000.0,7626432175080.0,8209071634680.0,8794477759680.0,9410274318940.0,10238604414100.0,10344383828700.0,10913688749400.0,11009711718000.0,10972925603200.0,10972943168700.0,10406296147700.0,9611462799360.0,8766024696920.0,7950271679650.0,7166379808920.0,6415288323570.0,5725097565060.0,5082058710850.0,4498980911690.0,3989062036860.0,3617157514300.0,3474948013090.0,3413477443990.0,3366106522570.0,3313824747540.0,3227600750830.0,3136761387140.0,3024380284760.0,2918702963510.0,2826760818530.0,2729103969570.0,2612417741710.0,2495650391510.0,2370205494220.0
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,Capacity|Electricity|Hydro,GW,478.7482363,555.965559922,623.724439153,695.90728715,745.909521468,811.510182346,929.766979062,1082.62400607,1194.07327494,1218.89689527,1164.77159545,1184.50883058,1267.23794839,1356.92055891,1441.38748143,1508.11672345,1552.00677371,1579.53368878,1591.50759063,1591.53602723,1583.14679848,1588.17886266,1621.28096781,1659.20793819,1687.11459784,1706.97140193,1715.85883038,1718.0525324,1716.78857033,1713.85670899,1710.64105002,1706.68364659,1703.8492139,1699.86239716,1692.80607109
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,Capacity|Electricity|Nuclear,GW,97.55787685,164.467258322,222.428016636,294.034981032,339.112645214,351.46904862,358.177547165,366.277613784,386.981502832,408.336553236,671.342999033,1088.8195482,1711.27450797,2494.1585228,3416.14968523,4367.68437109,5267.9764256,6116.78471094,6874.94886219,7548.91742269,8146.84825586,8541.98026806,8744.91467733,8918.63712744,9103.15879084,9308.66040432,9438.10426541,9551.28140629,9641.95205769,9716.94634108,9826.74309334,9912.64853185,9969.20958069,10032.0107381,10142.269209
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,Secondary Energy,TWh/Year,28004.950064,29221.1590704,32130.7259293,36470.9426711,40782.459042,47147.9782319,52226.8302186,58187.8811064,61938.2932187,68210.730612,76040.0880667,78949.6328393,79577.6769959,84267.4943184,90002.5670013,96383.5810477,102191.048726,107509.742462,111320.141464,114473.823957,117075.449093,119089.866107,120790.339949,123157.323009,125692.146748,128385.177695,130457.974312,131823.809394,132596.696348,132769.264862,133125.434308,133336.0112,133744.620921,134480.294684,135165.82567
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,Secondary Energy|Coal,TWh/Year,8227.64429796,8035.89719788,8309.47411031,9479.41228033,10903.0120896,13521.3377636,15839.2777604,16969.9548316,17339.3274527,18641.2123061,18990.1316233,15823.5370843,11916.250965,9136.37378938,6946.26167462,5236.19684888,3928.63254308,2933.92514541,2179.31753844,1608.9950202,1180.79145007,860.902233026,625.005131286,450.274089106,321.68791149,227.968460299,160.760373267,112.510163232,78.3483433426,54.225829007,37.3081403581,25.5477542691,17.4003553491,11.8072061773,7.98559991423
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,Secondary Energy|Gas,TWh/Year,5167.01257216,5617.8623683,6532.66001724,7740.65989414,8795.53694399,10313.8130439,11590.8552317,13596.0816344,15075.3333498,16826.606873,17882.3788411,17929.0858895,16876.9572964,15571.0949072,14110.5395567,12481.8138883,10861.0387514,9374.39146591,8004.70389673,6811.15825513,5793.61650015,5060.75650806,4705.16110291,4483.87266655,4276.55738385,4030.22434484,3771.08133152,3511.46905822,3242.87608827,2986.68683809,2736.45603698,2514.1864386,2288.23182346,2087.49228741,1892.52289559
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,Secondary Energy|Oil,TWh/Year,12027.5065519,12159.0306412,13201.8203177,14325.8601255,15606.2877531,17386.2001347,17992.4298331,19409.1137755,19686.7767834,19813.4248831,19939.3611714,18754.0105671,16693.3835481,14755.3018897,12835.6885492,11027.5919693,9366.06820948,7901.05732629,6639.50131197,5543.09601536,4620.37052983,3938.19174979,3535.18557976,3265.72904349,3015.64488505,2781.26362815,2559.85014166,2344.24825841,2129.35910069,1933.04936522,1739.03132052,1558.9215815,1386.92365339,1208.73679727,1038.3004771
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,Secondary Energy|Electricity|Nuclear,TWh/Year,731.691523572,1233.42866762,1668.3895409,2205.29371804,2542.61559332,2635.93126689,2686.25479119,2746.79701523,2794.80847915,2948.55522808,4849.00043326,7862.67310003,11744.3894426,17107.9844454,23449.3988002,29971.0975324,36159.3452767,41971.830514,47187.6735708,51786.1700699,55924.9668759,58622.7533979,59981.5774375,61210.0565009,62469.0565199,63853.1615191,64764.7643364,65564.0389162,66171.8089872,66703.6039898,67468.4517405,68003.4080254,68443.0101716,68842.5005863,69610.9309866
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,Secondary Energy|Biomass,TWh/Year,8.70396875069,30.4943701206,27.1867425904,46.9944538922,72.3423909675,91.127707522,244.341738029,355.708162742,452.876280509,611.921806614,505.253125542,660.784272307,1146.39675392,2012.50319528,3021.70997032,4114.28435798,5086.42789009,5868.53298897,6436.8366173,6869.10688517,7157.08658943,7503.45926891,8007.11624324,8639.31952465,9186.14883192,9672.1286419,9945.91975358,10076.066387,10106.2338362,10053.5181836,10050.9529609,10007.5928753,9997.56232594,9936.87162168,9935.82614048
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,Secondary Energy|Electricity|Hydro,TWh/Year,1841.06866447,2138.45416176,2398.31471857,2676.55940048,2868.64772559,3121.00749143,3575.3631204,4162.97190079,4503.97606934,4599.00446652,4393.43274798,4469.94472552,4697.33330162,5030.60568843,5343.47536741,5588.57466826,5754.34414877,5852.90785602,5897.23573551,5897.7906607,5868.42433973,5885.59486802,6010.22373533,6149.10522428,6255.9702747,6326.14298584,6361.38626367,6371.72346632,6367.62416058,6352.91112603,6343.5534362,6326.13758351,6312.88476526,6294.6408264,6279.77793021
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,Secondary Energy|Electricity|Solar,TWh/Year,1.26149379072,1.11018158711,0.946455377263,0.752707577326,6.98359724358,43.9061908396,52.4539111826,112.662588909,521.810598467,1340.86624284,2634.1650228,3809.8329333,4996.36770509,6452.6040605,7823.66187688,9261.70209342,10517.2801123,11318.352088,11945.2140308,12541.5882767,12792.3084261,13126.2123146,13516.7618667,13913.7858774,14386.3325201,14982.4014164,15302.6228682,15659.0744957,15743.1437132,15733.6532784,15734.7266706,15894.2575501,15982.214178,16124.7878634,16138.1070092
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,Secondary Energy|Electricity|Wind,TWh/Year,1.36982004264,1.20563718441,1.02784027846,0.81744396838,0.80658161511,28.0665436871,233.310841536,760.748090516,1511.9575196,3381.52814863,6657.84767134,9216.10132749,11243.7844337,13999.0941167,16169.980221,18139.3829257,19967.0143879,21239.2854656,21991.5664072,22363.2488706,22617.8703348,22850.1685435,22962.5494894,23314.5338894,23885.2753001,24660.4431489,25054.0944856,25711.7506727,26256.9085735,26447.7106905,26546.9974837,26812.6407881,27078.1950156,27344.5573626,27726.0431024
FRIDAv2.1,HD_ER_RCP85_1_CDD_20_10,World,Capacity|Electricity,GW,1835.5426539705247,1993.3703256539995,2221.177676047906,2542.313839711856,2834.230805984766,3261.365554129699,3737.770549355924,4445.306016433259,5478.3590355952065,7206.559942420096,10042.263907187747,12295.621693940066,14585.997763401512,17451.598901683177,20121.52202400232,22762.37865738594,25176.602314775933,27003.725050950776,28384.871186762073,29431.9628004696,30176.743246541548,30831.120840226824,31307.860717346546,31914.084557481307,32692.80296667105,33647.19819606153,34129.13792131137,34803.715024081954,35193.20380632016,35352.23583744103,35493.73613752081,35782.146662669344,36024.630578406315,36263.973396198184,36588.004217876645
