Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_D1_20_10,World,Temperature Anomaly,K,0.191702620603,0.1619768816846,0.3893968485436,0.42188482752,0.6213314268484,0.716693481942,0.7958487295916,0.9149381379914,0.9953403618286,1.1114246355239998,1.182995221806,1.255712287668,1.333874584008,1.382289600454,1.450850484864,1.467411385248,1.510587531376,1.527431289564,1.564864117468,1.567268023308,1.577185653734,1.587095891466,1.577919171214,1.599237497272,1.58413183625,1.600487037644,1.59136190282,1.607263831826,1.596217761222,1.609819114218,1.59508554409,1.621427535508,1.601321939628,1.610147869004,1.602312180618
FRIDAv2.1,HD_D1_20_10,World,CO2 Emissions,MtCO2/Year,23565.90845614,23383.69266804,25605.88946698,27804.3665982,29727.12444832,33784.91381684,35942.47105936,37927.19259438,38603.28887856,39730.10387168,39695.00443904,36322.06071822,32480.1967462,29204.06354676,26435.16019348,24535.06149636,21955.03561214,19905.5221078,18438.32719082,16683.97017464,15271.79627296,14499.0311071,14128.05688108,13879.78365558,13596.54536936,13176.127572,12826.51086432,12445.09211828,12130.78530764,11721.412134159998,11318.79402944,11112.52393278,10915.66095132,10754.67884006,10535.547379425
FRIDAv2.1,HD_D1_20_10,World,CO2 Emissions|Energy,MtCO2/Year,18789.3389963,18751.64509298,19922.72127456,22076.49249062,24200.064406920003,27731.51920206,29939.33367968,31579.85800456,32372.36650248,33286.3620322,33442.700284440005,29830.17001714,25733.78727108,22077.80116134,18955.69310562,16287.3499311,13941.82169396,11908.36789662,10153.2006517,8682.32925862,7456.912420948,6631.913015568,6200.1559259880005,6003.022502574,5819.223402448,5606.39305515,5346.372351232,5114.4482256520005,4848.893257104,4601.922703572,4359.201262212,4140.00292805,3924.473406114,3715.710553706,3512.773298374
FRIDAv2.1,HD_D1_20_10,World,CO2 Emissions|Food and Land Use,MtCO2/Year,4315.842845232,4036.65912275,5056.43077764,4881.071268618,4604.398567028,4905.689236702,4720.612707292,4767.146841524,4494.009307758,4485.18842964,3981.81578914,4231.11635661,4386.511279988,4634.971832304001,4909.534460462,5107.879505128,4944.415987386,4737.876479618,4553.391981256,4274.491883588,3974.050292726,3933.27182272,3948.059202496,3882.881395282,3721.43243052,3545.853992678,3345.48231334,3177.516013492,3011.359945844,2882.147008904,2830.315635124,2760.870250496,2685.4548453820003,2689.973179962,2596.931814738
FRIDAv2.1,HD_D1_20_10,World,Capacity|Electricity|Solar,GW,0.745,0.6555851497338,0.5588471543914,0.4443969117686,3.191389567662,15.86434668984,14.17823062652,15.1123668991,97.19252998508,398.5285618736,917.2340415728,1439.46522709,1974.335956098,2565.663320938,2807.060557192,2946.487729454,3029.613458718,2807.888991496,2534.358760586,2233.882474942,1928.586513136,1685.1439122160002,1476.191864122,1363.63236624,1248.94443687,1155.6485043680002,1038.194602048,959.2487766238,871.8167692386002,776.3744004022002,699.4451300154,646.1516619048001,607.5629835952,526.0901000642,494.9599966214001
FRIDAv2.1,HD_D1_20_10,World,Capacity|Electricity|Wind,GW,0.745,0.6555851497338,0.5588471543914,0.4443969117686,0.395597458391,13.18535030776,112.3179942712,370.164515065,731.0847255706,1621.931983262,2941.404021384,3983.752877276,4710.166484104,5243.654981984,5431.281266162,5552.843378434,5611.807867958,5360.225820564,4913.244427902,4287.316410022,3779.14290373,3286.15494432,2938.181025584,2631.960033916,2375.095734716,2182.410317608,2010.02929804,1843.892169864,1625.033276066,1479.695402228,1333.528532706,1174.23184459,1062.3472235840002,998.2026023922,910.3869020546
FRIDAv2.1,HD_D1_20_10,World,Capacity|Biomass,Mt/Year,3.61439192,13.04688343124,11.15896034938,20.68602860232,32.5853628138,41.8702329052,114.3107779634,160.2119664696,195.2865820636,256.2413226532,199.7382256216,263.48654957440004,452.7782507286,785.4932706633999,1156.876161478,1556.76967674,1893.454558128,2143.10477633,2288.059342806,2386.732767366,2442.79361892,2539.859300338,2709.37925848,2917.308260242,3069.014508106,3174.084812902,3213.6685871,3209.908781186,3188.017783204,3159.081089444,3103.561251064,3071.768681244,3060.34570496,3044.015076004,2986.1333452440003
FRIDAv2.1,HD_D1_20_10,World,Production|Biomass,Mt/Year,3.198112779002,11.69240561746,9.991614296842,18.62593489658,29.85318063604,37.90003393554,103.6719283118,146.9257859054,181.4557182928,237.8371744034,190.2980056632,244.1859514952,418.8726113402,729.5022620633999,1082.685101008,1467.370930664,1800.97312173,2062.495096956,2225.382866986,2343.600101424,2399.273724982,2501.287621214,2639.258280846,2861.51858141,3026.855405364,3132.622696752,3184.889187694,3188.782922962,3163.800324654,3153.696712718,3108.538850672,3069.195946066,3054.96681025,3048.878149826,2999.396016648
FRIDAv2.1,HD_D1_20_10,World,Capacity|Coal,c$,2210642800000.0,2116031532966.0,2159669012486.0,2438186056964.0,2733755038474.0,3277808641338.0,3671735246480.0,3768100952028.0,3777472182330.0,3908109104446.0,3849254573914.0,3193661846080.0,2483751119820.0,1922872235894.0,1486896428080.0,1149011174740.0,885893190125.2,682193052589.6,524436737345.8,402714498614.0,309031412159.4,236463719386.8,181125305718.4,138470367172.0,105869829338.0,80930475381.48,61850721657.32,47273672319.8,36088365593.06,27547239618.5,21062218553.92,16142859868.66,12349279197.36,9433758483.498,7246471742.611999
FRIDAv2.1,HD_D1_20_10,World,Capacity|Gas,c$,2101251800000.0,2228683545050.0,2552628495204.0,2981070659112.0,3287888244404.0,3674756198082.0,3898283570476.0,4287865019044.0,4586477767768.0,4846566295606.0,5012087081930.0,4977294648222.0,4748496442966.0,4365508789544.0,3951370150430.0,3520761155884.0,3118616015358.0,2726064184174.0,2347096668260.0,1994974814342.0,1705288991948.0,1515808159580.0,1460041767184.0,1467576273092.0,1451849558988.0,1422716282102.0,1376647865006.0,1318672566636.0,1264895505158.0,1219512716184.0,1156728704814.0,1099038354630.0,1044817802924.0,988795746854.8,923424138600.4
FRIDAv2.1,HD_D1_20_10,World,Capacity|Oil,c$,7578520000000.0,7515096531170.0,8082910302324.0,8645833341382.0,9200543740948.0,9968893803780.0,10033438017060.0,10508652768580.0,10581979163780.0,10422162280660.0,10382711120780.0,9778767625606.0,8843709934214.0,7919016314496.0,7110392244116.0,6331767116142.0,5569167128754.0,4881859280154.0,4250077767842.0,3685844211570.0,3201795148088.0,2860789467244.0,2710726634434.0,2647969942890.0,2576243620978.0,2467929292790.0,2361466183048.0,2263726901954.0,2168193420540.0,2057179350270.0,1947830020790.0,1851526418598.0,1744652065784.0002,1622085697064.0,1499280493930.0
FRIDAv2.1,HD_D1_20_10,World,Capacity|Electricity|Hydro,GW,474.38123556,549.0391938498,616.7658797462,688.8365041552,739.9483343226,802.3805827471999,911.9290175252,1065.89873165,1176.277501784,1198.333413274,1141.55354361,1155.465509996,1219.58530455,1291.871492904,1366.524120238,1425.698871722,1465.37147179,1485.192795304,1496.600141728,1493.904239552,1483.353266452,1488.387805606,1520.678014194,1559.00746777,1583.7498848379998,1592.554300198,1598.61577946,1597.44887134,1591.208887486,1582.578790052,1577.006065918,1570.701021456,1565.507523582,1558.540632298,1554.1321324
FRIDAv2.1,HD_D1_20_10,World,Capacity|Electricity|Nuclear,GW,96.961486674,160.1149472724,215.615157713,284.6823952374,327.0953486102,337.968282416,342.5460382026,347.369982046,362.175454914,380.240195199,615.8866157028,973.5341874068,1421.726337122,2031.713819994,2861.909309598,3684.706061808,4473.867121666,5149.89149886,5767.385245904,6301.977727442,6730.077395256,7044.491689052,7173.053190512,7261.427385504,7372.884709326,7475.880303934,7526.693461262,7555.059428324,7600.336664804,7601.561218596,7605.589024912,7587.087808238,7626.094673558,7646.889271504,7598.544135044
FRIDAv2.1,HD_D1_20_10,World,Secondary Energy,TWh/Year,27958.04205632,28924.3032923,31691.69017228,35932.03549738,39902.96793868,45931.61093994,50627.9103244,55979.39023544,59498.81855366,64750.6365262,71374.6587417,73428.8949644,73669.99545226,77099.30632003999,81423.42248956,86586.72051892,90756.84835306,94215.53587082,97116.08120408,99248.76094234,101060.3585936,102319.2030052,103075.5899316,104414.5777818,105728.3720184,106992.8776406,106825.4525192,106624.0232446,106585.2280038,105940.9095044,105638.4022682,105441.0613684,105461.9859946,105785.2252998,104433.4644574
FRIDAv2.1,HD_D1_20_10,World,Secondary Energy|Coal,TWh/Year,8193.775874224,7945.65979497,8160.953482708,9297.273843102,10637.52882818,13126.86805472,15275.93087804,16232.22134508,16491.07609458,17516.33846344,17664.157937339998,14619.50919908,11015.7595961,8454.41574621,6420.134833046,4833.40928299,3624.921376638,2702.73742193,2002.21068557,1472.870763196,1076.331295108,782.20198867,564.4596927886,404.457638863,287.96470275660005,203.2179550846,142.4384870952,99.17831118246,68.57920096710001,47.16854248882,32.2680338749,21.93982128474,14.8562555217,10.0147456813,6.727160196818001
FRIDAv2.1,HD_D1_20_10,World,Secondary Energy|Gas,TWh/Year,5153.261112296,5531.761576786,6387.132479662,7558.258742227999,8564.919370008,9994.003688104,11160.28371848,12976.69562084,14339.85416202,15706.23057348,16599.49393484,16459.43369694,15134.67664214,13572.38708908,11919.14958106,10174.43204452,8650.595199914,7240.04031224,6010.232423916,4950.664457962001,4081.085085512,3476.840854912,3252.074664336,3138.471518712,3026.562018986,2902.044853768,2728.785779566,2496.474637376,2311.758381128,2147.040003512,1952.150698828,1773.790630056,1623.61853601,1473.390463674,1305.0238095860002
FRIDAv2.1,HD_D1_20_10,World,Secondary Energy|Oil,TWh/Year,12010.1423319,12011.11539012,12987.35032252,14077.43952082,15242.03893302,16900.87886742,17416.013908240002,18650.785765,18884.65737732,18806.61366726,18829.24920116,17620.74990924,15405.2384329,13374.59999542,11549.08073924,9817.288369628,8226.444253106,6828.457748246,5623.341197324,4602.836818216,3727.453189648,3100.975355632,2749.731099568,2489.14709608,2277.800577634,2049.187133724,1822.974662584,1614.09090319,1442.191159924,1245.771279724,1061.645339838,889.6655721974,742.038013446,591.0628019814,446.1343148172001
FRIDAv2.1,HD_D1_20_10,World,Secondary Energy|Electricity|Nuclear,TWh/Year,727.1997007012,1200.463298252,1616.746376118,2135.0206764,2452.67262307,2533.9896236900004,2569.729830652,2606.064817012,2616.114737722,2745.940887026,4446.99217628,7030.417214846,9755.772718596,13952.60141218,19630.10344404,25293.15905868,30722.04478122,35366.2028692,39557.34747654,43257.11619374,46161.87658724,48321.29319826,49188.11970074,49808.36456526,50600.81185084,51325.99967732,51676.27765298,51830.8776366,52163.7825924,52199.2251114,52209.63885792,52061.2264006,52326.62225398,52444.0516857,52143.37440176
FRIDAv2.1,HD_D1_20_10,World,Secondary Energy|Biomass,TWh/Year,6.288263477928,23.05194824716,19.88556646444,37.59621693454,61.14575036962,79.19319939322,222.068737454,322.1267854362,401.40896969,535.2189524526,434.2371598206,562.6514372035999,960.4036685134,1670.160170234,2479.485979022,3365.943126284,4113.422717184,4704.907082134,5081.623422476,5336.7050165420005,5462.299291358,5688.789679308,6019.0040054460005,6497.684094264,6848.231662454001,7093.431251118,7233.190908426,7228.655506838,7187.75810082,7136.48871282,7050.185117484,6968.736312614,6940.259921385999,6868.611197536,6815.682805792
