Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_D1_20_10_Limit,World,Temperature Anomaly,K,0.191702620603,0.1619768816846,0.3893968485436,0.42188482752,0.6213314268484,0.716693481942,0.7958487295916,0.9149381379914,0.9953403618286,1.111420482192,1.182850102134,1.255219455526,1.332817225944,1.381207250612,1.44908351217,1.465655624658,1.5090405345320002,1.52179770406,1.557292359984,1.563311326442,1.570774213752,1.5782964730420002,1.571758669948,1.588445187482,1.57380707953,1.5887499395120002,1.580053617032,1.594119632074,1.588476529928,1.602633305546,1.588041408234,1.611622899488,1.589404422398,1.596796942288,1.5948588619
FRIDAv2.1,HD_D1_20_10_Limit,World,CO2 Emissions,MtCO2/Year,23565.90845614,23383.69266804,25605.88946698,27804.3665982,29727.12444832,33784.91381684,35942.47105936,37927.19259438,38583.9108282,39578.78264442,39511.69489406,36019.06604762,32035.71387804,28705.60802574,26044.32255972,24324.0496698,21634.22006738,19667.38864356,17818.10400404,16202.2394105,14357.73139536,13195.71745508,13007.7584278,12753.84000752,12299.54464164,12085.57253242,11504.745329300002,11271.12371896,10893.49482188,10531.82890418,10205.8508345,10049.75362344,9652.313946882,9537.97308577,9414.422347892
FRIDAv2.1,HD_D1_20_10_Limit,World,CO2 Emissions|Energy,MtCO2/Year,18789.3389963,18751.64509298,19922.72127456,22076.49249062,24200.064406920003,27731.51920206,29939.33367968,31579.85800456,32355.57946458,33132.30876496,33301.20776528,29685.3617487,25519.03912768,21844.96633242,18765.2744379,16182.9035049,13806.649391,11790.40622388,10007.57926546,8434.852222528,7129.024753834,6211.078382192,5748.835574592,5537.793213048,5309.011720894,5079.087348808,4805.56292175,4531.246461466,4288.539084846,4068.186081792,3837.214939146,3591.320411982,3357.037879632,3118.31307291,2932.529322546
FRIDAv2.1,HD_D1_20_10_Limit,World,CO2 Emissions|Food and Land Use,MtCO2/Year,4315.842845232,4036.65912275,5056.43077764,4881.071268618,4604.398567028,4905.689236702,4720.612707292,4767.146841524,4489.655494956,4459.914299274,3983.807840942,4130.180642096,4264.77380668,4548.118218234,4832.45846248,5091.595381258,4880.351900242,4686.470215464,4297.86522585,3896.767027166,3666.131856492,3507.760257836,3586.674427476,3615.954526214,3403.218262378,3197.952168112,3032.625911222,2878.409299794,2825.340990968,2762.474278116,2650.4303942240003,2554.45057667,2447.994114872,2425.96947834,2385.437907374
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Electricity|Solar,GW,0.745,0.6555851497338,0.5588471543914,0.4443969117686,3.191389567662,15.86434668984,14.17823062652,15.1123668991,97.19252998508,375.816987595,907.1668904318,1484.700078232,2123.339601696,2874.380367206,3214.167869184,3297.091124324,3229.229666138,3068.404923376,2693.08735412,2274.024362634,1958.140113174,1776.242792532,1746.15191097,1866.054110638,2033.890413014,2174.664755284,2199.5938860620004,2168.640826842,2147.044322502,2141.30226267,2209.74507621,2212.307012344,2261.914021018,2211.283468426,2216.265620968
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Electricity|Wind,GW,0.745,0.6555851497338,0.5588471543914,0.4443969117686,0.395597458391,13.18535030776,112.3179942712,370.164515065,731.0847255706,1305.068643674,2403.99762413,3259.8869045,4036.106789972001,4827.813167288,5210.003292286001,5323.233029936,5388.6248509160005,5034.350825838001,4453.109710576,3642.881388426,3042.403114282,2522.782138262,2347.675971578,2290.4125046500003,2382.8453764900005,2424.139538294,2437.146923578,2365.269562908,2279.507073106,2297.667557572,2238.257207682,2221.88564158,2207.207907072,2197.354605634,2191.359350042
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Biomass,Mt/Year,3.61439192,13.04688343124,11.15896034938,20.68602860232,32.5853628138,41.8702329052,114.3107779634,160.2119664696,195.0864937862,241.1944384646,187.8789755046,228.6058496276,393.6886664314,746.378956499,1112.306879412,1508.267276934,1821.749974036,2051.038757798,2149.3715143060003,2115.919003396,2072.616214166,2084.543598012,2226.644258326,2378.901936608,2470.739602622,2490.782296752,2494.57767491,2476.77395686,2445.866125408,2449.102317196,2465.742589846,2435.999731256,2394.50694514,2348.750086496,2311.440831462
FRIDAv2.1,HD_D1_20_10_Limit,World,Production|Biomass,Mt/Year,3.198112779002,11.69240561746,9.991614296842,18.62593489658,29.85318063604,37.90003393554,103.6719283118,146.9257859054,181.2927127492,223.5017868398,178.3444460204,212.4778030234,363.6257568854,690.8612695456001,1043.846606034,1420.595707762,1732.1718332940002,1985.025582488,2106.139946014,2085.02716199,2057.248434144,2064.369606476,2169.636000866,2331.94112742,2435.927168824,2468.33898641,2482.764449006,2474.613068204,2447.461755796,2443.3434262240003,2452.741144938,2451.129817764,2401.977503214,2366.125562442,2331.8356837680003
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Coal,c$,2210642800000.0,2116031532966.0,2159669012486.0,2438186056964.0,2733755038474.0,3277808641338.0,3671735246480.0,3768100952028.0,3775854770588.0,3892588078268.0,3833730342606.0,3184614054144.0,2476824274692.0,1918254168218.0,1482937803762.0,1146328221920.0,883345126845.6,680208829185.4,526191716404.8,403386045420.2,309201522821.2,236756225225.0,181390885793.2,138784723264.0,106211581219.0,81277424802.84,62088511760.66,47436943791.9,36233685518.84,27676714394.44,21162680052.8,16208420995.8,12371646741.8,9486841297.476,7280256924.2
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Gas,c$,2101251800000.0,2228683545050.0,2552628495204.0,2981070659112.0,3287888244404.0,3674756198082.0,3898283570476.0,4287865019044.0,4583874831688.0,4832478343800.0,4992659608510.0,4962158288786.0,4678717291134.0,4333079689888.0,3904247649452.0,3477662562014.0,3066088607704.0,2673313961308.0,2290819752606.0,1959100398704.0,1671095341088.0,1491920119144.0,1425607617862.0,1433673573692.0,1434600832332.0,1407396867994.0,1367222815320.0,1311340011052.0,1265836078718.0,1218301120236.0,1161762266874.0,1108954509968.0,1054553484410.0,991157021543.6,922274110569.2
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Oil,c$,7578520000000.0,7515096531170.0,8082910302324.0,8645833341382.0,9200543740948.0,9968893803780.0,10033438017060.0,10508652768580.0,10577948629460.0,10371847541900.0,10334566071580.0,9719413798438.0,8728349572986.0,7803049102850.0,7039389226748.0,6263558015572.0,5499838363716.0,4833187975280.0,4226158943206.0,3637907157130.0,3133581280328.0,2784607828376.0,2631205391104.0,2566102051706.0,2496255243804.0,2400267163186.0,2292139022612.0,2190135656264.0,2090584146400.0,1988738299674.0,1889941678398.0,1785076023900.0,1675067030808.0,1560649307308.0,1439550643598.0
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Electricity|Hydro,GW,474.38123556,549.0391938498,616.7658797462,688.8365041552,739.9483343226,802.3805827471999,911.9290175252,1065.89873165,1176.01207994,1191.167483552,1134.172245944,1146.16291601,1204.371052042,1282.169169988,1356.985205402,1415.642215886,1454.92920292,1479.435301256,1486.323913526,1484.57928791,1474.213972456,1477.0060818660002,1509.227162108,1546.898384254,1572.286374616,1585.786537892,1590.64479896,1590.949692486,1584.838214892,1579.09154227,1573.635808318,1567.42064069,1560.835896934,1553.76834039,1545.711760216
