Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_D1_20_10_Limit,World,Temperature Anomaly,K,0.328859443923,0.312479527676,0.503750114668,0.520017450991,0.7198582836,0.833087398052,0.932145679467,1.08534798044,1.20958518647,1.38170112161,1.48109697891,1.58829483675,1.71397011578,1.80130508091,1.91045514191,1.96701474489,2.04535170953,2.09751629533,2.16266775999,2.19526837582,2.22947090589,2.26362942665,2.28221628715,2.32384482917,2.33496569349,2.36905731704,2.37607202062,2.41395014385,2.41518705961,2.4506432293,2.45188322885,2.49107655438,2.48745191281,2.51728136946,2.53123942973
FRIDAv2.1,HD_D1_20_10_Limit,World,CO2 Emissions,MtCO2/Year,25455.6115721,24116.3812045,26160.2168662,28264.4194286,30377.2078968,34669.0197478,37127.6699109,39523.4133185,40322.0992731,42037.903248,41974.4305577,38823.6878826,35203.6574212,31806.8527153,29419.1276216,27287.9681432,24877.5484879,22974.4990349,20957.8119374,19397.4529108,17689.3060847,16174.9662245,16455.3288614,16091.9080554,15712.3293614,15986.7788806,15506.1942805,15291.2349705,15260.177985,14922.4072432,14909.3323442,15088.8219678,14889.4325602,15167.6882726,15264.8113997
FRIDAv2.1,HD_D1_20_10_Limit,World,CO2 Emissions|Energy,MtCO2/Year,18817.7068587,18941.8316235,20195.5008675,22427.7140107,24752.5311836,28495.9485364,30935.3663669,32904.2119057,33841.0491341,35058.0513843,35451.8722627,31734.345785,27450.7005129,23766.1433147,20593.1645541,17868.119192,15427.9388414,13368.6472928,11569.7925967,9943.01193635,8553.66855371,7565.1878749,7090.86207149,6858.23481864,6627.49785214,6400.45729486,6163.64301433,5865.78491156,5604.07222235,5353.50979943,5114.83914053,4882.71655949,4663.51289117,4455.18919425,4268.26859198
FRIDAv2.1,HD_D1_20_10_Limit,World,CO2 Emissions|Food and Land Use,MtCO2/Year,6224.39866789,4790.93612027,5510.60078027,5268.67759613,4896.69052646,5204.2944329,5021.67653404,5092.2248898,4823.27487876,4876.73555891,4369.56696607,4692.15476713,4973.56181252,5357.5063217,5707.3317281,5889.02816368,5690.93083635,5466.52276197,5017.35572991,4593.97577386,4370.05674553,4199.7651673,4346.90842639,4397.40784559,4214.8397217,4092.62541104,3972.53276622,3890.89174881,3875.07667765,3885.49759923,3864.74057532,3897.72901757,3883.96287007,3938.20755764,3988.87242627
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Electricity|Solar,GW,0.745,0.655642549814,0.558958349762,0.444539777992,4.12459603608,25.9080357749,30.9482692591,66.3362540354,306.455772952,752.643148595,1512.39572287,2235.25758138,3051.67692676,4243.30917886,5180.95665394,6089.92529328,6766.7449778,7156.10622991,7271.46383413,6889.80967071,6350.06810849,5924.60457519,5760.18933137,6037.72613834,6396.78112528,6889.41825805,7168.67286885,7205.10727312,7316.2855658,7351.01105391,7443.31200329,7603.12262939,7756.81751596,7829.88537326,7928.13230895
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Electricity|Wind,GW,0.745,0.655643016624,0.558959312642,0.444541607703,0.438450411621,15.2812313703,126.855285456,413.640414069,821.58860233,1495.19909996,2940.18005416,4039.82111699,5090.08484195,6914.762003,8283.51031473,9506.42933861,10455.3899707,11068.6706218,11173.8932765,10495.7044162,9693.27581666,8985.15213395,8545.43597952,8661.96021506,8973.42106278,9236.8591239,9421.26536953,9366.83007241,9282.76899079,9255.99982325,9221.61770536,9298.70009015,9378.54783369,9418.09414519,9511.20258592
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Biomass,Mt/Year,4.996998249,17.2029263579,15.1363302504,25.9185176826,38.4476111064,48.2016998445,125.445480041,176.189150535,220.183229159,276.180546056,215.450042648,270.17582629,479.944763574,914.192620878,1379.62260857,1860.75845266,2268.31384519,2589.13569345,2789.44953306,2774.42780939,2719.28320694,2708.84619734,2839.21625535,3016.06850292,3147.6277402,3248.84665797,3295.72294541,3297.9105852,3306.09539407,3311.80484975,3306.62491693,3307.45337938,3292.62759562,3284.71829753,3276.89673782
FRIDAv2.1,HD_D1_20_10_Limit,World,Production|Biomass,Mt/Year,4.419504854,15.4716833227,13.6554311512,23.2798922617,35.2627625793,43.6073598347,114.231361726,162.16215665,204.530845003,256.387999465,205.934565144,250.873757601,442.399790265,841.9342973,1282.54276877,1749.66870338,2162.4080398,2489.06959347,2714.83749027,2724.00951022,2680.56905774,2672.08861777,2781.44573094,2961.32748086,3104.9208101,3206.91827286,3264.42187571,3276.27708993,3280.52777923,3286.29926145,3293.54976503,3289.06539945,3284.54953379,3273.10101789,3270.84850193
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Coal,c$,2211946000000.0,2141956119750.0,2199576911590.0,2483683641800.0,2797601083890.0,3368641448290.0,3789630448570.0,3921229569730.0,3956321128930.0,4117394930050.0,4113317401250.0,3428456378620.0,2667316318350.0,2065990448710.0,1598001746750.0,1234341424920.0,952806068261.0,734660100241.0,567683710287.0,436196377982.0,335196575574.0,257303257263.0,197725260950.0,151561701488.0,116091220108.0,89038730323.9,68281073509.7,52356246554.9,40196367559.5,30805562789.1,23636552061.6,18117479667.6,13911257697.0,10700039695.3,8236048509.48
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Gas,c$,2103952000000.0,2271012433050.0,2619671871110.0,3053137955930.0,3367412141290.0,3780237512070.0,4029220376510.0,4469361521040.0,4790303141570.0,5142880902120.0,5357145518250.0,5390882317780.0,5278927719870.0,5049748524330.0,4744326635610.0,4396581710870.0,4014703497470.0,3635408137530.0,3233043552620.0,2874122928020.0,2540146434450.0,2315694689760.0,2242068715660.0,2233591396230.0,2213945382710.0,2176153163800.0,2117639755720.0,2044694925600.0,1952598048520.0,1865929613030.0,1772526960730.0,1687342962540.0,1591345023010.0,1495811773230.0,1409432886050.0
