Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_D2,World,Temperature Anomaly,K,0.191702620603,0.1619768816846,0.3893968485436,0.42188482752,0.6213314268484,0.716693481942,0.7958487295916,0.9149381379914,0.9953403618286,1.111373176658,1.182925930904,1.255196052086,1.332723080124,1.381003540754,1.44746598034,1.464846036102,1.50723778937,1.521272905778,1.558747494632,1.563227125928,1.573496278484,1.580615050158,1.579172709048,1.593455345642,1.575754298732,1.591165397588,1.581288666864,1.596231230166,1.58091231276,1.593018417546,1.579734878314,1.6009795212179998,1.586393055482,1.597735032932,1.59068974513
FRIDAv2.1,HD_D2,World,CO2 Emissions,MtCO2/Year,23565.90845614,23383.69266804,25605.88946698,27804.3665982,29727.12444832,33784.91381684,35942.47105936,37927.19259438,38583.9108282,39658.20504076,39460.4008153,36069.92591962,32292.75529096,29007.9212763,26028.45396438,23824.67354804,21270.609,19177.9134177,17593.967498,15733.628294,14407.61501514,13605.74510522,13094.74149374,12889.68986512,12574.5503257,12120.7194069,11814.2772226,11314.24262452,10988.3743395,10700.87799256,10328.54241066,10104.59056812,9938.37017733,9796.875872078,9465.163883526
FRIDAv2.1,HD_D2,World,CO2 Emissions|Energy,MtCO2/Year,18789.3389963,18751.64509298,19922.72127456,22076.49249062,24200.064406920003,27731.51920206,29939.33367968,31579.85800456,32355.57946458,33248.67351556,33273.17386888,29698.18762676,25694.52673948,21968.41412946,18779.56094548,15999.35013762,13573.00707158,11464.65885548,9683.717524908,8162.669811642,6925.507596654,6039.285972076,5574.772167952,5335.544696996,5093.239973434,4848.128333197999,4631.89561087,4364.74753949,4107.987282576,3866.915609202,3643.841155744,3429.141506848,3217.915894672,3023.3989873,2862.780037644
FRIDAv2.1,HD_D2,World,CO2 Emissions|Food and Land Use,MtCO2/Year,4315.842845232,4036.65912275,5056.43077764,4881.071268618,4604.398567028,4905.689236702,4720.612707292,4767.146841524,4489.655494956,4425.763185376,3980.755389382,4121.17481698,4221.049016548,4433.428634476,4660.803877392,4716.096634527999,4587.653583935999,4428.579203084,4228.542714156,3925.577684156,3701.583360254,3616.81399575,3605.318405676,3529.576643958,3442.654747936,3261.7773634120003,3080.903977618,2962.335253964,2820.502450842,2714.243479448,2644.87014095,2608.870565854,2520.733848506,2497.2007961480003,2461.625814504
FRIDAv2.1,HD_D2,World,Capacity|Electricity|Solar,GW,0.745,0.6555851497338,0.5588471543914,0.4443969117686,3.191389567662,15.86434668984,14.17823062652,15.1123668991,97.19252998508,414.2760512478,1003.0814787996,1788.626882442,2735.666192226,3583.9234679,4413.122393332001,4930.933650096001,5268.669714384,5357.4894602,5312.611748144001,5278.680950898,5245.945846738001,5158.277071332,5031.870547222,5049.002187412,5194.110235204,5373.6000576920005,5504.666552738,5538.54606324,5574.526288112,5592.9546534520005,5598.625826004,5648.488413624,5634.704611264,5659.602699808,5711.83853221
FRIDAv2.1,HD_D2,World,Capacity|Electricity|Wind,GW,0.745,0.6555851497338,0.5588471543914,0.4443969117686,0.395597458391,13.18535030776,112.3179942712,370.164515065,731.0847255706,1314.366278546,2046.706281116,2744.728048494,3468.356341682,4075.074154896,4542.702424854,4866.09894958,4968.326850696,4925.854839686001,4829.79368062,4667.2849985640005,4556.583082926,4409.849339666,4255.992486638,4160.90220321,4171.648205778,4209.2851660080005,4205.801824098,4187.47908675,4133.88962447,4078.534630368,4001.17593496,3948.629968448001,3988.969114272,3980.310816296,3945.074704332
FRIDAv2.1,HD_D2,World,Capacity|Biomass,Mt/Year,3.61439192,13.04688343124,11.15896034938,20.68602860232,32.5853628138,41.8702329052,114.3107779634,160.2119664696,195.0864937862,225.9692205562,176.0268028436,193.7604045992,332.9471107442,554.530689659,828.047684557,1106.8961208980002,1336.982102492,1515.842456674,1630.056038214,1698.098004748,1717.52372725,1761.922568132,1882.638411378,2024.265839512,2140.540050136,2228.3337443220003,2256.218923162,2261.745992426,2232.988602038,2222.696462126,2221.631626444,2203.322523546,2194.544934042,2187.266226956,2183.107514776
FRIDAv2.1,HD_D2,World,Production|Biomass,Mt/Year,3.198112779002,11.69240561746,9.991614296842,18.62593489658,29.85318063604,37.90003393554,103.6719283118,146.9257859054,181.2927127492,210.5456008322,167.4316244714,180.4343032186,308.4305605272,514.4561627,769.49546267,1048.532882068,1275.874028706,1456.308588674,1583.702351154,1656.638461542,1682.729820142,1732.770514398,1847.098656438,1988.923725646,2106.702754728,2202.99659719,2239.63153064,2247.933633452,2227.030755348,2224.731659744,2225.60299064,2209.917464096,2212.489426254,2190.299398704,2183.023382396
FRIDAv2.1,HD_D2,World,Capacity|Coal,c$,2210642800000.0,2116031532966.0,2159669012486.0,2438186056964.0,2733755038474.0,3277808641338.0,3671735246480.0,3768100952028.0,3775863779940.0,3910235504752.0,3830278619430.0,3174188544368.0,2466871411914.0,1911737589558.0,1478046594706.0,1141660453218.0,880453094728.0,677987356940.2,521398527976.0,400455766276.0,307096432737.0,235233685278.2,179958722357.8,137663571364.4,105248683220.8,80377286586.28,61407975783.54,46958498899.72,35835162453.04,27299575872.46,20809406614.42,15924202416.66,12189163411.98,9358124629.126,7179125311.35
FRIDAv2.1,HD_D2,World,Capacity|Gas,c$,2101251800000.0,2228683545050.0,2552628495204.0,2981070659112.0,3287888244404.0,3674756198082.0,3898283570476.0,4287865019044.0,4583877061804.0,4843697081970.0,4982195650136.0,4977045932866.0,4788722969470.0,4409895694508.0,3992783958696.0,3581796979442.0,3152899971792.0,2765489736900.0,2383970646524.0,2026624845150.0,1725816349668.0,1520299587846.0,1455929184150.0,1470139983218.0,1450104306634.0,1426659631764.0,1377638201314.0,1333190155684.0,1276217749460.0,1229148992988.0,1177324324598.0,1114764704524.0,1072560959636.0,1002617721918.0,940618511260.0
