Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_D4_Limit,World,Temperature Anomaly,K,0.328859443923,0.312479527676,0.503750114668,0.520017450991,0.7198582836,0.833087398052,0.932145679467,1.08534798044,1.20958518647,1.38162567604,1.48112035435,1.58849522175,1.71418291703,1.80011456129,1.90936955116,1.96637526683,2.04738664983,2.1037338746,2.17022309591,2.20561842172,2.2440147293,2.28536593233,2.29863800345,2.34184468108,2.35272621574,2.38937407397,2.39445705047,2.4284020725,2.43160284279,2.46056516982,2.46694513446,2.50710872836,2.49770486511,2.53055199359,2.53929753195
FRIDAv2.1,HD_D4_Limit,World,CO2 Emissions,MtCO2/Year,25455.6115721,24116.3812045,26160.2168662,28264.4194286,30377.2078968,34669.0197478,37127.6699109,39523.4133185,40322.0992731,42149.0310736,41894.2966598,38815.8696112,35083.3167732,32185.896792,30211.0119066,28011.2805932,25611.1040223,23805.2613185,21326.8984671,19588.4518305,17454.9672136,15800.81513,16080.0292066,15629.0173651,15414.8504489,15655.9945235,15165.7254844,14955.1783713,14941.1773193,14578.4445442,14635.2619265,14734.8156999,14637.0950152,14923.437989,14918.3929135
FRIDAv2.1,HD_D4_Limit,World,CO2 Emissions|Energy,MtCO2/Year,18817.7068587,18941.8316235,20195.5008675,22427.7140107,24752.5311836,28495.9485364,30935.3663669,32904.2119057,33841.0491341,35202.4158465,35328.2700439,31717.4707421,27497.1230456,24240.2245797,21280.5936287,18697.0906965,16265.9817425,14188.7884521,12229.6708707,10221.0148624,8573.38135094,7387.73434108,6809.38932381,6526.10443093,6255.84601165,6028.58241985,5757.45977485,5468.104495,5199.72791946,4965.33437383,4720.98094274,4516.96901896,4311.16231667,4115.67065626,3917.700696
FRIDAv2.1,HD_D4_Limit,World,CO2 Emissions|Food and Land Use,MtCO2/Year,6224.39866789,4790.93612027,5510.60078027,5268.67759613,4896.69052646,5204.2944329,5021.67653404,5092.2248898,4823.27487876,4841.92408278,4363.15918538,4651.36621814,4847.93751069,5245.55792,5642.53081035,5736.30174378,5558.47315183,5340.97378812,4740.83490319,4424.13476209,4200.46287716,4055.29959349,4233.93797095,4323.89944438,4167.23954467,4077.00528405,3987.62627433,3873.74239977,3858.12443843,3858.24065816,3837.74414664,3860.44511326,3867.32930613,3941.11926063,3974.88947015
FRIDAv2.1,HD_D4_Limit,World,Capacity|Electricity|Solar,GW,0.745,0.655642549814,0.558958349762,0.444539777992,4.12459603608,25.9080357749,30.9482692591,66.3362540354,306.455772952,824.534722156,1625.62897639,2577.4399665,3743.74074104,5129.83364221,6305.03291201,7249.15979011,7872.24234065,8250.25783496,8304.03477971,7984.64833542,7760.44105914,7559.18366192,7606.71016934,7962.96902819,8397.35701462,8872.19010157,9177.0675209,9297.48873361,9371.01505294,9461.00986621,9548.19118344,9679.32729397,9867.9370268,9985.27971247,10070.3808695
FRIDAv2.1,HD_D4_Limit,World,Capacity|Electricity|Wind,GW,0.745,0.655643016624,0.558959312642,0.444541607703,0.438450411621,15.2812313703,126.855285456,413.640414069,821.58860233,1516.61467172,2418.04457279,3287.56845883,4244.46520704,5404.90437199,6305.52743692,7024.91845964,7406.597546,7615.22663176,7577.17777754,7162.22027481,6810.92190539,6508.35233666,6382.74221432,6528.21594723,6788.97085604,7063.62250277,7189.8324758,7207.00492466,7141.54988862,7149.41019696,7153.62117647,7232.44311516,7294.66402891,7359.48269807,7397.44679311
FRIDAv2.1,HD_D4_Limit,World,Capacity|Biomass,Mt/Year,4.996998249,17.2029263579,15.1363302504,25.9185176826,38.4476111064,48.2016998445,125.445480041,176.189150535,220.183229159,263.478147359,204.911162144,232.50278363,414.34261612,788.785783756,1223.42916695,1663.24431555,2024.55470245,2309.72160969,2446.87511374,2399.82768053,2324.76344888,2300.46394383,2413.28026824,2587.76564447,2727.58871728,2844.05242989,2900.22194703,2915.30142147,2925.03097575,2924.06268957,2923.54927852,2934.62385029,2937.00756582,2930.65840839,2923.30428398
FRIDAv2.1,HD_D4_Limit,World,Production|Biomass,Mt/Year,4.419504854,15.4716833227,13.6554311512,23.2798922617,35.2627625793,43.6073598347,114.231361726,162.16215665,204.530845003,245.291114655,195.782191359,215.712799601,382.309621344,727.718106939,1135.22503265,1564.18815468,1928.31091836,2221.51937035,2393.59318953,2359.4906857,2298.14893759,2271.78727326,2362.89728378,2538.45349497,2685.05938359,2801.81523855,2871.09624874,2888.20425256,2905.70359695,2907.02684195,2912.25265391,2921.91927911,2933.42890589,2922.73767983,2918.71328595
FRIDAv2.1,HD_D4_Limit,World,Capacity|Coal,c$,2211946000000.0,2141956119750.0,2199576911590.0,2483683641800.0,2797601083890.0,3368641448290.0,3789630448570.0,3921229569730.0,3956321617580.0,4138081740850.0,4106021054400.0,3419537243440.0,2658529086380.0,2059817376670.0,1593373863740.0,1231068588530.0,949669881173.0,732138953107.0,563829903112.0,433486372915.0,333044919681.0,255398180199.0,195867185110.0,150127869293.0,114977582865.0,88001792490.5,67328334792.5,51524750989.4,39437592262.7,30212686985.3,23170619831.3,17779827843.1,13656536248.3,10494897780.8,8084425051.85
FRIDAv2.1,HD_D4_Limit,World,Capacity|Gas,c$,2103952000000.0,2271012433050.0,2619671871110.0,3053137955930.0,3367412141290.0,3780237512070.0,4029220376510.0,4469361521040.0,4790303141570.0,5156072299230.0,5331130059440.0,5410905667630.0,5319415304520.0,5266585237860.0,5082439424900.0,4827207397430.0,4505579521560.0,4147656781860.0,3727841410040.0,3216359127430.0,2756316112950.0,2420957248680.0,2284315385540.0,2257704777790.0,2200996750570.0,2138011166220.0,2055298454560.0,1967833410060.0,1871229173100.0,1785109579470.0,1690800640130.0,1603132246580.0,1506536592570.0,1408990094400.0,1321715043380.0
