Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_D4,World,Temperature Anomaly,K,0.328859443923,0.312479527676,0.503750114668,0.520017450991,0.7198582836,0.833087398052,0.932145679467,1.08534798044,1.20958518647,1.38102922895,1.48063147651,1.58952023145,1.71790908111,1.80363168728,1.91732500146,1.97434843888,2.05817565724,2.1135983652,2.18021580276,2.21475155982,2.25274251589,2.29235203888,2.31765345034,2.36157814805,2.37536909696,2.41509516456,2.42233039062,2.46158891661,2.47024073916,2.50498156355,2.50763026449,2.55135042003,2.54463696122,2.58155510693,2.59188168109
FRIDAv2.1,HD_D4,World,CO2 Emissions,MtCO2/Year,25455.6115721,24116.3812045,26160.2168662,28264.4194286,30377.2078968,34669.0197478,37127.6699109,39523.4133185,40338.6347551,42570.9489476,42559.5039579,39722.0409308,35921.2843472,32751.8703378,30553.6013244,28056.5074713,25689.6619267,23958.2272941,21889.0335513,20283.2204848,18973.8918543,18017.8826264,17856.0021823,17711.5760412,17476.8591246,17441.4501415,16999.2018973,16829.9621986,16704.3552986,16258.6710654,16325.1951323,16271.6157208,16220.9461692,16335.7546205,16470.5496817
FRIDAv2.1,HD_D4,World,CO2 Emissions|Energy,MtCO2/Year,18817.7068587,18941.8316235,20195.5008675,22427.7140107,24752.5311836,28495.9485364,30935.3663669,32904.2119057,33855.7247495,35623.3733807,35988.296962,32513.3317786,28270.422384,24695.1604854,21560.590226,18846.8991368,16375.409386,14267.0441347,12458.7395264,10897.248762,9600.59389767,8673.5535907,8198.83039337,7984.06444418,7792.72854574,7573.90024273,7309.19499884,7007.79077811,6679.53199693,6364.67445045,6060.03352449,5799.05827334,5576.98326298,5329.33345046,5085.79240922
FRIDAv2.1,HD_D4,World,CO2 Emissions|Food and Land Use,MtCO2/Year,6224.39866789,4790.93612027,5510.60078027,5268.67759613,4896.69052646,5204.2944329,5021.67653404,5092.2248898,4828.77742134,4850.97075671,4376.0572951,4707.99137417,4907.21502265,5268.41016063,5657.04176327,5688.21932953,5558.34328049,5373.37992125,5129.72198009,4820.92487416,4612.4388563,4514.19774052,4566.72737676,4540.45832546,4452.18214979,4325.22810342,4168.99842695,4071.57242471,3962.61121394,3938.39405924,3936.4828498,3975.78351878,3979.37418783,4075.82684916,4085.33031629
FRIDAv2.1,HD_D4,World,Capacity|Electricity|Solar,GW,0.745,0.655642549814,0.558958349762,0.444539777992,4.12459603608,25.9080357749,30.9482692591,66.3362540354,306.455772952,865.513576451,1708.44479103,2718.44784202,3909.81823032,5190.51693217,6310.09200262,7209.78305028,7800.97559412,8232.18703617,8451.76554488,8704.28392259,8904.36826249,9036.16160299,9071.02084939,9266.59984683,9535.35763666,9867.02201645,10205.7931233,10479.3941481,10626.0162577,10675.8685959,10698.3916704,10815.6388264,11014.1595445,11227.8491262,11339.1815501
FRIDAv2.1,HD_D4,World,Capacity|Electricity|Wind,GW,0.745,0.655643016624,0.558959312642,0.444541607703,0.438450411621,15.2812313703,126.855285456,413.640414069,821.58860233,1566.73754362,2507.64511761,3437.16587634,4416.31362339,5472.00169118,6312.26212236,6985.13966641,7368.26348815,7605.23096661,7721.92442083,7804.26956692,7840.6520289,7817.47706902,7749.98584625,7762.79290733,7842.14651225,8047.4375297,8174.5474378,8260.30063594,8295.78223291,8293.357782,8302.29760283,8343.92497135,8411.55756237,8463.65003959,8547.98173307
FRIDAv2.1,HD_D4,World,Capacity|Biomass,Mt/Year,4.996998249,17.2029263579,15.1363302504,25.9185176826,38.4476111064,48.2016998445,125.445480041,176.189150535,220.488470936,276.139879036,214.666641907,255.552540548,461.702366923,821.511840275,1248.81658593,1684.46174776,2049.12848837,2339.48336113,2551.45871315,2701.56789795,2785.35657623,2894.66878575,3073.40322797,3289.36957964,3473.64335659,3629.58007241,3728.60920895,3764.91689222,3773.19906821,3750.68582649,3738.7955221,3734.80428709,3740.68589451,3730.90684928,3721.65273239
FRIDAv2.1,HD_D4,World,Production|Biomass,Mt/Year,4.419504854,15.4716833227,13.6554311512,23.2798922617,35.2627625793,43.6073598347,114.231361726,162.16215665,204.686657517,256.906286701,205.371136048,236.915891284,425.321642545,757.329769156,1159.32096873,1587.18490814,1952.58234051,2251.33323224,2469.91904935,2629.76646617,2729.15705583,2833.97427719,3003.98376824,3220.97810368,3416.42159668,3579.52138928,3683.67871358,3735.62004058,3753.90136772,3730.93360414,3713.74904854,3717.73520088,3730.14591892,3719.7829211,3710.86880322
FRIDAv2.1,HD_D4,World,Capacity|Coal,c$,2211946000000.0,2141956119750.0,2199576911590.0,2483683641800.0,2797601083890.0,3368641448290.0,3789630448570.0,3921229569730.0,3957835097200.0,4182836771260.0,4175497392110.0,3494213941120.0,2715335266540.0,2104785420490.0,1627272454080.0,1256668739540.0,969687308130.0,747571477384.0,575750421458.0,442686017864.0,340117262615.0,260985245993.0,200518238389.0,154057312963.0,118046096274.0,90410205303.4,69157469738.5,52974713866.2,40547530545.1,31058654743.6,23822109583.4,18279317347.3,14042013527.4,10805069369.6,8319877761.91
FRIDAv2.1,HD_D4,World,Capacity|Gas,c$,2103952000000.0,2271012433050.0,2619671871110.0,3053137955930.0,3367412141290.0,3780237512070.0,4029220376510.0,4469361521040.0,4792544081020.0,5232562347230.0,5449371516920.0,5573083934010.0,5496792320700.0,5361198111180.0,5137598205130.0,4862947713270.0,4520710420480.0,4163335885560.0,3784495513650.0,3431060579340.0,3088214151510.0,2849734133330.0,2766965661470.0,2775392949420.0,2746272212340.0,2702104898380.0,2625260872520.0,2518161099130.0,2400294587690.0,2288318709240.0,2164313940390.0,2043597822910.0,1935047819700.0,1817048161060.0,1711264947780.0
FRIDAv2.1,HD_D4,World,Capacity|Oil,c$,7580950000000.0,7626447956480.0,8208467982020.0,8794213057860.0,9409113253360.0,10236392242400.0,10341665662800.0,10912182168500.0,11004474406900.0,11080422826600.0,11099280753800.0,10641654755100.0,9872192228180.0,9151556058770.0,8415899181850.0,7714936119010.0,7023150659760.0,6373619075790.0,5764390691450.0,5207245485580.0,4700557886380.0,4359623282430.0,4208411829720.0,4184207101400.0,4157033099250.0,4123295981910.0,4061191736360.0,3968689659180.0,3859114532760.0,3738544788450.0,3617699948600.0,3510917436850.0,3402684664750.0,3293844623370.0,3163153078680.0
FRIDAv2.1,HD_D4,World,Capacity|Electricity|Hydro,GW,478.7958486,556.012660224,623.689871896,695.860696053,745.880876782,811.491732919,929.681907881,1082.54821055,1194.05488725,1251.47809326,1198.08264425,1235.55708989,1340.70357381,1472.29389268,1590.74016325,1685.80789787,1751.02396305,1796.38993114,1821.06798533,1832.11164319,1831.45483693,1846.63916424,1891.59395332,1942.19272612,1980.32666623,2008.96775316,2023.35624297,2029.32958686,2027.62995122,2023.98628122,2018.4026979,2013.16539854,2007.29359223,2002.70331913,1997.80194036
FRIDAv2.1,HD_D4,World,Capacity|Electricity|Nuclear,GW,97.56176128,164.511335446,222.428699818,294.029060318,339.045160728,351.419086157,358.176855823,366.266760316,386.895374554,409.800636128,695.992619189,1155.06015376,1819.30269522,2677.48647669,3676.69488648,4740.61277314,5753.03448634,6713.08195684,7576.6092467,8363.00522988,9074.09953075,9573.9253009,9859.22073215,10081.8808858,10331.7334132,10577.6454692,10788.6410011,10917.9589104,11014.8507331,11097.2501146,11173.911099,11250.1661459,11326.3287886,11413.3875789,11485.2112337
FRIDAv2.1,HD_D4,World,Secondary Energy,TWh/Year,28005.3587678,29222.3805356,32126.247648,36470.9426711,40779.6499311,47138.0270274,52206.1849734,58165.3187832,61916.1407411,68556.5168745,74988.8279095,78200.2008216,79990.5485106,85723.3091892,92057.3026079,98611.1802048,103798.409399,108575.974961,111995.044585,115430.437971,118545.34277,120731.688356,122167.315768,124144.367789,126521.031261,129267.946881,131182.973726,132232.34715,132603.483427,132913.7635,132731.787217,133126.812275,133888.276144,134546.687175,134898.342154
FRIDAv2.1,HD_D4,World,Secondary Energy|Coal,TWh/Year,8227.64508506,8036.99264307,8310.24942524,9479.29896101,10902.0570409,13519.2827588,15832.098387,16965.7691653,17326.2934671,18853.0996421,19195.101635,16051.0281817,12090.3279436,9270.68616927,7044.74633981,5310.94986811,3984.86337808,2974.39364736,2209.90901328,1631.73840671,1197.05998854,873.431830318,634.227167838,457.681405984,326.68142281,232.180190945,163.579322341,114.702326897,79.868365966,55.2624334757,38.1003162959,26.119359476,17.8195748988,12.0977588939,8.18911211701
