access_scenario,scenario,name_run,q,region,year,e_cool_CC,e_cool_noCC,e_cool_delta
projected,EN_NPi2100,tm23ts23,0.95,AFR,2030,0.15874,0.12956,0.02918
projected,EN_NPi2100,tm23ts23,0.95,AFR,2040,0.30785,0.23335,0.0745
projected,EN_NPi2100,tm23ts23,0.95,AFR,2050,0.64493,0.45404,0.19089
projected,EN_NPi2100,tm23ts23,0.95,AFR,2060,1.60509,1.04644,0.55865
projected,EN_NPi2100,tm23ts23,0.95,AFR,2070,4.103,2.48299,1.62001
projected,EN_NPi2100,tm23ts23,0.95,AFR,2080,8.12604,4.5801,3.54594
projected,EN_NPi2100,tm23ts23,0.95,AFR,2090,12.08012,6.34668,5.73345
projected,EN_NPi2100,tm23ts23,0.95,AFR,2100,14.40964,7.06263,7.34701
projected,EN_NPi2100,tm23ts23,0.95,CPA,2030,0.55533,0.42314,0.1322
projected,EN_NPi2100,tm23ts23,0.95,CPA,2040,0.63628,0.44371,0.19257
projected,EN_NPi2100,tm23ts23,0.95,CPA,2050,0.7043,0.45173,0.25257
projected,EN_NPi2100,tm23ts23,0.95,CPA,2060,0.73121,0.43182,0.29939
projected,EN_NPi2100,tm23ts23,0.95,CPA,2070,0.72987,0.39831,0.33156
projected,EN_NPi2100,tm23ts23,0.95,CPA,2080,0.70922,0.35858,0.35064
projected,EN_NPi2100,tm23ts23,0.95,CPA,2090,0.67811,0.31768,0.36043
projected,EN_NPi2100,tm23ts23,0.95,CPA,2100,0.64597,0.28071,0.36526
projected,EN_NPi2100,tm23ts23,0.95,EEU,2030,0.38613,0.25879,0.12734
projected,EN_NPi2100,tm23ts23,0.95,EEU,2040,0.49794,0.27432,0.22362
projected,EN_NPi2100,tm23ts23,0.95,EEU,2050,0.56996,0.26447,0.30549
projected,EN_NPi2100,tm23ts23,0.95,EEU,2060,0.6393,0.25334,0.38595
projected,EN_NPi2100,tm23ts23,0.95,EEU,2070,0.67941,0.23344,0.44597
projected,EN_NPi2100,tm23ts23,0.95,EEU,2080,0.70161,0.21126,0.49036
projected,EN_NPi2100,tm23ts23,0.95,EEU,2090,0.71649,0.19013,0.52635
projected,EN_NPi2100,tm23ts23,0.95,EEU,2100,0.72733,0.17105,0.55628
