access_scenario,scenario,name_run,q,region,year,e_cool_CC,e_cool_noCC,e_cool_delta
DLS,EN_NPi2100,tm23ts23,0.95,AFR,2030,0.348654245,0.284911979,0.063742266
DLS,EN_NPi2100,tm23ts23,0.95,AFR,2040,0.819798781,0.623011842,0.196786939
DLS,EN_NPi2100,tm23ts23,0.95,AFR,2050,1.594388209,1.126493379,0.46789483
DLS,EN_NPi2100,tm23ts23,0.95,AFR,2060,2.608366201,1.705954155,0.902412046
DLS,EN_NPi2100,tm23ts23,0.95,AFR,2070,5.044739688,3.058559958,1.986179729
DLS,EN_NPi2100,tm23ts23,0.95,AFR,2080,8.89403252,5.017465541,3.876566979
DLS,EN_NPi2100,tm23ts23,0.95,AFR,2090,12.58062783,6.612278587,5.968349242
DLS,EN_NPi2100,tm23ts23,0.95,AFR,2100,14.66215295,7.187574805,7.474578146
DLS,EN_NPi2100,tm23ts23,0.95,CPA,2030,0.592458885,0.451388962,0.141069924
DLS,EN_NPi2100,tm23ts23,0.95,CPA,2040,0.73344765,0.511373682,0.222073968
DLS,EN_NPi2100,tm23ts23,0.95,CPA,2050,0.845868894,0.54239332,0.303475574
DLS,EN_NPi2100,tm23ts23,0.95,CPA,2060,0.842919471,0.497699076,0.345220395
DLS,EN_NPi2100,tm23ts23,0.95,CPA,2070,0.818613443,0.446669166,0.371944277
DLS,EN_NPi2100,tm23ts23,0.95,CPA,2080,0.781557976,0.395096271,0.386461705
DLS,EN_NPi2100,tm23ts23,0.95,CPA,2090,0.739005254,0.346163397,0.392841857
DLS,EN_NPi2100,tm23ts23,0.95,CPA,2100,0.699891631,0.304109739,0.395781891
DLS,EN_NPi2100,tm23ts23,0.95,EEU,2030,0.393003923,0.263357836,0.129646087
DLS,EN_NPi2100,tm23ts23,0.95,EEU,2040,0.515755912,0.283963074,0.231792838
DLS,EN_NPi2100,tm23ts23,0.95,EEU,2050,0.602542614,0.279232182,0.323310432
DLS,EN_NPi2100,tm23ts23,0.95,EEU,2060,0.672666565,0.26621513,0.406451435
DLS,EN_NPi2100,tm23ts23,0.95,EEU,2070,0.713046161,0.244669924,0.468376236
DLS,EN_NPi2100,tm23ts23,0.95,EEU,2080,0.735438323,0.221141575,0.514296748
DLS,EN_NPi2100,tm23ts23,0.95,EEU,2090,0.750791263,0.198957453,0.55183381
DLS,EN_NPi2100,tm23ts23,0.95,EEU,2100,0.762269014,0.17900736,0.583261654
DLS,EN_NPi2100,tm23ts23,0.95,FSU,2030,0.207779234,0.147054133,0.060725101
DLS,EN_NPi2100,tm23ts23,0.95,FSU,2040,0.310699005,0.194626765,0.11607224
DLS,EN_NPi2100,tm23ts23,0.95,FSU,2050,0.404058518,0.224856044,0.179202474
DLS,EN_NPi2100,tm23ts23,0.95,FSU,2060,0.455136728,0.225124735,0.230011993
DLS,EN_NPi2100,tm23ts23,0.95,FSU,2070,0.495400329,0.219120814,0.276279515
DLS,EN_NPi2100,tm23ts23,0.95,FSU,2080,0.524238348,0.208316627,0.315921721
DLS,EN_NPi2100,tm23ts23,0.95,FSU,2090,0.543630206,0.194722774,0.348907433
DLS,EN_NPi2100,tm23ts23,0.95,FSU,2100,0.557292243,0.180879335,0.376412908
