DLS,EN_NPi2100,tm23ts23,0.5,region,GCAM Region,Population,year,e_cool_CC,e_cool_noCC,e_cool_delta,Percentage change
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Eastern,434.426,2030,0.04077,0.03327,0.0075,0.23
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Eastern,532.68,2040,0.0791,0.05996,0.0191,0.32
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Eastern,631.121,2050,0.16512,0.11625,0.0489,0.42
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Eastern,724.714,2060,0.40929,0.26684,0.1425,0.53
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Eastern,807.639,2070,1.03927,0.62893,0.4103,0.65
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Eastern,876.919,2080,2.04202,1.15095,0.8911,0.77
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Eastern,930.909,2090,3.01147,1.58217,1.4293,0.9
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Eastern,969.235,2100,3.56682,1.74821,1.8186,1.04
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Northern,234.942,2030,0.02205,0.01799,0.0041,0.23
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Northern,262.559,2040,0.03899,0.02955,0.0094,0.32
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Northern,287.975,2050,0.07534,0.05304,0.0223,0.42
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Northern,307.46,2060,0.17364,0.11321,0.0604,0.53
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Northern,321.701,2070,0.41397,0.25052,0.1634,0.65
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Northern,331.922,2080,0.77292,0.43564,0.3373,0.77
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Northern,338.266,2090,1.09428,0.57492,0.5194,0.9
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Northern,340.12,2100,1.25165,0.61348,0.6382,1.04
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Southern,243.135,2030,0.02282,0.01862,0.0042,0.23
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Southern,307.381,2040,0.04564,0.0346,0.011,0.32
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Southern,374.973,2050,0.09811,0.06907,0.029,0.42
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Southern,442.586,2060,0.24996,0.16296,0.087,0.53
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Southern,506.698,2070,0.65202,0.39458,0.2574,0.65
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Southern,564.525,2080,1.31457,0.74093,0.5736,0.77
