access_scenario,scenario,name_run,q,region,GCAM Region,Population,year,e_cool_CC,e_cool_noCC,e_cool_delta,Percentage change
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Eastern,434.426,2030,0.08032,0.07317,0.0072,10%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Eastern,532.68,2040,0.18567,0.16007,0.0256,16%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Eastern,631.121,2050,0.35385,0.28842,0.0654,23%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Eastern,724.714,2060,0.56708,0.43501,0.1321,30%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Eastern,807.639,2070,1.07301,0.77472,0.2983,39%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Eastern,876.919,2080,1.85214,1.26086,0.5913,47%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Eastern,930.909,2090,2.56849,1.64839,0.9201,56%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Eastern,969.235,2100,2.94075,1.77914,1.1616,65%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Northern,234.942,2030,0.04344,0.03957,0.0039,10%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Northern,262.559,2040,0.09151,0.0789,0.0126,16%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Northern,287.975,2050,0.16146,0.1316,0.0299,23%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Northern,307.46,2060,0.24058,0.18455,0.056,30%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Northern,321.701,2070,0.42741,0.30859,0.1188,38%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Northern,331.922,2080,0.70105,0.47725,0.2238,47%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Northern,338.266,2090,0.93332,0.59898,0.3343,56%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Northern,340.12,2100,1.03196,0.62433,0.4076,65%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Southern,243.135,2030,0.04495,0.04095,0.004,10%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Southern,307.381,2040,0.10714,0.09237,0.0148,16%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Southern,374.973,2050,0.21024,0.17136,0.0389,23%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Southern,442.586,2060,0.34632,0.26566,0.0807,30%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Southern,506.698,2070,0.67319,0.48605,0.1871,38%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Southern,564.525,2080,1.19233,0.81169,0.3806,47%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Southern,614.268,2090,1.69484,1.0877,0.6071,56%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Southern,654.12,2100,1.98466,1.20071,0.7839,65%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Western,714.784,2030,0.13215,0.12038,0.0118,10%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Western,901.084,2040,0.31407,0.27078,0.0433,16%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Western,1097.53,2050,0.61536,0.50157,0.1138,23%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Western,1291.71,2060,1.01075,0.77535,0.2354,30%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Western,1476,2070,1.96099,1.41584,0.5451,39%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Western,1639.79,2080,3.4634,2.35773,1.1057,47%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Western,1774.99,2090,4.89742,3.14302,1.7544,56%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,Africa_Western,1877.52,2100,5.69657,3.4464,2.2502,65%
DLS,EN_NPi2100,tm23ts23,0.5,AFR,South Africa,64.38,2030,0.0119,0.010842934,0.0011,10%
