Table 1;;;;;
Region: Europe only;;;;;
Paper;Tech;;;;
;Wind;Solar PV;Hydropower;Thermoelectric generation;
Tobin et al 1.5C (GWL rather than EoC);reductions in wind power potential < 5% for 1.5C and 2C, while for 3C GWL most are <5%, but Portugal, Ireland >5% and Cyprus ~10%;Solar PV generation reduction is less than 5% for under the 1.5C and 2C. For 3C Baltic countries, Finland and Sweden within the 5%–10% range;"Mean gross hydropower potential increases in northern, eastern and western Europe and decreases in southern Europe (Greece, Spain and Portugal). 
Magnitude of change in ensemble mean:
1.5°C warming: not exceeding 10%, 2°C warming: not exceeding 15%, 3°C warming: not exceeding 20%

Most negatively impacted countries (Greece, Portugal, Spain): 3°C warming: 15-20% reduction, 2°C warming: less than 10% reduction, 1.5°C warming: 5% or less reduction

Most positively impacted countries (Baltic and Scandinavian): 3°C warming: increase exceeding 15%";"(Coal, oil, and gas, noting the latter has less water cooling demand)
Increased global warming results in systematically larger impacts. The magnitude of the decreases are about 5% for 1.5?°C, 10% for 2?°C and ~15% for 3?°C for most countries";Note there is no year in which such estimates occur, this is because they are using GWL (i.e. peak temp or when temp hits this level during 21C)
;;;;;
Table 2;;;;;
Region: World regions;MEAN ANNUAL USABLE CAPACITY;;;;
Paper;Tech;;;;
;Wind;Solar PV;Hydropower;Thermoelectric generation;
va Vliet et al;;;"Climate change impacts on mean annual usable capacity of hydropower for the baseline power plant settings

";"(Fossil fueled, biomass, and nuclear) 
";Sources: Tables S4 and S5
Region;RCP;Year;Relative % change;Relative % change;https://static-content.springer.com/esm/art%3A10.1038%2Fnclimate2903/MediaObjects/41558_2016_BFnclimate2903_MOESM362_ESM.pdf
 Region         ; RCP                      ; Year                     ; Hydropower; Thermoelectric Power ;
----------------;--------------------------;--------------------------;---------------------;------------------------------;
 North America  ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;-0,1%;-6%;
 North America  ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,4%;-7%;
 North America  ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,2%;-5%;
 North America  ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;-2,2%;-13%;
 South America  ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;-2,8%;-1%;
 South America  ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;-3,7%;-3%;
 South America  ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;-3,1%;-2%;
 South America  ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;-5,5%;-7%;
 Europe         ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;-1,5%;-9%;
 Europe         ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;-0,1%;-10%;
 Europe         ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;-0,7%;-8%;
 Europe         ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;-4,2%;-15%;
 Africa         ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,1%;-3%;
 Africa         ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;-0,9%;-5%;
 Africa         ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,4%;-5%;
 Africa         ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;-0,9%;-18%;
 Asia           ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;-2,2%;-4%;
 Asia           ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;-0,9%;-5%;
 Asia           ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;-3,1%;-3%;
 Asia           ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;-3,0%;-8%;
 Australia      ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;-10,4%;-6%;
 Australia      ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;-6,4%;-5%;
 Australia      ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;-8,3%;-6%;
 Australia      ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;-16,4%;-11%;
 World          ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;-0,02;-6%;
 World          ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;-0,01;-7%;
 World          ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;-1,90%;-5%;
 World          ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;-3,60%;-12%;
;;;;;
Capacity factors;;;;;
hydropower_baseline_cf;0,45;;;;
thermoelectric_baseline_cf ;0,75;;;;
;;;;;
Table 3 - Multiple 1;;;Multiplier;1;
 Region         ; RCP                      ; Year                     ; Hydropower Baseline ; Thermoelectric Power Baseline (Fossil fueled, biomass, and nuclear);
----------------;--------------------------;--------------------------;---------------------;------------------------------;
 North America  ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,44955;0,70425;
 North America  ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,4518;0,696;
 North America  ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,4509;0,7095;
 North America  ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,4401;0,6525;
 South America  ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,4374;0,74025;
 South America  ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,43335;0,7305;
 South America  ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,43605;0,73575;
 South America  ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,42525;0,70125;
 Europe         ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,44325;0,6855;
 Europe         ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,44955;0,675;
 Europe         ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,44685;0,6885;
 Europe         ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,4311;0,636;
 Africa         ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,45045;0,72675;
 Africa         ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,44595;0,711;
 Africa         ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,4518;0,714;
 Africa         ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,44595;0,6165;
 Asia           ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,4401;0,723;
 Asia           ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,44595;0,71475;
 Asia           ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,43605;0,726;
 Asia           ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,4365;0,687;
 Australia      ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,4032;0,70275;
 Australia      ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,4212;0,714;
 Australia      ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,41265;0,70875;
 Australia      ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,3762;0,66525;
 World          ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,44235;0,7065;
 World          ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,4446;0,6975;
 World          ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,44145;0,71025;
 World          ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,4338;0,65925;
;;;;;
Table 3 - Multiple 2;;;Multiplier;2;
 Region         ; RCP                      ; Year                     ; Hydropower Baseline ; Thermoelectric Power Baseline (Fossil fueled, biomass, and nuclear);
----------------;--------------------------;--------------------------;---------------------;------------------------------;
 North America  ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,4491;0,6585;
 North America  ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,4536;0,642;
 North America  ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,4518;0,669;
 North America  ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,4302;0,555;
 South America  ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,4248;0,7305;
 South America  ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,4167;0,711;
 South America  ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,4221;0,7215;
 South America  ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,4005;0,6525;
 Europe         ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,4365;0,621;
 Europe         ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,4491;0,6;
 Europe         ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,4437;0,627;
 Europe         ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,4122;0,522;
 Africa         ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,4509;0,7035;
 Africa         ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,4419;0,672;
 Africa         ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,4536;0,678;
 Africa         ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,4419;0,483;
 Asia           ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,4302;0,696;
 Asia           ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,4419;0,6795;
 Asia           ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,4221;0,702;
 Asia           ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,423;0,624;
 Australia      ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,3564;0,6555;
 Australia      ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,3924;0,678;
 Australia      ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,3753;0,6675;
 Australia      ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,3024;0,5805;
 World          ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,4347;0,663;
 World          ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,4392;0,645;
 World          ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,4329;0,6705;
 World          ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,4176;0,5685;
;;;;;
Table 3 - Multiple 3;;;Multiplier;3;
 Region         ; RCP                      ; Year                     ; Hydropower Baseline ; Thermoelectric Power Baseline (Fossil fueled, biomass, and nuclear);
----------------;--------------------------;--------------------------;---------------------;------------------------------;
 North America  ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,44865;0,61275;
 North America  ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,4554;0,588;
 North America  ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,4527;0,6285;
 North America  ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,4203;0,4575;
 South America  ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,4122;0,72075;
 South America  ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,40005;0,6915;
 South America  ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,40815;0,70725;
 South America  ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,37575;0,60375;
 Europe         ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,42975;0,5565;
 Europe         ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,44865;0,525;
 Europe         ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,44055;0,5655;
 Europe         ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,3933;0,408;
 Africa         ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,45135;0,68025;
 Africa         ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,43785;0,633;
 Africa         ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,4554;0,642;
 Africa         ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,43785;0,3495;
 Asia           ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,4203;0,669;
 Asia           ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,43785;0,64425;
 Asia           ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,40815;0,678;
 Asia           ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,4095;0,561;
 Australia      ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,3096;0,60825;
 Australia      ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,3636;0,642;
 Australia      ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,33795;0,62625;
 Australia      ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,2286;0,49575;
 World          ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,42705;0,6195;
 World          ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,4338;0,5925;
 World          ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,42435;0,63075;
 World          ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,4014;0,47775;
;;;;;
Table 3 - Multiple 4;;;Multiplier;4;
 Region         ; RCP                      ; Year                     ; Hydropower Baseline ; Thermoelectric Power Baseline (Fossil fueled, biomass, and nuclear);
----------------;--------------------------;--------------------------;---------------------;------------------------------;
 North America  ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,4482;0,567;
 North America  ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,4572;0,534;
 North America  ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,4536;0,588;
 North America  ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,4104;0,36;
 South America  ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,3996;0,711;
 South America  ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,3834;0,672;
 South America  ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,3942;0,693;
 South America  ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,351;0,555;
 Europe         ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,423;0,492;
 Europe         ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,4482;0,45;
