access_scenario,scenario,name_run,q,region,GCAM Region,Population,year,e_cool_CC,e_cool_noCC,e_cool_delta,Percentage change,,%(DERP2 - DERP4)
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Eastern,434.426,2030,0.04077,0.03327,0.00749,22.53%,,12.69%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Eastern,532.68,2040,0.0791,0.05996,0.01914,31.92%,,15.93%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Eastern,631.121,2050,0.16512,0.11625,0.04887,42.04%,,19.37%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Eastern,724.714,2060,0.40929,0.26684,0.14245,53.39%,,23.02%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Eastern,807.639,2070,1.03927,0.62893,0.41034,65.24%,,26.74%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Eastern,876.919,2080,2.04202,1.15095,0.89107,77.42%,,30.52%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Eastern,930.909,2090,3.01147,1.58217,1.4293,90.34%,,34.52%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Eastern,969.235,2100,3.56682,1.74821,1.81861,104.03%,,38.74%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Northern,234.942,2030,0.02205,0.01799,0.00405,22.53%,,12.67%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Northern,262.559,2040,0.03899,0.02955,0.00943,31.92%,,15.95%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Northern,287.975,2050,0.07534,0.05304,0.0223,42.04%,,19.32%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Northern,307.46,2060,0.17364,0.11321,0.06044,53.39%,,23.04%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Northern,321.701,2070,0.41397,0.25052,0.16345,65.24%,,26.75%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Northern,331.922,2080,0.77292,0.43564,0.33728,77.42%,,30.53%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Northern,338.266,2090,1.09428,0.57492,0.51937,90.34%,,34.53%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Northern,340.12,2100,1.25165,0.61348,0.63818,104.03%,,38.74%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Southern,243.135,2030,0.02282,0.01862,0.00419,22.53%,,12.76%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Southern,307.381,2040,0.04564,0.0346,0.01105,31.92%,,15.90%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Southern,374.973,2050,0.09811,0.06907,0.02904,42.04%,,19.34%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Southern,442.586,2060,0.24996,0.16296,0.087,53.39%,,23.01%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Southern,506.698,2070,0.65202,0.39458,0.25744,65.24%,,26.75%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Southern,564.525,2080,1.31457,0.74093,0.57364,77.42%,,30.53%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Southern,614.268,2090,1.98715,1.04401,0.94314,90.34%,,34.52%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Southern,654.12,2100,2.40718,1.17984,1.22735,104.03%,,38.74%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Western,714.784,2030,0.06707,0.05474,0.01233,22.53%,,12.72%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Western,901.084,2040,0.1338,0.10142,0.03238,31.92%,,15.93%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Western,1097.53,2050,0.28715,0.20216,0.08499,42.04%,,19.35%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Western,1291.71,2060,0.72951,0.4756,0.25391,53.39%,,23.03%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Western,1476,2070,1.89932,1.1494,0.74992,65.24%,,26.74%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Western,1639.79,2080,3.81846,2.15221,1.66625,77.42%,,30.52%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Western,1774.99,2090,5.74206,3.01677,2.72529,90.34%,,34.52%
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Western,1877.52,2100,6.90934,3.38649,3.52285,104.03%,,38.74%
projected,EN_NPi2101,tm23ts24,1.95,AFR,South Africa,64.38,2030,0.00604,0.004930663,0.00111,22.53%,,12.38%
projected,EN_NPi2102,tm23ts25,2.95,AFR,South Africa,69.488,2040,0.01032,0.007821391,0.0025,31.92%,,16.12%
projected,EN_NPi2103,tm23ts26,3.95,AFR,South Africa,73.381,2050,0.0192,0.013516639,0.00568,42.04%,,19.38%
projected,EN_NPi2104,tm23ts27,4.95,AFR,South Africa,75.596,2060,0.04269,0.027834129,0.01486,53.39%,,22.97%
projected,EN_NPi2105,tm23ts28,5.95,AFR,South Africa,76.484,2070,0.09842,0.059560221,0.03886,65.24%,,26.81%
projected,EN_NPi2106,tm23ts29,6.95,AFR,South Africa,76.468,2080,0.17807,0.100363526,0.0777,77.42%,,30.49%
projected,EN_NPi2107,tm23ts30,7.95,AFR,South Africa,75.783,2090,0.24516,0.128800824,0.11636,90.34%,,34.52%
projected,EN_NPi2108,tm23ts31,8.95,AFR,South Africa,74.631,2100,0.27464,0.134612204,0.14003,104.03%,,38.77%
projected,EN_NPi2100,tm23ts23,0.95,AFR,,1691.667,2030,0.15874,0.12956,0.02918,22.53%,,12.77%
projected,EN_NPi2100,tm23ts23,0.95,AFR,,2073.192,2040,0.30785,0.23335,0.0745,31.92%,,15.94%
projected,EN_NPi2100,tm23ts23,0.95,AFR,,2464.98,2050,0.64493,0.45404,0.19089,42.04%,,19.35%
projected,EN_NPi2100,tm23ts23,0.95,AFR,,2842.066,2060,1.60509,1.04644,0.55865,53.39%,,23.03%
projected,EN_NPi2100,tm23ts23,0.95,AFR,,3188.522,2070,4.103,2.48299,1.62001,65.24%,,26.74%
projected,EN_NPi2100,tm23ts23,0.95,AFR,,3489.624,2080,8.12604,4.5801,3.54594,77.42%,,30.52%
projected,EN_NPi2100,tm23ts23,0.95,AFR,,3734.216,2090,12.08012,6.34668,5.73345,90.34%,,34.52%
projected,EN_NPi2100,tm23ts23,0.95,AFR,,3915.626,2100,14.40964,7.06263,7.34701,104.03%,,38.74%
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,1425.12,2030,0.55533254,0.423135762,0.1322,31.24%,,19.94%
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,1388.17,2040,0.636280181,0.44371407,0.19257,43.40%,,26.78%
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,1324.82,2050,0.704297062,0.451725351,0.25257,55.91%,,33.79%
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,1218.57,2060,0.731212731,0.43182408,0.29939,69.33%,,41.22%
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,1097.96,2070,0.7298704,0.398308103,0.33156,83.24%,,48.85%
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,985.048,2080,0.709218812,0.358575527,0.35064,97.79%,,56.79%
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,874.582,2090,0.678106341,0.317676851,0.36043,113.46%,,65.21%
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,777.192,2100,0.64597149,0.28071417,0.36526,130.12%,,74.12%
projected,EN_NPi2100,tm23ts23,0.95,EEU,,151.016,2030,0.386132636,0.258792023,0.12734,49.21%,,45.37%
projected,EN_NPi2100,tm23ts23,0.95,EEU,,143.823,2040,0.497942067,0.274323827,0.22362,81.52%,,63.63%
projected,EN_NPi2100,tm23ts23,0.95,EEU,,136.597,2050,0.569961811,0.264467339,0.30549,115.51%,,82.78%
projected,EN_NPi2100,tm23ts23,0.95,EEU,,129.102,2060,0.639297523,0.253343565,0.38595,152.34%,,103.55%
projected,EN_NPi2100,tm23ts23,0.95,EEU,,121.725,2070,0.679405832,0.233439836,0.44597,191.04%,,125.40%
projected,EN_NPi2100,tm23ts23,0.95,EEU,,115.458,2080,0.701614235,0.211258972,0.49036,232.11%,,148.64%
projected,EN_NPi2100,tm23ts23,0.95,EEU,,111.102,2090,0.716486671,0.190134003,0.52635,276.83%,,173.85%
projected,EN_NPi2100,tm23ts23,0.95,EEU,,108.288,2100,0.727331463,0.171052952,0.55628,325.21%,,201.14%
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,100.181,2030,0.256152683,0.171677462,0.08448,,,-3.84%
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,96.133,2040,0.332830387,0.183361301,0.14947,,,-17.91%
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,92.148,2050,0.384494835,0.178409016,0.20609,,,-32.75%
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,88.29,2060,0.437201424,0.173256056,0.26395,,,-48.78%
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,84.469,2070,0.471462159,0.161991617,0.30947,,,-65.61%
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,81.299,2080,0.494037101,0.148756632,0.34528,,,-83.49%
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,79.448,2090,0.51235291,0.135963045,0.37639,,,-102.97%
